Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,25.25,25.65,24.86,25.41,91600,25.41
2014-12-01,26.73,26.75,25.18,25.24,162700,25.24
2014-11-28,26.26,26.92,25.84,26.55,205100,26.55
2014-11-26,25.58,26.14,25.27,25.98,129200,25.98
2014-11-25,26.18,26.47,25.43,25.43,131500,25.43
2014-11-24,26.08,26.81,25.96,26.20,239200,26.20
2014-11-21,26.00,26.12,25.69,25.98,162900,25.98
2014-11-20,25.82,26.33,25.68,25.99,88900,25.99
2014-11-19,25.24,26.17,24.97,25.93,194000,25.93
2014-11-18,25.45,26.00,25.28,25.31,114400,25.31
2014-11-17,25.44,25.85,25.24,25.50,128200,25.50
2014-11-14,26.16,26.16,25.34,25.63,174400,25.63
2014-11-13,26.34,26.65,25.89,26.11,137200,26.11
2014-11-12,26.22,26.48,26.06,26.34,147600,26.34
2014-11-11,26.94,27.17,26.01,26.27,221100,26.27
2014-11-10,27.18,27.49,26.50,27.03,240300,27.03
2014-11-07,27.40,27.72,26.84,27.21,415200,27.21
2014-11-06,26.04,27.52,25.83,27.37,172800,27.37
2014-11-05,26.11,26.13,25.47,25.92,265900,25.92
2014-11-04,25.47,26.24,25.41,25.92,169600,25.92
2014-11-03,25.84,26.21,25.15,25.59,137400,25.59
2014-10-31,26.49,26.49,25.74,25.77,147100,25.77
2014-10-30,25.51,26.24,25.21,25.94,130900,25.94
2014-10-29,25.62,25.98,25.21,25.53,109200,25.53
2014-10-28,24.18,25.45,24.18,25.43,191100,25.43
2014-10-27,24.38,24.47,23.95,24.11,122900,24.11
2014-10-24,24.17,24.60,24.17,24.48,113100,24.48
2014-10-23,24.23,24.48,23.92,24.08,172900,24.08
2014-10-22,24.18,24.80,23.81,23.94,196400,23.94
2014-10-21,24.15,24.22,23.37,24.17,273200,24.17
2014-10-20,23.71,24.21,23.68,24.00,309700,24.00
2014-10-17,24.42,24.55,23.90,23.90,189700,23.90
2014-10-16,23.72,24.35,23.00,24.08,236900,24.08
2014-10-15,23.92,24.39,23.30,24.03,467100,24.03
2014-10-14,22.76,24.24,22.64,24.08,294800,24.08
2014-10-13,23.15,23.18,22.52,22.64,283400,22.64
2014-10-10,22.84,23.95,22.82,23.38,371400,23.38
2014-10-09,22.84,23.15,22.71,22.84,216000,22.84
2014-10-08,21.86,22.94,21.47,22.84,340200,22.84
2014-10-07,20.49,22.20,20.29,21.82,339500,21.82
2014-10-06,20.87,20.88,20.48,20.53,99900,20.53
2014-10-03,21.02,21.27,20.44,20.88,114800,20.88
2014-10-02,20.40,21.08,20.37,20.83,122600,20.83
2014-10-01,20.28,20.95,20.23,20.32,153200,20.32
2014-09-30,20.65,20.74,20.23,20.23,171800,20.23
2014-09-29,20.36,20.89,20.22,20.65,152700,20.65
2014-09-26,20.28,20.87,20.07,20.42,233500,20.42
2014-09-25,20.27,20.45,19.73,20.23,128400,20.23
2014-09-24,20.41,20.45,20.07,20.30,160100,20.30
2014-09-23,20.23,20.49,20.02,20.30,182300,20.30
2014-09-22,20.88,20.88,20.09,20.36,138200,20.36
2014-09-19,21.18,21.43,20.64,20.98,209800,20.98
2014-09-18,21.10,21.20,20.82,21.08,95500,21.08
2014-09-17,21.27,21.33,20.94,21.00,109300,21.00
2014-09-16,20.49,21.38,20.49,21.31,143400,21.31
2014-09-15,20.54,20.74,20.13,20.59,152200,20.59
2014-09-12,21.65,21.90,20.76,20.77,91900,20.77
2014-09-11,21.45,21.83,21.42,21.64,197800,21.64
2014-09-10,21.09,21.57,20.67,21.51,111800,21.51
2014-09-09,21.37,21.70,21.10,21.15,213800,21.15
2014-09-08,21.05,21.27,20.86,21.25,166100,21.25
2014-09-05,21.04,21.27,20.88,21.03,117700,21.03
2014-09-04,21.15,21.53,20.71,21.03,141500,21.03
2014-09-03,21.14,21.40,20.83,21.18,231200,21.18
2014-09-02,21.02,21.47,20.35,20.98,310400,20.98
2014-08-29,21.16,21.22,20.68,21.17,115800,21.17
2014-08-28,20.96,21.36,20.76,21.16,142200,21.16
2014-08-27,21.42,21.42,20.98,21.05,242900,21.05
2014-08-26,21.22,21.63,21.20,21.30,239900,21.30
2014-08-25,21.09,21.57,21.05,21.20,198500,21.20
2014-08-22,20.44,21.22,20.01,20.85,233000,20.85
2014-08-21,20.56,21.29,20.25,21.02,144400,21.02
2014-08-20,21.15,21.16,20.45,20.59,171300,20.59
2014-08-19,21.28,21.50,21.11,21.25,159100,21.25
2014-08-18,20.96,21.19,20.45,21.18,239000,21.18
2014-08-15,20.60,20.60,20.20,20.56,114800,20.56
2014-08-14,20.31,20.46,19.91,20.41,134900,20.41
2014-08-13,20.16,20.63,20.08,20.31,233500,20.31
2014-08-12,19.86,20.54,19.86,20.51,297800,20.51
2014-08-11,19.21,20.03,19.10,19.90,331700,19.90
2014-08-08,19.01,19.14,18.86,19.00,212900,19.00
2014-08-07,19.24,19.24,18.94,18.99,206400,18.99
2014-08-06,18.83,19.11,18.73,19.05,291000,19.05
2014-08-05,19.00,19.68,18.73,18.98,306000,18.98
2014-08-04,18.61,19.24,18.42,19.00,607100,19.00
2014-08-01,17.90,18.59,17.72,18.41,592000,18.41
2014-07-31,17.93,18.27,17.57,17.91,431400,17.91
2014-07-30,16.78,18.61,16.19,17.60,954300,17.60
2014-07-29,15.30,15.79,15.23,15.59,124600,15.59
2014-07-28,15.59,15.73,15.22,15.30,82100,15.30
2014-07-25,15.50,15.71,15.50,15.61,113000,15.61
2014-07-24,15.89,16.09,15.54,15.60,81500,15.60
2014-07-23,16.20,16.20,15.80,15.91,86900,15.91
2014-07-22,16.00,16.22,15.83,16.18,100000,16.18
2014-07-21,16.15,16.47,15.84,15.88,111500,15.88
2014-07-18,15.68,16.22,15.68,16.20,86800,16.20
2014-07-17,15.77,16.32,15.65,15.69,111300,15.69
2014-07-16,15.93,16.08,15.65,15.82,127300,15.82
2014-07-15,16.43,16.51,15.78,15.79,131900,15.79
