Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,5.16,5.26,4.99,5.19,89900,5.19
2014-12-01,4.97,5.34,4.93,5.10,33900,5.10
2014-11-28,5.09,5.16,4.99,5.00,7200,5.00
2014-11-26,5.08,5.32,5.08,5.32,26500,5.32
2014-11-25,5.36,5.36,5.05,5.25,34000,5.25
2014-11-24,5.50,5.63,4.90,4.99,35800,4.99
2014-11-21,5.00,5.65,4.80,5.48,67300,5.48
2014-11-20,4.31,4.96,4.31,4.83,66800,4.83
2014-11-19,4.20,4.35,4.15,4.28,30800,4.28
2014-11-18,3.98,4.25,3.78,4.24,28600,4.24
2014-11-17,3.88,3.99,3.88,3.93,8800,3.93
2014-11-14,4.16,4.17,3.84,3.95,34100,3.95
2014-11-13,4.36,4.40,4.13,4.22,11100,4.22
2014-11-12,4.40,4.41,4.31,4.40,10600,4.40
2014-11-11,4.51,4.60,4.31,4.34,33200,4.34
2014-11-10,4.52,4.60,4.43,4.57,24400,4.57
2014-11-07,4.85,4.85,4.50,4.51,32000,4.51
2014-11-06,4.80,4.96,4.75,4.80,8500,4.80
2014-11-05,4.87,4.99,4.80,4.81,8000,4.81
2014-11-04,4.85,4.92,4.81,4.89,5600,4.89
2014-11-03,4.98,4.99,4.77,4.90,9000,4.90
2014-10-31,4.92,4.97,4.69,4.94,19100,4.94
2014-10-30,4.90,5.00,4.52,4.84,22600,4.84
2014-10-29,4.95,5.09,4.92,4.92,5500,4.92
2014-10-28,4.80,5.05,4.80,4.97,15800,4.97
2014-10-27,4.94,4.95,4.76,4.88,12900,4.88
2014-10-24,5.10,5.10,4.91,5.00,15200,5.00
2014-10-23,5.04,5.17,5.01,5.08,23500,5.08
2014-10-22,5.45,5.45,5.03,5.03,15200,5.03
2014-10-21,5.42,5.42,5.25,5.25,10200,5.25
2014-10-20,5.43,5.60,5.40,5.49,17100,5.49
2014-10-17,5.41,5.48,5.35,5.39,20900,5.39
2014-10-16,5.12,5.39,5.01,5.32,38800,5.32
2014-10-15,5.23,5.37,5.22,5.30,15400,5.30
2014-10-14,5.59,5.81,5.25,5.27,26800,5.27
2014-10-13,5.60,5.80,5.21,5.53,9600,5.53
2014-10-10,5.80,5.94,5.45,5.60,30100,5.60
2014-10-09,6.11,6.11,5.72,5.78,41200,5.78
2014-10-08,6.31,6.32,5.86,6.13,29200,6.13
2014-10-07,6.66,6.66,6.23,6.31,22400,6.31
2014-10-06,6.82,7.04,6.67,6.69,13900,6.69
2014-10-03,6.31,6.82,6.31,6.80,12900,6.80
2014-10-02,6.85,6.85,6.33,6.48,20800,6.48
2014-10-01,7.14,7.14,6.78,6.90,6300,6.90
2014-09-30,7.18,7.19,7.00,7.19,22800,7.19
2014-09-29,7.20,7.24,7.00,7.24,8600,7.24
2014-09-26,6.99,7.48,6.96,7.28,8100,7.28
2014-09-25,6.99,6.99,6.75,6.96,14000,6.96
2014-09-24,7.28,7.41,6.84,6.97,35800,6.97
2014-09-23,7.35,8.20,7.20,7.29,30300,7.29
2014-09-22,7.47,7.73,7.15,7.15,51300,7.15
2014-09-19,8.02,8.19,7.48,7.48,94900,7.48
2014-09-18,8.19,8.30,7.91,7.98,28900,7.98
2014-09-17,9.02,9.02,8.05,8.16,18400,8.16
2014-09-16,8.89,8.89,8.04,8.32,28700,8.32
2014-09-15,8.73,9.15,8.35,8.93,39500,8.93
2014-09-12,8.72,8.93,8.61,8.78,18400,8.78
2014-09-11,8.35,9.06,8.35,8.72,20700,8.72
2014-09-10,9.04,9.35,8.25,8.31,40400,8.31
2014-09-09,9.15,9.26,9.01,9.12,24000,9.12
2014-09-08,9.69,9.75,9.01,9.27,19700,9.27
2014-09-05,9.51,9.84,9.51,9.62,12800,9.62
2014-09-04,9.88,9.93,9.11,9.68,13500,9.68
2014-09-03,9.27,9.90,9.25,9.83,30800,9.83
2014-09-02,9.28,9.50,9.10,9.43,22200,9.43
2014-08-29,9.31,9.44,9.12,9.37,9100,9.37
2014-08-28,9.80,10.00,9.30,9.39,14400,9.39
2014-08-27,10.11,10.28,9.75,9.90,21200,9.90
2014-08-26,9.99,10.20,9.99,10.10,19800,10.10
2014-08-25,9.63,10.15,9.50,9.98,22100,9.98
2014-08-22,9.70,9.75,9.45,9.68,5800,9.68
2014-08-21,9.73,9.89,9.60,9.79,20600,9.79
2014-08-20,8.81,9.94,8.65,9.60,35400,9.60
2014-08-19,8.36,8.99,8.36,8.84,6600,8.84
2014-08-18,8.50,8.66,8.45,8.53,11800,8.53
2014-08-15,8.01,8.50,8.01,8.48,15800,8.48
2014-08-14,7.88,8.10,7.88,8.10,10100,8.10
2014-08-13,8.00,8.07,7.80,8.05,14800,8.05
2014-08-12,8.06,8.12,7.88,8.01,8700,8.01
2014-08-11,8.00,8.11,8.00,8.00,6500,8.00
2014-08-08,7.96,8.49,7.85,7.95,10700,7.95
2014-08-07,7.81,8.10,7.81,8.10,15300,8.10
2014-08-06,7.90,8.00,7.80,7.81,9200,7.81
2014-08-05,8.06,8.23,7.91,7.91,9500,7.91
2014-08-04,8.11,8.17,7.96,8.10,24100,8.10
2014-08-01,8.13,8.24,7.90,8.02,28500,8.02
2014-07-31,7.88,8.13,7.88,8.13,8300,8.13
2014-07-30,8.33,8.37,7.85,8.09,16500,8.09
2014-07-29,7.85,8.50,7.65,8.36,30300,8.36
2014-07-28,8.86,8.86,7.77,7.94,64400,7.94
2014-07-25,9.49,9.49,8.88,8.91,23000,8.91
2014-07-24,9.51,9.51,9.29,9.34,12500,9.34
2014-07-23,9.51,9.58,9.12,9.25,21000,9.25
2014-07-22,8.88,9.66,8.88,9.59,27200,9.59
2014-07-21,9.71,9.71,8.80,8.87,33700,8.87
2014-07-18,9.66,9.93,9.59,9.74,24300,9.74
2014-07-17,11.75,11.75,9.64,9.66,83400,9.66
2014-07-16,7.44,11.97,7.44,11.48,56500,11.48
2014-07-15,1.15,1.29,1.13,1.18,115600,11.80
