Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,7.59,7.90,7.48,7.89,131200,7.89
2014-12-01,7.56,7.65,7.54,7.59,63700,7.59
2014-11-28,7.68,7.70,7.54,7.60,64700,7.60
2014-11-26,7.39,7.61,7.30,7.60,77600,7.60
2014-11-25,7.44,7.44,7.24,7.39,51200,7.39
2014-11-24,7.42,7.43,7.31,7.40,37700,7.40
2014-11-21,7.47,7.58,7.34,7.43,99100,7.43
2014-11-20,7.27,7.42,7.19,7.39,98300,7.39
2014-11-19,7.32,7.45,7.23,7.32,128900,7.32
2014-11-18,7.37,7.45,7.31,7.36,42400,7.36
2014-11-17,7.18,7.50,7.15,7.37,64900,7.37
2014-11-14,7.50,7.50,7.15,7.23,76500,7.23
2014-11-13,7.16,7.50,7.11,7.45,148100,7.45
2014-11-12,6.95,7.35,6.87,7.27,182000,7.27
2014-11-11,7.02,7.10,6.83,7.00,58100,7.00
2014-11-10,7.10,7.10,6.85,7.06,80600,7.06
2014-11-07,7.09,7.10,6.98,7.07,41400,7.07
2014-11-06,7.13,7.15,7.02,7.14,31800,7.14
2014-11-05,7.15,7.18,6.98,7.16,76700,7.16
2014-11-04,7.16,7.19,6.95,7.07,75800,7.07
2014-11-03,7.23,7.30,7.06,7.16,66200,7.16
2014-10-31,7.27,7.27,7.05,7.25,74500,7.25
2014-10-30,7.15,7.18,7.02,7.18,98700,7.18
2014-10-29,7.26,7.33,7.15,7.19,88100,7.19
2014-10-28,7.04,7.29,7.04,7.28,98700,7.28
2014-10-27,7.12,7.31,7.02,7.06,97700,7.06
2014-10-24,7.13,7.20,7.01,7.11,93200,7.11
2014-10-23,7.08,7.20,7.07,7.11,80100,7.11
2014-10-22,7.32,7.32,7.01,7.03,90900,7.03
2014-10-21,7.47,7.49,7.10,7.33,95400,7.33
2014-10-20,7.50,7.50,7.13,7.30,183800,7.30
2014-10-17,7.24,7.24,6.69,6.99,163400,6.99
2014-10-16,7.09,7.27,6.76,7.17,125800,7.17
2014-10-15,7.32,7.50,6.82,7.22,173100,7.22
2014-10-14,7.50,7.50,7.26,7.32,292300,7.32
2014-10-13,7.06,7.47,7.01,7.37,90300,7.37
2014-10-10,7.31,7.46,7.06,7.10,117200,7.10
2014-10-09,7.40,7.49,7.26,7.40,65400,7.40
2014-10-08,7.08,7.52,7.07,7.36,88700,7.36
2014-10-07,7.20,7.31,7.10,7.12,24200,7.12
2014-10-06,7.12,7.30,7.01,7.21,44200,7.21
2014-10-03,7.39,7.39,7.07,7.08,64500,7.08
2014-10-02,7.05,7.32,7.05,7.32,83200,7.32
2014-10-01,7.25,7.35,7.04,7.08,106100,7.08
2014-09-30,7.37,7.49,7.25,7.25,83800,7.25
2014-09-29,7.27,7.69,7.24,7.40,77300,7.40
2014-09-26,7.43,7.48,7.21,7.33,54400,7.33
2014-09-25,7.59,7.64,7.35,7.43,79400,7.43
2014-09-24,7.24,7.70,7.24,7.59,122300,7.59
2014-09-23,7.27,7.58,7.20,7.24,50200,7.24
2014-09-22,7.46,7.60,7.25,7.27,91000,7.27
2014-09-19,7.95,8.15,7.14,7.50,230400,7.50
2014-09-18,8.02,8.06,7.77,7.84,60100,7.84
2014-09-17,8.32,8.35,7.95,7.98,76800,7.98
2014-09-16,7.86,8.29,7.78,8.28,143400,8.28
2014-09-15,8.02,8.18,7.84,7.89,124500,7.89
2014-09-12,7.81,8.14,7.77,7.97,229800,7.97
2014-09-11,7.50,7.93,7.46,7.79,154000,7.79
2014-09-10,7.27,7.62,7.20,7.54,114500,7.54
2014-09-09,7.21,7.26,7.04,7.23,199500,7.23
2014-09-08,7.70,7.75,7.04,7.26,224800,7.26
2014-09-05,7.77,7.80,7.69,7.69,59900,7.69
2014-09-04,7.90,8.00,7.74,7.77,116600,7.77
2014-09-03,8.09,8.35,7.83,7.91,121000,7.91
2014-09-02,8.16,8.20,8.01,8.10,94100,8.10
2014-08-29,8.15,8.47,8.15,8.22,106700,8.22
2014-08-28,8.22,8.40,8.13,8.14,51600,8.14
2014-08-27,8.55,8.57,8.20,8.22,84600,8.22
2014-08-26,8.15,8.69,8.15,8.59,144700,8.59
2014-08-25,8.14,8.27,8.12,8.16,41800,8.16
2014-08-22,8.10,8.26,8.10,8.16,56500,8.16
2014-08-21,8.27,8.45,8.12,8.13,62100,8.13
2014-08-20,8.38,8.59,8.14,8.21,61900,8.21
2014-08-19,8.40,8.58,8.10,8.34,59200,8.34
2014-08-18,8.36,8.52,8.20,8.40,99200,8.40
2014-08-15,8.53,8.60,8.14,8.29,88700,8.29
2014-08-14,8.80,8.99,8.06,8.18,240000,8.18
2014-08-13,9.00,9.12,8.79,8.85,80600,8.85
2014-08-12,9.52,9.74,8.83,8.93,192800,8.93
2014-08-11,10.03,10.20,9.54,9.60,136300,9.60
2014-08-08,9.32,9.98,9.32,9.98,205800,9.98
2014-08-07,9.70,9.74,9.32,9.49,189200,9.49
2014-08-06,9.30,9.79,9.30,9.75,161400,9.75
2014-08-05,9.44,9.59,9.29,9.44,134300,9.44
2014-08-04,9.02,9.65,8.97,9.39,283100,9.39
2014-08-01,9.06,9.06,8.78,8.96,334300,8.96
2014-07-31,8.61,9.09,8.27,9.00,251200,9.00
2014-07-30,8.16,8.99,8.15,8.91,450500,8.91
2014-07-29,8.07,8.45,8.04,8.10,157200,8.10
2014-07-28,8.24,8.37,8.04,8.17,167100,8.17
2014-07-25,8.38,8.56,8.17,8.23,190500,8.23
2014-07-24,8.36,8.57,8.26,8.43,71400,8.43
2014-07-23,8.50,8.52,8.35,8.39,55800,8.39
2014-07-22,8.40,8.44,8.16,8.28,119400,8.28
2014-07-21,8.34,8.56,8.13,8.31,109000,8.31
2014-07-18,8.23,8.50,8.08,8.37,98400,8.37
2014-07-17,8.63,8.67,8.18,8.25,146600,8.25
2014-07-16,8.57,8.73,8.45,8.70,109900,8.70
2014-07-15,8.96,9.08,8.46,8.50,175100,8.50
2014-07-14,8.77,9.16,8.77,9.00,220800,9.00
2014-07-11,8.31,8.88,8.09,8.73,225800,8.73
2014-07-10,8.28,8.74,8.07,8.34,338900,8.34
2014-07-09,7.89,8.40,7.86,8.35,276300,8.35
2014-07-08,7.93,8.01,7.66,7.97,336300,7.97
2014-07-07,8.12,8.44,7.85,7.91,530400,7.91
2014-07-03,8.39,8.48,7.80,8.12,587800,8.12
2014-07-02,9.13,9.13,8.26,8.37,821600,8.37
2014-07-01,9.40,9.60,8.88,9.08,1015000,9.08
2014-06-30,9.61,9.65,8.96,9.51,1304400,9.51
2014-06-27,9.88,10.97,9.28,9.63,7746800,9.63
2014-06-26,7.54,10.17,7.50,9.90,5838200,9.90
2014-06-25,7.50,7.71,6.86,7.31,2235800,7.31
2014-06-24,10.53,11.75,7.57,7.74,6083600,7.74
2014-06-23,9.93,11.77,9.82,11.40,876100,11.40
2014-06-20,9.28,9.81,9.28,9.75,332000,9.75
2014-06-19,9.37,9.44,9.23,9.31,163100,9.31
2014-06-18,9.50,9.50,9.07,9.31,162300,9.31
2014-06-17,8.86,9.35,8.75,9.32,214700,9.32
2014-06-16,9.42,9.45,8.68,8.91,282900,8.91
2014-06-13,9.06,9.39,8.92,9.28,177500,9.28
2014-06-12,8.65,9.08,8.65,8.87,200300,8.87
2014-06-11,8.52,8.93,8.27,8.62,119300,8.62
2014-06-10,9.22,9.43,8.54,8.60,227300,8.60
2014-06-09,9.41,9.55,9.04,9.17,187000,9.17
2014-06-06,9.41,9.50,9.10,9.32,120500,9.32
2014-06-05,9.20,9.63,9.05,9.45,266000,9.45
2014-06-04,8.92,9.21,8.68,9.21,228500,9.21
2014-06-03,8.60,8.79,8.22,8.71,114800,8.71
2014-06-02,8.36,8.66,8.09,8.49,150000,8.49
2014-05-30,8.41,8.88,8.21,8.52,232000,8.52
2014-05-29,7.60,8.38,7.60,8.24,188700,8.24
2014-05-28,7.58,8.16,7.51,7.72,124700,7.72
2014-05-27,7.89,8.06,7.42,7.58,169400,7.58
2014-05-23,7.86,8.36,7.31,7.55,261500,7.55
2014-05-22,8.26,8.44,7.80,8.01,172900,8.01
2014-05-21,9.00,9.12,7.89,8.18,224800,8.18
2014-05-20,9.26,9.49,8.87,8.97,245200,8.97
2014-05-19,8.88,9.34,8.75,9.22,179400,9.22
