Date,Open,High,Low,Close,Volume,Adj Close
2014-08-04,86.60,87.24,86.45,86.93,5743800,86.67
2014-08-01,87.41,87.74,85.75,86.47,12258300,86.21
2014-07-31,90.07,90.26,87.99,88.00,7561100,87.74
2014-07-30,92.11,92.32,90.04,90.91,5069300,90.64
2014-07-29,91.83,92.23,91.51,91.71,4773300,91.44
2014-07-28,91.90,92.03,90.90,91.86,4274000,91.59
2014-07-25,92.74,93.07,91.58,91.93,3903500,91.66
2014-07-24,93.33,93.62,92.85,93.15,3023400,92.87
2014-07-23,93.19,93.59,92.82,93.28,1984800,93.00
2014-07-22,93.51,94.06,93.22,93.37,2411600,93.09
2014-07-21,93.29,93.40,92.38,92.88,2321800,92.60
2014-07-18,93.32,93.93,93.10,93.53,3363000,93.25
2014-07-17,93.96,94.70,92.91,92.99,3110800,92.71
2014-07-16,94.81,95.09,94.27,94.47,2738000,94.19
2014-07-15,94.79,95.16,94.00,94.45,3499200,94.17
2014-07-14,95.23,95.58,94.43,94.54,2388000,94.26
2014-07-11,94.27,94.59,93.75,94.47,2108500,94.19
2014-07-10,93.55,94.81,93.16,94.46,2230000,94.18
2014-07-09,95.44,95.55,94.41,94.74,2645500,94.46
2014-07-08,94.92,95.01,93.57,94.57,2828700,94.03
2014-07-07,95.50,95.66,95.12,95.40,1962800,94.86
2014-07-03,95.58,95.94,95.22,95.84,1633800,95.29
2014-07-02,95.19,95.78,95.06,95.21,1595500,94.67
2014-07-01,95.42,96.24,95.28,95.35,3026300,94.81
2014-06-30,95.00,95.34,94.55,94.87,2634300,94.33
2014-06-27,94.25,95.05,94.13,94.93,3630700,94.39
2014-06-26,94.83,94.94,93.54,94.30,2594800,93.76
2014-06-25,94.26,95.21,94.20,94.64,2398400,94.10
2014-06-24,95.09,95.55,94.25,94.43,2088700,93.89
2014-06-23,95.33,95.75,94.79,95.51,2102500,94.96
2014-06-20,95.58,96.04,95.03,95.54,5387400,94.99
2014-06-19,95.46,95.70,94.53,95.07,3206400,94.53
2014-06-18,94.75,95.59,94.08,95.56,2454800,95.01
2014-06-17,94.37,95.20,94.01,94.66,2572300,94.12
2014-06-16,94.36,94.75,93.84,94.37,2832500,93.83
2014-06-13,94.95,95.17,94.38,94.85,1793000,94.31
2014-06-12,95.35,95.48,94.36,94.76,2870500,94.22
2014-06-11,94.94,95.26,94.64,95.08,1884000,94.54
2014-06-10,95.09,95.39,94.68,95.28,2418300,94.74
2014-06-09,95.08,95.88,94.65,95.57,3825200,95.02
2014-06-06,92.94,94.94,92.82,94.91,4550800,94.37
2014-06-05,91.92,93.21,91.53,92.80,3219200,92.27
2014-06-04,91.59,91.90,91.33,91.81,2637000,91.29
2014-06-03,91.61,91.85,91.27,91.73,2589100,91.21
2014-06-02,91.79,92.11,91.43,91.89,2832100,91.37
2014-05-30,91.00,91.68,90.89,91.50,3594800,90.98
2014-05-29,91.12,91.30,90.53,91.28,2668500,90.76
2014-05-28,91.31,91.36,90.63,91.06,2466800,90.54
2014-05-27,89.60,91.47,89.35,91.39,5093800,90.87
2014-05-23,88.11,88.86,88.00,88.78,1858200,88.27
2014-05-22,87.79,88.39,87.55,88.15,2654800,87.65
2014-05-21,87.57,88.14,87.38,87.86,2525600,87.36
2014-05-20,87.82,88.05,86.86,87.09,2798400,86.59
2014-05-19,87.18,88.22,87.11,88.12,2000300,87.62
2014-05-16,87.60,87.76,86.90,87.50,3062400,87.00
2014-05-15,88.20,88.58,87.11,87.60,3324400,87.10
2014-05-14,89.17,89.43,88.31,88.46,2238500,87.95
2014-05-13,89.65,90.00,89.04,89.09,2298500,88.58
2014-05-12,89.42,89.97,89.32,89.66,2343800,89.15
2014-05-09,88.46,89.03,88.13,88.84,2344700,88.33
2014-05-08,87.88,89.28,87.66,88.62,4220200,88.11
2014-05-07,86.79,88.05,86.11,87.98,4601500,87.48
2014-05-06,87.25,87.25,86.08,86.20,3269400,85.71
2014-05-05,86.00,87.42,85.75,87.36,3340000,86.86
2014-05-02,86.77,87.31,86.41,86.93,3707400,86.43
2014-05-01,87.53,87.58,86.33,86.82,4679900,86.32
2014-04-30,87.61,87.66,86.96,87.43,4351600,86.93
2014-04-29,87.34,87.95,87.19,87.79,2852900,87.29
2014-04-28,87.44,87.58,85.85,87.06,4760400,86.56
2014-04-25,87.02,87.30,86.62,87.03,4226100,86.53
2014-04-24,87.26,87.98,86.91,87.41,3187000,86.91
2014-04-23,87.01,87.64,86.67,87.13,3788200,86.63
2014-04-22,86.71,87.44,86.43,87.07,3420400,86.57
2014-04-21,86.38,86.86,86.16,86.67,3762300,86.18
2014-04-17,87.16,87.92,85.10,86.22,9244400,85.73
2014-04-16,86.84,87.48,86.48,87.40,4055100,86.90
2014-04-15,85.87,86.73,84.32,86.04,3741700,85.55
2014-04-14,85.09,86.34,84.04,85.50,4011900,85.01
2014-04-11,84.90,85.45,83.99,84.54,4014300,84.06
2014-04-10,88.47,88.75,85.30,85.36,5213800,84.87
2014-04-09,86.90,88.72,86.64,88.72,3592900,88.21
2014-04-08,86.63,86.80,85.58,86.49,3880300,86.00
2014-04-07,89.03,89.43,86.55,86.60,5557600,86.11
2014-04-04,91.17,91.40,89.07,89.17,2933600,88.66
2014-04-03,90.67,91.20,90.40,90.98,2483600,90.46
2014-04-02,90.85,91.09,90.13,90.40,2886700,89.88
2014-04-01,90.40,91.23,90.21,91.17,2821600,90.42
2014-03-31,91.08,91.94,89.88,90.03,5172400,89.29
2014-03-28,90.27,91.56,90.00,90.46,3138900,89.72
2014-03-27,89.70,90.43,89.27,89.99,3602800,89.25
2014-03-26,91.36,91.69,89.63,89.66,3011200,88.92
2014-03-25,91.37,91.90,90.63,90.84,2420000,90.09
2014-03-24,91.64,91.75,90.29,91.01,2520600,90.26
2014-03-21,92.78,93.72,91.36,91.52,6684500,90.77
2014-03-20,90.48,91.90,90.23,91.69,3779700,90.94
2014-03-19,91.67,91.96,90.28,90.73,3425700,89.98
2014-03-18,91.27,91.97,91.13,91.59,2348300,90.84
2014-03-17,90.51,91.73,90.49,91.26,3033000,90.51
2014-03-14,90.55,91.22,89.64,90.17,3583900,89.43
2014-03-13,93.20,93.48,90.41,90.69,3990200,89.94
2014-03-12,92.68,92.92,91.90,92.90,2486100,92.14
2014-03-11,93.83,93.88,93.03,93.20,1946200,92.43
2014-03-10,93.62,93.88,93.14,93.70,2218700,92.93
2014-03-07,94.11,94.35,93.36,93.86,3864600,93.09
2014-03-06,92.56,93.64,92.36,93.52,3957900,92.75
2014-03-05,92.59,92.59,91.91,92.14,3086400,91.38
2014-03-04,91.05,92.68,91.03,92.61,3752000,91.85
2014-03-03,90.60,90.63,89.16,89.97,3465300,89.23
2014-02-28,90.25,92.14,90.09,91.28,4689200,90.53
2014-02-27,89.65,90.43,89.51,90.29,3075600,89.55
2014-02-26,90.16,90.69,89.21,89.73,4840200,88.99
2014-02-25,90.00,90.37,89.15,89.91,2914800,89.17
2014-02-24,88.79,90.43,88.79,89.92,3261200,89.18
2014-02-21,89.06,89.41,88.56,88.75,3808700,88.02
2014-02-20,88.80,89.23,88.12,89.01,4411800,88.28
2014-02-19,88.89,90.32,88.75,88.84,4332300,88.11
2014-02-18,88.80,89.14,88.29,89.02,3591600,88.29
2014-02-14,88.86,89.27,88.26,89.00,2671800,88.27
2014-02-13,88.37,88.98,88.01,88.90,2759700,88.17
2014-02-12,88.69,89.05,88.40,89.02,2488600,88.29
2014-02-11,88.36,88.84,88.17,88.58,3602400,87.85
2014-02-10,87.83,88.96,87.50,88.34,5387900,87.61
2014-02-07,85.96,87.17,85.78,87.00,4495200,86.28
2014-02-06,84.50,85.76,84.32,85.69,5432400,84.99
2014-02-05,83.51,84.12,82.95,83.72,3260100,83.03
2014-02-04,83.19,84.71,82.63,84.00,5380500,83.31
2014-02-03,84.99,85.42,82.77,82.86,5769800,82.18
2014-01-31,85.28,85.91,84.91,85.02,4778000,84.32
2014-01-30,86.45,86.98,86.07,86.62,4259000,85.91
2014-01-29,86.29,86.90,85.43,85.55,3357900,84.85
2014-01-28,85.85,87.18,85.60,86.64,4108700,85.93
2014-01-27,87.15,87.77,85.71,85.72,5651400,85.02
2014-01-24,88.56,89.37,86.66,86.95,6289300,86.24
2014-01-23,90.49,90.49,88.68,89.17,5260900,88.44
2014-01-22,90.64,91.42,90.62,91.13,3848700,90.38
2014-01-21,91.97,92.71,89.64,90.59,7954600,89.85
2014-01-17,91.83,93.62,90.55,90.97,14989900,90.22
2014-01-16,88.00,88.24,87.26,87.78,3326100,87.06
2014-01-15,87.46,88.53,87.08,88.25,4494900,87.52
2014-01-14,87.08,87.45,86.07,87.12,4777900,86.40
2014-01-13,88.52,89.00,86.88,86.99,5641000,86.27
2014-01-10,89.26,89.56,88.10,88.55,2901600,87.82
2014-01-09,89.89,89.93,88.07,88.88,3469200,88.15
2014-01-08,88.66,89.64,88.66,89.41,3880200,88.68
2014-01-07,90.17,90.70,89.01,89.36,4039500,88.40
2014-01-06,89.70,90.25,89.38,89.70,2844700,88.73
2014-01-03,89.15,90.08,88.63,89.74,3888500,88.77
2014-01-02,90.90,91.08,89.38,89.45,5112000,88.49
2013-12-31,89.87,90.79,89.52,90.73,3083500,89.75
2013-12-30,89.19,89.62,89.14,89.59,1769000,88.62
2013-12-27,88.82,89.51,88.82,89.19,1797400,88.23
2013-12-26,88.90,89.23,88.76,89.00,1745200,88.04
2013-12-24,88.34,88.74,88.19,88.69,1042700,87.73
2013-12-23,88.00,88.58,87.94,88.31,3242600,87.36
2013-12-20,86.71,87.78,86.44,87.57,6294500,86.63
2013-12-19,85.94,86.53,85.91,86.41,3956300,85.48
2013-12-18,84.30,86.12,83.55,85.99,5332300,85.06
2013-12-17,84.71,84.72,83.99,84.11,2893700,83.20
2013-12-16,83.96,84.97,83.96,84.52,3599000,83.61
2013-12-13,83.32,83.92,83.23,83.68,3594900,82.78
2013-12-12,83.78,84.28,83.21,83.30,3574300,82.40
2013-12-11,85.28,85.67,83.81,83.90,3782300,83.00
2013-12-10,85.38,85.74,85.08,85.29,2354200,84.37
2013-12-09,86.17,86.40,85.35,85.75,2436500,84.83
2013-12-06,85.59,86.09,85.35,85.93,2666600,85.00
2013-12-05,84.27,84.99,84.15,84.54,3677800,83.63
2013-12-04,84.21,85.24,83.76,84.50,3579700,83.59
2013-12-03,84.89,85.33,84.20,84.61,3546100,83.70
2013-12-02,86.02,86.53,85.16,85.29,3620800,84.37
