Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,15.53,16.18,15.29,16.16,1182900,16.16
2014-12-01,16.78,16.81,15.43,15.53,1299200,15.53
2014-11-28,16.80,17.70,16.67,16.94,779600,16.94
2014-11-26,16.67,16.88,16.40,16.81,783200,16.81
2014-11-25,16.60,16.92,16.10,16.52,1036700,16.52
2014-11-24,16.83,17.15,16.20,16.61,4444900,16.61
2014-11-21,16.00,16.23,15.66,15.73,945000,15.73
2014-11-20,15.53,16.22,15.36,15.78,885500,15.78
2014-11-19,15.58,16.07,15.25,15.64,1385400,15.64
2014-11-18,15.45,15.68,15.33,15.57,710300,15.57
2014-11-17,15.24,15.48,14.96,15.34,707100,15.34
2014-11-14,15.13,15.43,14.83,15.33,866500,15.33
2014-11-13,15.61,15.73,15.10,15.19,862200,15.19
2014-11-12,15.60,15.80,15.08,15.53,1346800,15.53
2014-11-11,15.81,16.05,15.33,15.60,1283600,15.60
2014-11-10,16.19,16.88,15.51,16.04,2460200,16.04
2014-11-07,16.23,16.45,15.83,16.12,1232000,16.12
2014-11-06,15.13,16.57,15.12,16.26,1933800,16.26
2014-11-05,16.57,16.65,15.12,15.17,2043400,15.17
2014-11-04,16.25,16.41,15.78,16.38,1214700,16.38
2014-11-03,16.35,16.69,16.00,16.40,1840500,16.40
2014-10-31,17.41,17.87,15.85,16.17,4245400,16.17
2014-10-30,15.13,15.79,15.04,15.73,1518100,15.73
2014-10-29,15.03,15.25,14.31,15.19,2220100,15.19
2014-10-28,16.07,16.07,15.00,15.12,3898200,15.12
2014-10-27,14.80,16.68,14.74,15.91,15718100,15.91
2014-10-24,23.23,23.62,22.90,23.56,789000,23.56
2014-10-23,22.29,23.60,22.05,23.04,1113000,23.04
2014-10-22,22.71,22.71,21.61,22.29,1022400,22.29
2014-10-21,23.10,23.20,22.28,22.49,814500,22.49
2014-10-20,21.88,23.26,21.79,22.83,1039600,22.83
2014-10-17,24.74,24.95,22.16,22.22,3908200,22.22
2014-10-16,20.13,22.50,20.00,22.30,2473800,22.30
2014-10-15,19.09,21.10,18.84,20.91,1973400,20.91
2014-10-14,18.86,19.75,18.05,18.91,1200600,18.91
2014-10-13,18.75,19.29,17.54,18.61,2137700,18.61
2014-10-10,19.69,19.93,18.65,18.77,1302200,18.77
2014-10-09,21.02,21.02,19.59,19.85,1440900,19.85
2014-10-08,20.88,21.23,19.66,20.89,1704400,20.89
2014-10-07,21.61,22.08,20.85,20.94,1079700,20.94
2014-10-06,23.54,23.63,21.66,21.83,1963000,21.83
2014-10-03,21.95,23.75,21.66,23.30,2200800,23.30
2014-10-02,21.66,21.93,20.55,21.63,1953400,21.63
2014-10-01,22.25,22.97,21.40,21.88,3608400,21.88
2014-09-30,21.72,21.84,20.71,21.10,1409800,21.10
2014-09-29,21.24,21.87,21.11,21.48,671600,21.48
2014-09-26,22.20,22.20,21.28,21.89,599700,21.89
2014-09-25,21.90,22.29,20.91,22.09,1010600,22.09
2014-09-24,21.50,22.13,20.83,21.98,1186900,21.98
