Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,1.16,1.16,1.07,1.14,46200,1.14
2014-12-01,1.12,1.18,1.11,1.12,78000,1.12
2014-11-28,1.09,1.09,1.03,1.08,11400,1.08
2014-11-26,1.14,1.18,1.07,1.14,30600,1.14
2014-11-25,1.20,1.20,1.08,1.11,18400,1.11
2014-11-24,1.20,1.21,1.14,1.14,20100,1.14
2014-11-21,1.21,1.21,1.13,1.17,11900,1.17
2014-11-20,1.06,1.21,1.06,1.19,176200,1.19
2014-11-19,1.05,1.06,1.03,1.05,31700,1.05
2014-11-18,1.08,1.09,1.06,1.09,6400,1.09
2014-11-17,1.08,1.08,1.06,1.08,19900,1.08
2014-11-14,1.09,1.11,1.02,1.05,52200,1.05
2014-11-13,1.14,1.14,1.07,1.08,8000,1.08
2014-11-12,1.19,1.19,1.10,1.13,11100,1.13
2014-11-11,1.13,1.18,1.10,1.18,65300,1.18
2014-11-10,1.13,1.16,1.13,1.13,34200,1.13
2014-11-07,1.20,1.20,1.15,1.16,10400,1.16
2014-11-06,1.12,1.22,1.12,1.18,11700,1.18
2014-11-05,1.24,1.24,1.16,1.16,12900,1.16
2014-11-04,1.23,1.23,1.12,1.14,20300,1.14
2014-11-03,1.17,1.22,1.17,1.17,5700,1.17
2014-10-31,1.24,1.24,1.18,1.19,9400,1.19
2014-10-30,1.13,1.17,1.13,1.15,1000,1.15
2014-10-29,1.18,1.25,1.12,1.16,56600,1.16
2014-10-28,1.15,1.25,1.11,1.18,14800,1.18
2014-10-27,1.23,1.23,1.11,1.13,9000,1.13
2014-10-24,1.20,1.20,1.16,1.18,14100,1.18
2014-10-23,1.27,1.27,1.20,1.22,13600,1.22
2014-10-22,1.26,1.30,1.24,1.27,35500,1.27
2014-10-21,1.13,1.23,1.13,1.21,101700,1.21
2014-10-20,1.14,1.16,1.13,1.15,16300,1.15
2014-10-17,1.20,1.26,1.14,1.15,105300,1.15
2014-10-16,1.18,1.18,1.13,1.16,32500,1.16
2014-10-15,1.13,1.19,1.10,1.17,29700,1.17
2014-10-14,1.21,1.22,1.12,1.16,15100,1.16
2014-10-13,1.10,1.21,1.10,1.15,42600,1.15
2014-10-10,1.17,1.17,1.10,1.10,42800,1.10
2014-10-09,1.27,1.27,1.15,1.17,22100,1.17
2014-10-08,1.20,1.22,1.13,1.20,32800,1.20
2014-10-07,1.38,1.38,1.20,1.22,84400,1.22
2014-10-06,1.35,1.43,1.30,1.32,53400,1.32
2014-10-03,1.41,1.43,1.32,1.35,49400,1.35
2014-10-02,1.37,1.43,1.34,1.40,49800,1.40
2014-10-01,1.41,1.44,1.34,1.35,82200,1.35
2014-09-30,1.49,1.55,1.40,1.42,100600,1.42
2014-09-29,1.40,1.76,1.35,1.50,600000,1.50
2014-09-26,1.64,1.64,1.32,1.41,362000,1.41
2014-09-25,1.82,1.82,1.52,1.63,419800,1.63
2014-09-24,2.43,2.65,1.65,1.72,8449500,1.72
2014-09-23,1.36,1.97,1.28,1.93,1374900,1.93
2014-09-22,1.20,1.47,1.20,1.38,268600,1.38
2014-09-19,1.25,1.26,1.20,1.21,37300,1.21
2014-09-18,1.24,1.28,1.22,1.26,8100,1.26
2014-09-17,1.24,1.35,1.24,1.26,32500,1.26
2014-09-16,1.21,1.22,1.21,1.22,8400,1.22
2014-09-15,1.36,1.37,1.21,1.22,49800,1.22
2014-09-12,1.33,1.39,1.33,1.35,13200,1.35
2014-09-11,1.42,1.42,1.32,1.32,16000,1.32
2014-09-10,1.44,1.57,1.35,1.44,69000,1.44
2014-09-09,1.55,1.55,1.33,1.40,87100,1.40
2014-09-08,1.51,1.63,1.35,1.50,177000,1.50
2014-09-05,1.24,1.60,1.19,1.49,467100,1.49
2014-09-04,1.28,1.30,1.23,1.30,18500,1.30
2014-09-03,1.30,1.30,1.22,1.30,10800,1.30
2014-09-02,1.30,1.30,1.18,1.30,24700,1.30
2014-08-29,1.17,1.24,1.17,1.24,7100,1.24
2014-08-28,1.10,1.29,1.10,1.24,35800,1.24
2014-08-27,1.25,1.25,1.14,1.20,20500,1.20
2014-08-26,1.23,1.29,1.20,1.22,20400,1.22
2014-08-25,1.25,1.41,1.21,1.25,25000,1.25
2014-08-22,1.20,1.46,1.10,1.23,88400,1.23
2014-08-21,0.93,1.26,0.93,1.19,180500,1.19
2014-08-20,0.90,0.96,0.89,0.92,68200,0.92
2014-08-19,1.00,1.01,0.91,0.91,25000,0.91
2014-08-18,1.02,1.03,1.00,1.01,19400,1.01
2014-08-15,1.07,1.07,1.02,1.02,8400,1.02
2014-08-14,1.16,1.20,0.95,1.04,113400,1.04
2014-08-13,1.16,1.20,1.15,1.20,8900,1.20
2014-08-12,1.21,1.25,1.15,1.15,31600,1.15
2014-08-11,1.14,1.24,1.14,1.23,15900,1.23
2014-08-08,1.11,1.20,1.11,1.15,11900,1.15
2014-08-07,1.26,1.26,1.11,1.15,29400,1.15
2014-08-06,1.29,1.30,1.21,1.21,23300,1.21
2014-08-05,1.29,1.29,1.27,1.28,1800,1.28
2014-08-04,1.26,1.28,1.25,1.28,5200,1.28
2014-08-01,1.30,1.30,1.25,1.25,7600,1.25
2014-07-31,1.32,1.32,1.27,1.28,21600,1.28
2014-07-30,1.37,1.37,1.30,1.35,19200,1.35
