Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,1.51,1.51,1.43,1.43,3700,1.43
2014-12-01,1.47,1.55,1.43,1.48,3900,1.48
2014-11-28,1.55,1.59,1.43,1.48,14800,1.48
2014-11-26,1.62,1.62,1.54,1.58,10200,1.58
2014-11-25,1.56,1.61,1.49,1.55,13200,1.55
2014-11-24,1.55,1.62,1.53,1.54,8000,1.54
2014-11-21,1.67,1.67,1.57,1.60,16400,1.60
2014-11-20,1.61,1.68,1.52,1.54,13200,1.54
2014-11-19,1.46,1.75,1.43,1.61,54300,1.61
2014-11-18,1.46,1.48,1.44,1.48,5000,1.48
2014-11-17,1.45,1.48,1.42,1.42,6500,1.42
2014-11-14,1.42,1.46,1.42,1.46,3100,1.46
2014-11-13,1.47,1.49,1.46,1.46,1500,1.46
2014-11-12,1.48,1.48,1.48,1.48,000,1.48
2014-11-11,1.44,1.48,1.42,1.48,6900,1.48
2014-11-10,1.49,1.49,1.43,1.43,500,1.43
2014-11-07,1.43,1.48,1.43,1.43,1300,1.43
2014-11-06,1.50,1.50,1.44,1.45,6100,1.45
2014-11-05,1.54,1.66,1.44,1.44,9000,1.44
2014-11-04,1.56,1.56,1.51,1.51,2200,1.51
2014-11-03,1.50,1.56,1.50,1.55,2200,1.55
2014-10-31,1.53,1.55,1.52,1.55,3700,1.55
2014-10-30,1.51,1.53,1.47,1.47,21600,1.47
2014-10-29,1.59,1.62,1.46,1.47,18700,1.47
2014-10-28,1.61,1.65,1.54,1.56,6000,1.56
2014-10-27,1.62,1.62,1.57,1.57,2700,1.57
2014-10-24,1.75,1.78,1.61,1.61,23300,1.61
2014-10-23,1.69,1.69,1.62,1.68,8000,1.68
2014-10-22,1.64,1.66,1.61,1.62,3600,1.62
2014-10-21,1.54,1.82,1.54,1.69,45700,1.69
2014-10-20,1.47,1.54,1.46,1.54,13300,1.54
2014-10-17,1.52,1.52,1.52,1.52,800,1.52
2014-10-16,1.47,1.48,1.47,1.48,1400,1.48
