Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,59.18,59.80,59.18,59.64,36900,59.64
2014-12-01,59.64,60.00,59.00,59.17,48400,59.17
2014-11-28,60.13,60.65,59.51,59.52,23700,59.52
2014-11-26,60.17,60.60,59.77,60.28,40200,60.28
2014-11-25,60.78,61.22,60.54,60.71,34600,60.01
2014-11-24,60.43,62.26,60.43,60.91,43700,60.21
2014-11-21,61.43,61.43,60.36,60.49,29400,59.79
2014-11-20,59.95,61.17,59.95,60.82,33800,60.12
2014-11-19,60.59,60.88,59.31,59.95,34700,59.26
2014-11-18,60.62,61.09,60.09,60.39,63400,59.69
2014-11-17,60.25,60.60,60.05,60.37,44600,59.67
2014-11-14,60.47,60.84,60.15,60.21,43400,59.52
2014-11-13,60.70,61.27,60.41,60.63,44400,59.93
2014-11-12,60.74,60.75,60.28,60.58,43200,59.88
2014-11-11,60.02,60.74,59.83,60.70,59200,60.00
2014-11-10,59.31,60.35,59.31,60.22,41600,59.53
2014-11-07,59.53,59.83,58.85,59.42,35900,58.73
2014-11-06,58.49,59.37,58.27,59.37,40700,58.69
2014-11-05,61.74,62.39,58.47,58.64,156700,57.96
2014-11-04,62.45,63.46,62.33,62.88,30000,62.15
2014-11-03,62.35,62.64,62.00,62.30,59000,61.58
2014-10-31,63.02,63.30,62.06,62.38,69200,61.66
2014-10-30,61.32,62.62,61.32,62.17,42600,61.45
2014-10-29,60.60,61.52,60.51,61.40,35200,60.69
2014-10-28,60.20,60.66,60.00,60.65,67100,59.95
2014-10-27,59.80,60.13,59.80,59.86,27100,59.17
2014-10-24,59.19,60.00,59.14,59.90,28000,59.21
2014-10-23,59.40,59.94,59.08,59.39,50400,58.71
2014-10-22,59.28,59.66,59.10,59.14,49500,58.46
2014-10-21,59.49,60.05,59.12,59.39,57200,58.71
2014-10-20,59.00,59.69,58.61,59.44,40800,58.75
2014-10-17,60.20,60.20,59.00,59.16,62300,58.48
2014-10-16,59.22,59.99,58.86,59.38,51600,58.70
2014-10-15,58.38,59.98,58.38,59.51,69000,58.82
2014-10-14,58.60,59.27,58.22,58.98,81200,58.30
2014-10-13,57.08,58.80,57.08,58.07,59300,57.40
