Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,44.45,46.00,43.83,44.72,33900,44.72
2014-12-01,45.18,45.18,43.80,44.18,34900,44.18
2014-11-28,47.48,47.83,44.76,44.89,16500,44.89
2014-11-26,47.60,48.54,47.60,47.79,17400,47.79
2014-11-25,47.77,48.47,47.35,48.11,37400,47.89
2014-11-24,46.77,46.99,46.21,46.72,32700,46.51
2014-11-21,47.35,49.09,45.24,46.64,47400,46.43
2014-11-20,44.00,46.09,43.92,45.96,29300,45.75
2014-11-19,44.40,45.48,44.01,44.26,27100,44.06
2014-11-18,45.75,46.01,44.88,45.56,42900,45.35
2014-11-17,46.02,46.34,45.46,45.50,25500,45.29
2014-11-14,45.90,47.20,44.24,46.54,39700,46.33
2014-11-13,46.58,46.60,45.51,45.94,19400,45.73
2014-11-12,45.61,46.84,45.46,46.83,23200,46.62
2014-11-11,46.02,46.36,45.57,46.11,17600,45.90
2014-11-10,47.18,47.96,45.48,46.27,21800,46.06
2014-11-07,45.61,47.87,45.58,47.60,25000,47.38
2014-11-06,45.25,46.06,44.83,46.00,14500,45.79
2014-11-05,45.42,45.55,44.48,45.40,23100,45.19
2014-11-04,45.97,45.97,44.35,44.90,43200,44.69
2014-11-03,46.48,46.93,45.81,46.19,26400,45.98
2014-10-31,46.77,46.79,45.33,46.49,72600,46.28
2014-10-30,45.57,46.02,44.92,45.73,22900,45.52
2014-10-29,46.84,47.52,45.14,45.68,39000,45.47
2014-10-28,44.38,46.77,44.38,46.31,60800,46.10
2014-10-27,44.01,44.05,43.35,43.94,25300,43.74
2014-10-24,44.58,45.25,44.36,44.55,21900,44.35
2014-10-23,44.61,45.05,44.11,44.78,29900,44.58
2014-10-22,44.94,44.94,43.79,43.94,25400,43.74
2014-10-21,44.08,44.89,43.68,44.66,41200,44.46
2014-10-20,42.95,43.63,42.95,43.46,32100,43.26
2014-10-17,43.79,43.93,42.66,42.86,32700,42.66
2014-10-16,41.47,43.49,41.47,43.09,39300,42.89
2014-10-15,40.95,42.36,40.95,42.25,56100,42.06
2014-10-14,40.63,41.72,40.49,41.23,102400,41.04
2014-10-13,40.42,40.97,40.05,40.49,75500,40.30
2014-10-10,41.30,42.13,40.16,40.22,64200,40.04
2014-10-09,42.39,42.39,41.33,41.59,91100,41.40
2014-10-08,42.36,42.73,41.13,42.53,69800,42.34
2014-10-07,43.90,44.61,42.52,42.56,37500,42.37
2014-10-06,44.33,44.89,43.84,44.09,45800,43.89
2014-10-03,45.59,45.59,44.16,44.31,69200,44.11
2014-10-02,44.78,45.56,44.73,45.09,59300,44.88
2014-10-01,45.64,46.03,44.51,44.51,102600,44.31
2014-09-30,46.62,46.77,45.58,45.99,76400,45.78
2014-09-29,47.24,47.28,46.51,46.76,57800,46.55
2014-09-26,47.82,48.10,46.99,47.45,36700,47.23
2014-09-25,48.51,48.65,46.92,47.72,77100,47.50
2014-09-24,49.63,49.63,48.52,48.69,28100,48.47
2014-09-23,50.70,51.00,49.28,49.47,43900,49.24
2014-09-22,51.05,51.46,50.37,50.52,68000,50.29
