Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,18.63,19.10,18.50,19.06,6200,18.27
2014-06-18,18.25,18.59,18.25,18.59,2800,17.82
2014-06-17,18.05,18.05,17.85,18.04,800,17.29
2014-06-16,17.91,17.91,17.91,17.91,500,17.16
2014-06-13,18.18,18.19,17.87,17.87,2500,17.13
2014-06-12,17.71,17.71,17.71,17.71,300,16.97
2014-06-11,17.85,18.28,17.81,18.19,7600,17.43
2014-06-10,17.78,17.83,17.65,17.83,2700,17.09
2014-06-09,17.79,18.00,17.71,17.79,2100,17.05
2014-06-06,17.90,18.00,17.90,18.00,3300,17.25
2014-06-05,17.52,17.80,17.52,17.80,3900,17.06
2014-06-04,17.90,17.91,17.80,17.80,2200,17.06
2014-06-03,17.74,18.11,17.74,18.11,1700,17.36
2014-06-02,17.98,18.20,17.98,18.20,5600,17.44
2014-05-30,17.95,18.25,17.95,18.25,1800,17.49
2014-05-29,18.23,18.23,18.23,18.23,000,17.47
2014-05-28,18.24,18.25,18.23,18.23,900,17.47
2014-05-27,18.23,18.23,17.93,18.22,700,17.46
2014-05-23,17.92,17.92,17.92,17.92,000,17.17
2014-05-22,17.92,18.23,17.92,17.92,2600,17.17
2014-05-21,17.78,18.03,17.61,18.02,9300,17.27
2014-05-20,17.91,17.93,17.58,17.93,3900,17.18
2014-05-19,18.24,18.24,17.90,17.95,2600,17.20
2014-05-16,18.13,18.48,17.95,18.34,15400,17.58
2014-05-15,17.06,17.06,17.06,17.06,1200,16.35
2014-05-14,17.00,17.00,16.80,17.00,1900,16.29
2014-05-13,17.00,17.30,17.00,17.06,3500,16.35
2014-05-12,16.99,17.00,16.70,16.97,8100,16.26
2014-05-09,16.65,17.02,16.46,17.02,2100,16.31
2014-05-08,16.97,17.00,16.76,16.93,8600,16.23
2014-05-07,16.79,16.79,16.79,16.79,100,16.09
2014-05-06,16.72,16.72,16.29,16.62,1200,15.93
2014-05-05,16.89,17.10,16.70,17.10,1100,16.39
2014-05-02,16.89,16.89,16.89,16.89,000,16.19
2014-05-01,16.75,16.89,16.75,16.89,300,16.19
2014-04-30,16.95,16.95,16.95,16.95,000,16.24
2014-04-29,16.90,16.97,16.79,16.95,1200,16.24
2014-04-28,17.27,17.27,16.83,17.14,1600,16.43
2014-04-25,16.50,16.70,16.50,16.70,1300,16.00
2014-04-24,17.00,17.05,17.00,17.00,1200,16.29
2014-04-23,17.39,17.40,17.00,17.38,600,16.66
2014-04-22,16.93,17.20,16.93,17.20,700,16.48
2014-04-21,16.43,16.94,16.21,16.93,1900,16.23
2014-04-17,16.89,16.91,16.54,16.91,700,16.21
2014-04-16,16.50,16.50,16.50,16.50,400,15.81
2014-04-15,16.39,16.55,16.38,16.53,5400,15.84
2014-04-14,16.45,17.18,16.45,16.71,2000,16.01
2014-04-11,16.69,16.69,16.68,16.68,500,15.99
2014-04-10,17.35,17.35,17.35,17.35,400,16.63
2014-04-09,17.45,17.45,17.44,17.45,300,16.72
2014-04-08,17.50,17.51,17.35,17.35,5900,16.63
2014-04-07,17.50,17.53,17.50,17.53,1400,16.80
2014-04-04,17.49,17.50,17.37,17.50,2800,16.77
2014-04-03,17.50,17.50,17.21,17.50,6300,16.77
2014-04-02,17.57,17.65,17.51,17.60,3900,16.87
2014-04-01,17.59,17.59,17.59,17.59,100,16.86
2014-03-31,17.68,17.68,17.38,17.66,2400,16.92
2014-03-28,17.94,17.99,17.42,17.49,4600,16.76
2014-03-27,17.85,18.05,17.60,17.78,2600,17.04
2014-03-26,17.69,17.69,17.69,17.69,100,16.95
2014-03-25,17.75,17.75,17.45,17.65,2200,16.92
2014-03-24,17.60,17.75,17.50,17.75,5500,17.01
2014-03-21,17.84,17.84,17.50,17.59,2500,16.86
2014-03-20,17.80,18.00,17.80,17.89,1400,17.15
2014-03-19,18.13,18.13,17.20,17.20,6400,16.48
2014-03-18,17.50,17.55,17.48,17.50,3500,16.77
2014-03-17,17.98,17.98,17.30,17.35,9700,16.63
2014-03-14,17.47,18.01,17.47,17.67,1600,16.93
2014-03-13,17.40,17.55,17.35,17.48,9600,16.75
2014-03-12,17.25,17.45,17.00,17.21,7200,16.49
2014-03-11,16.62,17.48,16.62,17.23,6300,16.51
2014-03-10,15.90,16.39,15.89,16.33,7900,15.65
2014-03-07,16.49,16.50,15.90,15.90,10500,15.24
2014-03-06,16.49,16.49,16.03,16.27,3200,15.59
2014-03-05,16.55,16.55,16.38,16.38,2300,15.70
2014-03-04,15.80,16.75,15.80,16.50,5400,15.81
2014-03-03,15.65,15.70,15.45,15.57,1800,14.92
2014-02-28,15.83,16.24,15.75,15.75,2700,15.09
2014-02-27,15.82,15.83,15.15,15.66,11700,15.01
2014-02-26,13.81,14.25,13.81,14.25,2900,13.66
2014-02-25,14.04,14.04,13.99,14.00,7200,13.42
2014-02-24,14.50,14.50,13.86,14.00,4700,13.42
2014-02-21,14.93,15.00,14.90,15.00,6100,13.54
2014-02-20,14.98,15.00,14.93,14.93,1100,13.47
2014-02-19,15.00,15.00,14.84,14.99,1800,13.53
2014-02-18,15.24,15.25,14.79,15.00,900,13.54
2014-02-14,14.85,14.85,14.44,14.84,7800,13.39
2014-02-13,15.10,15.10,14.54,14.76,2700,13.32
2014-02-12,15.15,15.15,15.15,15.15,2000,13.67
2014-02-11,14.85,15.25,14.85,15.15,1900,13.67
2014-02-10,14.56,14.80,14.56,14.70,2300,13.27
2014-02-07,14.86,15.05,14.84,14.84,1800,13.39
2014-02-06,14.61,15.16,14.61,14.68,2800,13.25
2014-02-05,14.53,14.75,14.25,14.36,12400,12.96
2014-02-04,15.11,15.31,14.53,14.57,9600,13.15
2014-02-03,14.95,15.15,14.75,14.95,7100,13.49
2014-01-31,14.94,15.17,14.65,15.15,5300,13.67
2014-01-30,15.27,15.27,14.51,15.00,11400,13.54
2014-01-29,15.55,15.73,15.50,15.73,300,14.20
2014-01-28,15.35,15.71,15.35,15.71,5100,14.18
2014-01-27,15.49,15.51,15.48,15.51,1800,14.00
2014-01-24,15.14,15.48,15.14,15.46,8700,13.95
2014-01-23,15.29,15.46,15.27,15.46,2600,13.95
2014-01-22,15.08,15.48,14.72,15.43,2300,13.93
2014-01-21,15.16,15.40,14.98,15.20,9400,13.72
2014-01-17,15.49,15.49,14.66,14.92,10500,13.46
2014-01-16,15.65,15.90,15.37,15.50,4300,13.99
2014-01-15,15.37,16.01,15.37,16.01,3400,14.45
2014-01-14,15.42,15.99,15.42,15.93,6700,14.38
2014-01-13,15.78,15.78,15.37,15.60,4200,14.08
2014-01-10,16.25,16.30,15.97,16.00,2200,14.44
2014-01-09,16.30,16.30,16.25,16.25,600,14.67
2014-01-08,15.86,16.45,15.86,16.25,15100,14.67
2014-01-07,15.85,16.11,15.85,16.11,4900,14.54
2014-01-06,16.16,16.16,15.80,15.88,600,14.33
2014-01-03,15.90,15.93,15.74,15.93,1200,14.38
2014-01-02,15.47,15.77,15.47,15.63,4700,14.11
2013-12-31,15.50,15.87,15.25,15.87,900,14.32
2013-12-30,15.80,15.96,15.43,15.65,5700,14.12
2013-12-27,15.89,16.00,14.70,15.65,7100,14.12
2013-12-26,16.05,16.05,15.70,15.75,1800,14.21
2013-12-24,16.20,16.20,16.20,16.20,000,14.62
2013-12-23,15.77,16.20,15.77,16.20,900,14.62
2013-12-20,15.80,16.27,15.80,16.20,6800,14.62
2013-12-19,15.60,15.74,15.54,15.73,2300,14.20
2013-12-18,16.04,16.04,16.04,16.04,800,14.48
2013-12-17,16.04,16.09,16.02,16.04,5200,14.48
2013-12-16,16.03,16.27,15.75,16.03,6700,14.47
2013-12-13,16.25,16.30,16.24,16.30,1100,14.71
2013-12-12,16.02,16.02,15.60,16.02,1200,14.46
2013-12-11,16.23,16.45,15.64,15.69,3200,14.16
2013-12-10,15.86,16.26,15.85,16.23,10400,14.65
2013-12-09,15.45,15.93,15.45,15.75,4600,14.21
2013-12-06,15.73,15.78,15.01,15.60,19900,14.08
2013-12-05,15.87,15.90,15.05,15.72,17000,14.19
2013-12-04,16.40,16.40,15.98,16.00,4500,14.44
2013-12-03,16.94,16.98,16.19,16.29,9900,14.70
2013-12-02,16.97,16.98,16.50,16.55,5100,14.94
