Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,28.59,28.89,28.41,28.89,2900,28.89
2014-12-01,28.51,28.67,28.40,28.42,4300,28.42
2014-11-28,28.68,28.83,28.33,28.51,4300,28.51
2014-11-26,28.71,28.74,28.70,28.70,2300,28.70
2014-11-25,28.52,28.85,28.50,28.70,5200,28.70
2014-11-24,28.47,29.12,28.38,28.85,3900,28.85
2014-11-21,28.88,28.88,28.33,28.55,9100,28.55
2014-11-20,28.50,28.63,28.31,28.57,7800,28.57
2014-11-19,29.55,29.55,28.61,28.61,4500,28.61
2014-11-18,29.09,29.50,29.09,29.32,5300,29.32
2014-11-17,29.30,29.60,29.01,29.13,12200,29.13
2014-11-14,30.12,30.12,29.52,29.52,8000,29.52
2014-11-13,29.95,29.95,29.76,29.90,14100,29.90
2014-11-12,29.89,29.95,29.89,29.95,4200,29.95
2014-11-11,29.88,29.95,29.88,29.90,5400,29.90
2014-11-10,29.92,29.95,29.85,29.95,11100,29.95
2014-11-07,29.94,29.94,29.50,29.77,5100,29.77
2014-11-06,29.72,29.95,29.36,29.94,10800,29.94
2014-11-05,29.95,29.95,29.77,29.77,4700,29.77
2014-11-04,29.71,29.95,29.71,29.85,6400,29.85
2014-11-03,29.69,29.95,29.69,29.94,6600,29.94
2014-10-31,29.95,29.95,29.62,29.79,16200,29.79
2014-10-30,29.58,30.10,29.58,29.95,19700,29.95
2014-10-29,29.93,29.99,29.83,29.83,9800,29.83
2014-10-28,29.89,29.95,29.78,29.95,14400,29.95
2014-10-27,29.45,29.95,29.45,29.95,16400,29.67
2014-10-24,29.37,29.77,29.35,29.66,16700,29.38
2014-10-23,29.68,30.06,29.22,29.49,11800,29.21
2014-10-22,29.71,29.97,29.26,29.61,13400,29.33
2014-10-21,30.00,30.00,29.57,30.00,8200,29.72
2014-10-20,29.91,30.08,29.20,29.99,9100,29.71
2014-10-17,30.50,30.50,29.02,29.87,13900,29.59
2014-10-16,29.53,31.10,29.27,30.20,11900,29.92
2014-10-15,29.03,30.29,29.03,29.96,9700,29.68
2014-10-14,29.88,29.99,28.86,29.51,23200,29.23
2014-10-13,28.88,29.74,28.88,29.52,5200,29.24
2014-10-10,28.18,28.90,28.18,28.77,7300,28.50
