Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,1.60,1.65,1.55,1.55,24800,1.55
2014-12-01,1.63,1.65,1.55,1.57,34600,1.57
2014-11-28,1.64,1.69,1.63,1.63,8600,1.63
2014-11-26,1.68,1.70,1.64,1.64,27800,1.64
2014-11-25,1.70,1.70,1.65,1.66,17600,1.66
2014-11-24,1.75,1.75,1.65,1.70,23700,1.70
2014-11-21,1.64,1.65,1.64,1.65,13400,1.65
2014-11-20,1.68,1.68,1.62,1.65,17900,1.65
2014-11-19,1.70,1.72,1.60,1.66,34100,1.66
2014-11-18,1.71,1.74,1.70,1.70,16400,1.70
2014-11-17,1.72,1.74,1.67,1.72,16900,1.72
2014-11-14,1.67,1.74,1.65,1.69,41700,1.69
2014-11-13,1.71,1.74,1.69,1.70,27400,1.70
2014-11-12,1.69,1.75,1.67,1.68,23300,1.68
2014-11-11,1.75,1.75,1.62,1.65,23200,1.65
2014-11-10,1.73,1.75,1.69,1.74,29000,1.74
2014-11-07,1.72,1.75,1.69,1.75,29100,1.75
2014-11-06,1.75,1.75,1.70,1.70,12400,1.70
2014-11-05,1.68,1.75,1.68,1.72,5200,1.72
2014-11-04,1.70,1.75,1.68,1.69,40900,1.69
2014-11-03,1.74,1.75,1.70,1.70,36000,1.70
2014-10-31,1.73,1.74,1.68,1.74,16200,1.74
2014-10-30,1.71,1.75,1.70,1.72,13200,1.72
2014-10-29,1.74,1.84,1.73,1.75,16700,1.75
2014-10-28,1.77,1.77,1.72,1.74,22900,1.74
2014-10-27,1.83,1.84,1.74,1.79,29900,1.79
2014-10-24,1.75,1.85,1.75,1.78,17900,1.78
2014-10-23,1.80,1.85,1.77,1.78,37800,1.78
2014-10-22,1.84,1.85,1.76,1.77,31400,1.77
2014-10-21,1.77,1.88,1.67,1.79,45300,1.79
2014-10-20,1.77,1.87,1.70,1.81,73900,1.81
2014-10-17,1.72,1.80,1.65,1.69,155800,1.69
2014-10-16,1.64,1.91,1.58,1.61,91900,1.61
2014-10-15,1.58,1.82,1.55,1.81,124200,1.81
2014-10-14,1.52,1.59,1.52,1.54,44600,1.54
2014-10-13,1.53,1.62,1.51,1.53,16900,1.53
2014-10-10,1.52,1.62,1.52,1.54,68500,1.54
2014-10-09,1.60,1.63,1.58,1.58,37700,1.58
2014-10-08,1.64,1.64,1.62,1.62,52200,1.62
2014-10-07,1.62,1.68,1.62,1.63,20500,1.63
2014-10-06,1.63,1.70,1.63,1.65,30300,1.65
2014-10-03,1.65,1.69,1.65,1.65,31100,1.65
2014-10-02,1.67,1.70,1.65,1.65,19900,1.65
2014-10-01,1.70,1.76,1.66,1.67,29400,1.67
2014-09-30,1.65,1.72,1.62,1.72,84900,1.72
2014-09-29,1.62,1.70,1.62,1.65,38100,1.65
2014-09-26,1.57,1.69,1.57,1.62,55600,1.62
2014-09-25,1.57,1.57,1.50,1.55,45900,1.55
2014-09-24,1.72,1.72,1.56,1.56,139200,1.56
2014-09-23,1.75,1.77,1.70,1.72,35500,1.72
2014-09-22,1.80,1.81,1.70,1.72,143500,1.72
2014-09-19,1.80,1.80,1.77,1.80,77900,1.80
2014-09-18,1.80,1.80,1.78,1.80,22900,1.80
2014-09-17,1.78,1.80,1.77,1.79,37400,1.79
2014-09-16,1.80,1.80,1.77,1.77,15900,1.77
2014-09-15,1.77,1.85,1.77,1.77,22000,1.77
2014-09-12,1.82,1.85,1.79,1.80,31100,1.80
2014-09-11,1.85,1.85,1.79,1.79,75000,1.79
2014-09-10,1.83,1.93,1.82,1.84,40800,1.84
2014-09-09,1.82,1.85,1.82,1.82,31400,1.82
2014-09-08,1.87,1.87,1.83,1.83,50600,1.83
2014-09-05,1.94,1.94,1.89,1.90,31600,1.90
2014-09-04,1.90,1.91,1.90,1.91,15500,1.91
2014-09-03,1.90,1.94,1.90,1.90,33100,1.90
2014-09-02,1.91,1.94,1.91,1.93,14500,1.93
2014-08-29,1.93,1.94,1.90,1.91,27300,1.91
