Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,39.87,40.26,39.79,40.12,111000,40.12
2014-12-01,39.78,40.27,39.29,39.79,179200,39.79
2014-11-28,40.60,40.76,39.92,40.07,55300,40.07
2014-11-26,40.30,40.71,39.95,40.48,104800,40.48
2014-11-25,40.22,40.34,39.87,40.19,81700,40.19
2014-11-24,39.72,40.13,39.72,40.10,79900,40.10
2014-11-21,39.95,39.95,39.24,39.54,86100,39.54
2014-11-20,38.55,39.44,38.29,39.31,108400,39.31
2014-11-19,39.12,39.18,37.95,38.74,225600,38.74
2014-11-18,39.74,40.12,39.09,39.09,150700,39.09
2014-11-17,40.00,40.32,39.50,39.64,114200,39.64
2014-11-14,40.58,40.70,40.08,40.19,79300,40.19
2014-11-13,40.36,40.97,39.79,40.54,77000,40.54
2014-11-12,40.00,40.58,39.60,40.43,84700,40.43
2014-11-11,39.82,40.15,39.55,39.97,93300,39.97
2014-11-10,39.73,40.08,39.37,39.88,119900,39.88
2014-11-07,40.07,40.07,39.17,39.79,68000,39.79
2014-11-06,39.63,40.32,39.23,40.29,63400,40.29
2014-11-05,40.42,40.68,39.27,39.76,94800,39.76
2014-11-04,40.39,40.90,40.03,40.21,135300,40.21
2014-11-03,41.14,41.53,40.63,40.84,240700,40.84
2014-10-31,42.49,42.49,38.19,40.98,273200,40.98
2014-10-30,36.85,38.48,36.51,38.19,126700,38.19
2014-10-29,37.28,37.60,36.67,37.10,106700,37.10
2014-10-28,36.64,37.30,36.50,37.07,232000,37.07
2014-10-27,35.99,36.48,35.90,36.35,71000,36.35
2014-10-24,36.36,36.60,35.63,36.26,72400,36.26
2014-10-23,35.75,36.63,35.56,36.32,95700,36.32
2014-10-22,36.25,36.25,35.21,35.30,70200,35.30
2014-10-21,35.74,36.47,35.67,35.80,104500,35.80
2014-10-20,36.10,36.60,35.47,35.61,102100,35.61
2014-10-17,37.00,37.00,36.27,36.36,168500,36.36
2014-10-16,36.36,37.39,36.06,36.56,230500,36.56
2014-10-15,35.00,36.91,34.58,36.83,108700,36.83
2014-10-14,34.93,35.86,34.76,35.54,128300,35.54
2014-10-13,33.84,35.09,33.73,34.66,115300,34.66
2014-10-10,34.16,34.82,33.84,33.92,284500,33.92
2014-10-09,35.47,35.51,34.31,34.37,48600,34.37
2014-10-08,34.62,35.55,34.32,35.38,85200,35.38
2014-10-07,35.46,35.57,34.67,34.71,94600,34.71
2014-10-06,36.20,36.37,35.65,35.66,80600,35.66
2014-10-03,35.76,36.23,35.31,36.18,63500,36.18
2014-10-02,35.29,35.55,35.14,35.39,149100,35.39
2014-10-01,35.35,35.54,35.06,35.23,157000,35.23
2014-09-30,35.61,35.76,35.31,35.56,146600,35.56
2014-09-29,35.27,35.74,35.23,35.63,93500,35.63
2014-09-26,35.35,35.77,35.28,35.67,99700,35.67
2014-09-25,35.43,35.43,34.83,35.28,111500,35.28
2014-09-24,34.94,35.68,34.76,35.46,69500,35.46
2014-09-23,35.55,35.69,34.75,34.98,192900,34.98
2014-09-22,35.59,36.07,35.28,35.61,104900,35.61
2014-09-19,35.80,36.35,35.66,35.86,182900,35.86
2014-09-18,35.10,35.78,34.96,35.72,100000,35.72
2014-09-17,34.92,35.38,34.78,35.03,84800,35.03
2014-09-16,34.97,35.33,34.78,34.98,78900,34.98
2014-09-15,35.28,35.40,34.85,34.98,133300,34.98
2014-09-12,35.57,35.68,35.16,35.36,139800,35.36
2014-09-11,35.45,35.92,35.44,35.69,146800,35.69
2014-09-10,35.40,35.78,35.06,35.74,88300,35.74
2014-09-09,35.00,35.57,34.55,35.43,175700,35.43
2014-09-08,34.56,34.81,34.12,34.59,61600,34.59
2014-09-05,33.95,34.52,33.89,34.48,45500,34.48
2014-09-04,34.49,34.63,33.92,34.12,51600,34.12
2014-09-03,34.38,34.71,34.09,34.49,108200,34.49
2014-09-02,34.02,34.73,34.02,34.54,57800,34.54
2014-08-29,33.75,34.14,33.55,34.05,58200,34.05
2014-08-28,34.41,34.41,33.68,33.75,66900,33.75
2014-08-27,34.44,34.75,34.13,34.68,92700,34.68
2014-08-26,33.92,34.52,33.73,34.43,72900,34.43
2014-08-25,34.28,34.40,33.80,33.98,33300,33.98
2014-08-22,34.37,34.42,34.02,34.16,39700,34.16
2014-08-21,34.17,34.52,33.53,34.44,124800,34.44
2014-08-20,34.90,34.95,34.06,34.23,113400,34.23
2014-08-19,34.68,35.23,34.62,35.04,91100,35.04
