Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,2.28,2.29,2.03,2.05,7496200,2.05
2014-12-01,2.23,2.24,2.05,2.20,9159000,2.20
2014-11-28,2.67,2.68,2.18,2.27,9799200,2.27
2014-11-26,2.99,2.99,2.87,2.87,3353600,2.87
2014-11-25,3.18,3.20,3.00,3.03,7629700,3.03
2014-11-24,3.20,3.23,3.08,3.18,3761500,3.18
2014-11-21,3.13,3.23,3.05,3.22,7138100,3.22
2014-11-20,2.85,3.04,2.83,3.02,4020200,3.02
2014-11-19,2.87,2.93,2.80,2.88,2824800,2.88
2014-11-18,2.91,2.99,2.83,2.88,4460200,2.88
2014-11-17,3.07,3.09,2.94,2.94,4266200,2.94
2014-11-14,3.04,3.18,3.01,3.10,4623400,3.10
2014-11-13,3.12,3.14,2.99,3.04,4793300,3.04
2014-11-12,3.04,3.08,2.92,3.05,3710700,3.05
2014-11-11,3.07,3.10,2.85,3.02,7437900,3.02
2014-11-10,3.28,3.47,3.11,3.25,8608500,3.25
2014-11-07,3.00,3.25,2.94,3.24,7122200,3.24
2014-11-06,2.91,2.95,2.77,2.90,3643500,2.90
2014-11-05,2.84,3.02,2.80,2.96,3182000,2.96
2014-11-04,2.86,2.95,2.71,2.75,5581300,2.75
2014-11-03,3.07,3.23,2.90,2.94,6315100,2.94
2014-10-31,3.15,3.15,2.96,3.11,6379600,3.11
2014-10-30,3.12,3.25,3.05,3.17,4282200,3.17
2014-10-29,3.08,3.30,3.07,3.19,6328900,3.19
2014-10-28,2.94,3.06,2.88,3.06,3910700,3.06
2014-10-27,2.95,2.96,2.82,2.88,4268000,2.88
2014-10-24,3.07,3.14,3.00,3.05,3143400,3.05
2014-10-23,3.05,3.17,2.95,3.10,5369600,3.10
2014-10-22,3.35,3.36,2.95,2.97,6913800,2.97
2014-10-21,3.08,3.34,3.08,3.34,6458500,3.34
2014-10-20,2.95,3.10,2.90,3.04,5367800,3.04
2014-10-17,3.26,3.36,2.87,2.92,13830900,2.92
2014-10-16,2.60,3.20,2.60,3.07,15133800,3.07
2014-10-15,2.50,2.74,2.38,2.70,14308200,2.70
2014-10-14,2.69,2.87,2.46,2.57,17888200,2.57
2014-10-13,3.00,3.08,2.51,2.51,17016900,2.51
2014-10-10,3.27,3.30,2.97,2.99,15731400,2.99
2014-10-09,3.51,3.54,3.26,3.31,10556500,3.31
2014-10-08,3.54,3.58,3.30,3.51,14610400,3.51
2014-10-07,3.67,3.75,3.55,3.56,9335900,3.56
2014-10-06,3.59,3.71,3.51,3.70,10757300,3.70
2014-10-03,3.87,3.89,3.56,3.57,6939700,3.57
2014-10-02,3.80,3.88,3.52,3.84,12435100,3.84
2014-10-01,4.01,4.14,3.80,3.86,8972900,3.86
2014-09-30,4.21,4.25,3.96,3.96,8714700,3.96
2014-09-29,4.15,4.32,4.08,4.23,4529700,4.23
2014-09-26,4.09,4.24,4.06,4.20,6146800,4.20
2014-09-25,4.22,4.29,4.06,4.09,5666200,4.09
2014-09-24,4.22,4.35,4.09,4.26,7012300,4.26
2014-09-23,4.21,4.42,4.17,4.20,5215300,4.20
2014-09-22,4.48,4.50,4.14,4.23,7734700,4.23
2014-09-19,4.68,4.77,4.50,4.51,7165200,4.51
2014-09-18,4.85,4.88,4.67,4.67,3544400,4.67
2014-09-17,4.93,5.03,4.83,4.84,4056500,4.84
2014-09-16,4.66,4.91,4.65,4.89,5913000,4.89
2014-09-15,4.82,4.83,4.56,4.66,8282700,4.66
2014-09-12,5.04,5.07,4.86,4.89,4774600,4.89
2014-09-11,4.89,5.09,4.80,5.07,5795400,5.07
2014-09-10,4.96,4.99,4.76,4.91,8616100,4.91
2014-09-09,5.23,5.34,4.88,4.92,9476500,4.92
2014-09-08,5.57,5.58,5.23,5.24,9639200,5.24
2014-09-05,5.60,5.70,5.54,5.67,4138800,5.67
2014-09-04,5.65,5.92,5.61,5.63,11418100,5.63
2014-09-03,5.43,5.71,5.43,5.66,7468900,5.66
2014-09-02,5.53,5.54,5.22,5.40,8627500,5.40
2014-08-29,5.57,5.59,5.45,5.50,5828300,5.50
2014-08-28,5.60,5.62,5.51,5.54,4012500,5.54
2014-08-27,5.59,5.67,5.56,5.60,3998400,5.60
2014-08-26,5.61,5.65,5.53,5.59,6124300,5.59
2014-08-25,5.52,5.65,5.50,5.55,5282700,5.55
2014-08-22,5.55,5.64,5.47,5.56,3987400,5.56
2014-08-21,5.52,5.61,5.38,5.59,5043600,5.59
2014-08-20,5.60,5.64,5.46,5.51,4859200,5.51
2014-08-19,5.35,5.92,5.35,5.64,11446500,5.64
2014-08-18,5.25,5.33,5.09,5.30,6241400,5.30
2014-08-15,5.12,5.21,4.97,5.16,7023300,5.16
2014-08-14,5.35,5.41,5.00,5.02,7697600,5.02
2014-08-13,5.30,5.41,5.26,5.36,4021200,5.36
2014-08-12,5.41,5.49,5.21,5.26,4274300,5.26
2014-08-11,5.57,5.68,5.43,5.46,5686900,5.46
2014-08-08,5.32,5.54,5.25,5.52,5488600,5.52
2014-08-07,5.30,5.43,5.20,5.29,8182300,5.29
2014-08-06,5.10,5.37,5.08,5.19,8118400,5.19
2014-08-05,5.41,5.42,5.11,5.15,9174000,5.15
2014-08-04,5.23,5.62,5.22,5.51,12368000,5.51
2014-08-01,6.04,6.04,5.38,5.42,18175700,5.42
2014-07-31,6.18,6.34,5.88,5.95,17673600,5.95
2014-07-30,6.34,6.43,6.00,6.04,9696300,6.04
2014-07-29,6.32,6.38,6.05,6.22,7554500,6.22
2014-07-28,6.63,6.68,6.27,6.32,7543500,6.32
2014-07-25,6.79,6.81,6.55,6.60,4214900,6.60
2014-07-24,6.98,7.00,6.72,6.81,4194400,6.81
2014-07-23,6.86,7.00,6.76,6.99,3393800,6.99
2014-07-22,6.88,6.96,6.78,6.82,3571000,6.82
2014-07-21,6.58,6.90,6.58,6.85,4101300,6.85
2014-07-18,6.53,6.64,6.50,6.62,3617600,6.62
2014-07-17,6.73,6.88,6.51,6.54,6277300,6.54
2014-07-16,6.45,6.83,6.44,6.71,8785700,6.71
2014-07-15,6.82,6.83,6.32,6.39,11174600,6.39
2014-07-14,6.83,6.95,6.80,6.83,5708100,6.83
2014-07-11,7.03,7.10,6.78,6.78,6732400,6.78
2014-07-10,6.96,7.19,6.83,7.08,5641300,7.08
2014-07-09,6.98,7.15,6.97,7.14,4357100,7.14
2014-07-08,7.04,7.19,6.90,6.93,7846200,6.93
2014-07-07,7.34,7.35,7.04,7.05,5310000,7.05
2014-07-03,7.40,7.44,7.23,7.36,3135300,7.36
2014-07-02,7.39,7.50,7.31,7.37,4662700,7.37
2014-07-01,7.31,7.48,7.26,7.42,7375900,7.42
2014-06-30,7.15,7.29,7.10,7.29,5557100,7.29
2014-06-27,7.04,7.17,7.02,7.14,6782500,7.14
2014-06-26,6.92,7.05,6.83,7.04,6556000,7.04
2014-06-25,6.58,6.90,6.58,6.87,5574100,6.87
2014-06-24,6.95,6.98,6.53,6.58,7521700,6.58
2014-06-23,6.99,7.14,6.96,6.98,5412100,6.98
2014-06-20,6.98,7.06,6.88,6.99,11958500,6.99
2014-06-19,6.94,7.02,6.88,6.99,4302500,6.99
2014-06-18,6.92,6.99,6.82,6.91,8570100,6.91
2014-06-17,6.97,7.12,6.88,7.11,10421900,7.11
2014-06-16,6.65,6.97,6.65,6.96,7145200,6.96
2014-06-13,6.70,6.73,6.56,6.64,6158100,6.64
2014-06-12,6.45,6.73,6.45,6.72,9621100,6.72
2014-06-11,6.18,6.43,6.11,6.41,4727700,6.41
2014-06-10,6.20,6.26,6.12,6.20,5567800,6.20
2014-06-09,6.52,6.60,6.06,6.22,10491100,6.22
2014-06-06,6.39,6.47,6.32,6.40,4859700,6.40
2014-06-05,6.10,6.35,6.00,6.34,5629300,6.34
2014-06-04,6.05,6.11,5.96,6.05,2897900,6.05
2014-06-03,6.07,6.15,6.02,6.05,3725900,6.05
2014-06-02,6.31,6.40,6.09,6.10,5908900,6.10
2014-05-30,6.32,6.37,6.16,6.24,6551600,6.24
2014-05-29,6.10,6.37,6.05,6.36,12755100,6.36
2014-05-28,5.77,6.05,5.72,6.04,8476900,6.04
2014-05-27,5.54,5.87,5.51,5.83,5457100,5.83
2014-05-23,5.66,5.68,5.55,5.57,3352800,5.57
2014-05-22,5.70,5.76,5.65,5.67,4754900,5.67
2014-05-21,5.72,5.81,5.58,5.68,4789800,5.68
2014-05-20,5.88,5.90,5.69,5.70,5041300,5.70
2014-05-19,5.81,5.95,5.79,5.86,6253200,5.86
2014-05-16,5.69,5.79,5.62,5.79,3582800,5.79
2014-05-15,5.90,5.92,5.65,5.69,6303800,5.69
2014-05-14,5.96,6.02,5.90,5.90,6380100,5.90
2014-05-13,5.78,6.04,5.73,5.95,12925200,5.95
2014-05-12,5.70,5.78,5.54,5.75,6639500,5.75
2014-05-09,5.82,5.87,5.65,5.69,7218100,5.69
2014-05-08,5.56,5.97,5.52,5.78,20959900,5.78
2014-05-07,5.45,5.48,5.23,5.29,8809900,5.29
2014-05-06,5.55,5.60,5.42,5.42,5280500,5.42
2014-05-05,5.50,5.68,5.41,5.52,6403900,5.52
2014-05-02,5.40,5.54,5.34,5.51,5163600,5.51
2014-05-01,5.53,5.55,5.32,5.39,6494200,5.39
2014-04-30,5.39,5.52,5.30,5.52,6392200,5.52
2014-04-29,5.39,5.54,5.39,5.45,6050000,5.45
2014-04-28,5.45,5.50,5.23,5.29,5491900,5.29
2014-04-25,5.38,5.54,5.22,5.43,8665400,5.43
2014-04-24,5.37,5.54,5.30,5.41,7851700,5.41
2014-04-23,5.22,5.38,5.18,5.33,5364900,5.33
2014-04-22,5.38,5.39,5.19,5.21,9062900,5.21
2014-04-21,5.40,5.40,5.27,5.38,6318600,5.38
2014-04-17,5.33,5.41,5.16,5.34,9293700,5.34
2014-04-16,5.00,5.35,4.99,5.31,15510000,5.31
2014-04-15,4.94,5.18,4.87,5.16,9720200,5.16
2014-04-14,4.72,5.22,4.65,4.99,13290500,4.99
2014-04-11,4.47,4.68,4.44,4.55,5412900,4.55
2014-04-10,4.60,4.63,4.48,4.53,5494400,4.53
2014-04-09,4.48,4.62,4.40,4.60,5768500,4.60
2014-04-08,4.23,4.50,4.18,4.48,5627300,4.48
2014-04-07,4.42,4.42,4.15,4.23,5275800,4.23
2014-04-04,4.51,4.54,4.26,4.42,5123600,4.42
2014-04-03,4.37,4.52,4.35,4.41,4740000,4.41
