Date,Open,High,Low,Close,Volume,Adj Close
2014-10-15,31.88,33.22,31.06,33.16,489700,32.96
2014-10-14,32.55,33.23,31.24,31.90,425200,31.71
2014-10-13,35.72,36.11,32.48,32.55,420500,32.36
2014-10-10,37.15,37.15,34.49,35.72,646700,35.51
2014-10-09,38.67,39.02,37.12,37.25,445400,37.03
2014-10-08,39.25,39.25,37.89,38.71,271900,38.48
2014-10-07,40.04,40.11,39.30,39.33,199100,39.10
2014-10-06,40.17,40.45,39.89,40.12,205300,39.88
2014-10-03,40.28,40.63,39.77,40.16,250500,39.92
2014-10-02,40.73,40.76,39.56,40.20,310900,39.96
2014-10-01,41.24,41.52,40.66,40.86,294700,40.62
2014-09-30,41.29,41.47,40.81,41.33,346900,41.08
2014-09-29,41.21,41.39,40.87,41.27,156400,41.02
2014-09-26,40.60,41.46,40.30,41.45,351200,41.20
2014-09-25,40.55,40.84,39.86,40.54,221300,40.30
2014-09-24,40.81,40.84,40.26,40.67,160400,40.43
2014-09-23,41.23,41.48,40.60,40.67,199200,40.43
2014-09-22,41.17,41.30,40.89,41.26,160200,41.01
2014-09-19,41.05,41.60,40.85,41.34,242400,41.09
2014-09-18,40.82,41.11,40.52,40.95,518100,40.71
2014-09-17,41.15,41.33,40.52,40.82,126400,40.58
2014-09-16,40.02,41.23,40.02,41.20,156100,40.95
2014-09-15,40.35,40.58,40.03,40.19,157900,39.95
2014-09-12,41.44,41.44,40.12,40.44,240800,40.20
2014-09-11,41.18,41.71,40.91,41.57,147000,41.32
2014-09-10,41.36,41.45,40.90,41.31,80700,41.06
2014-09-09,41.48,41.66,41.32,41.44,121200,41.19
2014-09-08,41.46,41.74,41.41,41.62,98600,41.37
2014-09-05,41.20,41.66,41.03,41.61,123000,41.36
2014-09-04,40.98,41.31,40.70,41.12,454300,40.88
2014-09-03,41.10,41.12,40.83,40.96,195200,40.72
2014-09-02,41.00,41.19,40.83,41.00,221500,40.76
2014-08-29,40.72,41.25,40.70,41.10,224600,40.86
2014-08-28,40.89,41.34,40.76,41.13,326900,40.89
2014-08-27,41.33,41.42,40.89,41.05,228800,40.81
2014-08-26,41.09,41.43,40.89,41.37,739400,41.12
2014-08-25,41.14,41.17,40.92,41.04,407000,40.80
2014-08-22,40.98,41.10,40.70,41.05,219900,40.81
2014-08-21,41.05,41.07,40.65,41.00,98000,40.76
2014-08-20,41.17,41.26,40.89,40.99,157200,40.75
2014-08-19,41.65,41.65,41.09,41.29,172100,41.04
2014-08-18,41.11,41.48,40.99,41.43,219500,41.18
2014-08-15,41.24,41.56,40.94,41.11,134600,40.87
2014-08-14,41.03,41.46,40.60,41.09,130700,40.85
2014-08-13,40.10,41.01,40.09,40.95,141800,40.71
2014-08-12,39.96,40.34,39.74,40.09,131100,39.85
2014-08-11,39.00,40.38,39.00,39.93,194300,39.69
2014-08-08,37.88,39.09,37.76,39.01,149000,38.78
2014-08-07,38.71,38.96,37.30,37.69,126600,37.47
2014-08-06,37.41,38.50,36.82,37.35,234400,37.13
2014-08-05,37.78,38.42,37.13,37.51,189500,37.29
2014-08-04,36.99,37.93,36.56,37.90,222300,37.67
2014-08-01,38.10,38.10,36.61,36.90,288900,36.68
2014-07-31,38.50,38.65,37.53,38.21,220600,37.98
2014-07-30,40.00,40.00,38.75,39.01,164900,38.56
2014-07-29,39.98,40.45,39.77,39.91,71400,39.45
2014-07-28,40.24,40.46,39.90,39.96,104700,39.50
2014-07-25,40.61,40.61,40.22,40.29,97600,39.82
2014-07-24,40.81,40.95,40.57,40.62,68000,40.15
2014-07-23,40.58,40.99,40.38,40.89,85100,40.42
2014-07-22,40.84,41.05,40.45,40.59,72800,40.12
2014-07-21,40.93,40.93,40.56,40.67,79600,40.20
2014-07-18,41.08,42.10,40.66,40.93,204100,40.46
2014-07-17,40.32,41.03,40.32,40.83,146500,40.36
2014-07-16,39.47,40.59,39.41,40.36,132000,39.89
2014-07-15,39.51,39.80,39.25,39.31,111900,38.86
2014-07-14,39.41,39.87,39.28,39.58,85700,39.12
2014-07-11,39.38,39.45,39.17,39.34,60100,38.89
2014-07-10,38.86,39.42,38.77,39.34,135300,38.89
2014-07-09,39.35,40.01,39.25,39.35,179100,38.90
2014-07-08,39.60,39.84,39.10,39.29,200800,38.84
2014-07-07,40.80,40.80,39.52,39.64,325000,39.18
2014-07-03,41.25,41.25,40.63,40.80,170900,40.33
2014-07-02,41.65,41.82,40.99,41.18,132700,40.70
2014-07-01,41.60,41.91,41.45,41.70,145200,41.22
2014-06-30,41.15,41.74,41.15,41.66,225900,41.18
2014-06-27,41.35,41.78,40.90,41.21,153400,40.73
2014-06-26,41.30,41.89,41.30,41.52,135200,41.04
2014-06-25,40.84,41.56,40.73,41.27,200900,40.79
2014-06-24,41.02,41.59,40.84,41.12,284000,40.64
2014-06-23,41.23,41.39,40.83,41.07,109100,40.60
2014-06-20,40.80,41.52,40.61,41.24,180800,40.76
2014-06-19,41.16,41.28,40.60,40.80,147700,40.33
2014-06-18,41.56,41.81,41.13,41.18,114000,40.70
2014-06-17,41.38,42.07,41.26,41.70,117500,41.22
2014-06-16,41.57,42.00,41.26,41.61,139300,41.13
2014-06-13,41.32,41.75,40.92,41.49,233200,41.01
2014-06-12,41.73,42.00,40.99,41.33,284000,40.85
2014-06-11,41.93,42.34,41.42,41.62,171300,41.14
2014-06-10,41.97,42.51,41.54,42.18,201800,41.69
2014-06-09,41.84,42.52,41.84,41.93,104300,41.45
2014-06-06,41.87,42.08,41.14,41.95,267500,41.47
2014-06-05,40.86,42.12,40.78,41.69,247100,41.21
2014-06-04,40.82,41.04,40.40,40.88,288200,40.41
2014-06-03,41.16,41.19,40.59,40.80,142800,40.33
2014-06-02,41.11,41.50,40.74,41.16,205400,40.68
2014-05-30,40.93,41.31,40.87,41.27,176000,40.79
2014-05-29,41.83,42.12,40.97,40.99,241100,40.52
2014-05-28,40.68,42.15,40.52,41.75,397800,41.27
2014-05-27,40.60,41.18,40.39,40.64,146100,40.17
2014-05-23,39.87,40.63,39.87,40.52,214900,40.05
2014-05-22,39.43,40.50,39.43,39.85,281200,39.39
2014-05-21,39.09,39.44,38.26,39.35,257900,38.90
2014-05-20,38.14,39.40,37.70,39.14,353200,38.69
2014-05-19,38.07,39.12,37.90,38.57,477800,38.12
2014-05-16,37.50,38.47,37.38,38.14,364600,37.70
2014-05-15,37.29,37.66,37.08,37.49,357200,37.06
2014-05-14,36.91,37.37,36.57,37.24,371500,36.81
2014-05-13,36.61,37.06,36.60,36.97,203600,36.54
2014-05-12,35.92,37.10,35.60,36.61,200300,36.19
2014-05-09,35.83,36.13,35.50,35.74,178200,35.33
2014-05-08,35.91,36.33,35.64,35.75,272300,35.34
2014-05-07,36.40,36.78,35.76,36.09,170000,35.67
2014-05-06,36.32,36.73,36.16,36.40,138400,35.98
2014-05-05,35.77,36.51,35.73,36.39,173300,35.97
2014-05-02,35.60,36.13,35.12,36.00,160300,35.58
2014-05-01,35.03,35.86,34.66,35.50,357800,35.09
2014-04-30,36.01,36.13,35.31,35.33,172300,34.74
2014-04-29,35.28,36.66,35.16,36.07,141800,35.47
2014-04-28,34.98,35.37,34.76,35.25,127500,34.67
2014-04-25,35.60,35.90,34.75,34.92,272900,34.34
2014-04-24,36.56,36.56,35.32,35.56,194900,34.97
2014-04-23,35.53,36.85,35.53,36.29,217600,35.69
2014-04-22,35.14,35.76,35.10,35.72,221700,35.13
2014-04-21,34.96,35.35,34.82,35.19,190300,34.61
2014-04-17,35.14,35.33,34.90,34.98,214900,34.40
2014-04-16,35.00,35.45,34.97,35.20,214400,34.62
2014-04-15,35.00,35.22,34.50,34.90,377700,34.32
2014-04-14,34.84,35.44,34.79,35.01,274800,34.43
2014-04-11,34.21,34.98,34.21,34.68,222700,34.10
2014-04-10,34.57,35.11,34.24,34.39,203200,33.82
2014-04-09,34.53,34.86,34.26,34.60,166700,34.03
2014-04-08,33.70,34.53,33.70,34.36,208600,33.79
2014-04-07,35.00,35.21,33.59,33.63,146400,33.07
2014-04-04,35.60,35.78,35.09,35.09,261200,34.51
2014-04-03,35.30,35.66,35.09,35.37,212000,34.78
2014-04-02,35.08,35.84,35.05,35.30,367800,34.71
2014-04-01,33.99,35.19,33.77,34.99,313700,34.41
2014-03-31,33.45,34.11,33.31,33.94,821200,33.38
2014-03-28,34.09,34.50,33.32,33.34,313100,32.79
2014-03-27,33.89,34.37,33.55,34.00,422600,33.44
2014-03-26,34.32,34.48,33.92,33.97,239300,33.41
2014-03-25,34.41,34.91,34.25,34.25,179300,33.68
2014-03-24,34.76,35.11,34.18,34.25,497800,33.68
2014-03-21,34.73,35.12,34.30,34.76,2372900,34.18
2014-03-20,35.19,35.77,33.40,34.57,1319800,34.00
2014-03-19,35.82,36.06,35.22,35.43,431700,34.84
2014-03-18,36.30,36.57,35.65,35.87,569200,35.27
2014-03-17,36.37,36.73,35.99,36.21,588600,35.61
2014-03-14,35.80,36.71,35.80,36.28,623100,35.68
2014-03-13,36.25,36.68,35.67,36.08,586200,35.48
2014-03-12,37.10,37.45,36.31,36.40,780900,35.80
2014-03-11,36.77,37.68,36.70,36.91,2174500,36.30
2014-03-10,37.00,37.75,36.30,36.60,1919300,35.99
2014-03-07,39.56,39.56,35.44,37.60,7053100,36.98
2014-03-06,39.75,39.99,38.75,39.40,212700,38.75
2014-03-05,40.94,41.01,39.47,39.80,350100,39.14
2014-03-04,40.82,41.48,40.67,41.16,387400,40.48
2014-03-03,41.33,41.71,40.18,40.28,287800,39.61
2014-02-28,42.70,42.88,41.39,41.63,294900,40.94
2014-02-27,42.25,42.63,41.80,42.48,203200,41.78
2014-02-26,41.81,42.38,41.12,42.30,187600,41.60
2014-02-25,41.44,42.49,41.07,41.62,291400,40.93
2014-02-24,41.06,41.99,41.00,41.36,352700,40.67
2014-02-21,41.64,41.69,40.68,40.97,429800,40.29
2014-02-20,40.39,41.02,40.18,40.35,353900,39.68
2014-02-19,41.24,42.21,40.52,40.56,506700,39.89
2014-02-18,39.79,41.46,39.57,41.24,610500,40.56
2014-02-14,38.87,39.70,38.55,39.41,165500,38.76
2014-02-13,37.69,39.00,37.69,38.77,199900,38.13
2014-02-12,37.62,38.50,37.40,37.98,86800,37.35
2014-02-11,37.22,37.71,37.22,37.48,180200,36.86
2014-02-10,37.22,37.32,36.43,37.11,281900,36.49
2014-02-07,37.19,37.57,36.80,37.26,256000,36.64
2014-02-06,35.76,37.75,35.76,37.03,189600,36.42
2014-02-05,36.11,36.11,34.93,35.59,185000,35.00
2014-02-04,36.37,36.77,35.96,36.26,203100,35.66
2014-02-03,37.48,37.64,35.68,36.28,291500,35.68
2014-01-31,37.27,38.37,37.05,37.50,214000,36.88
2014-01-30,37.84,38.68,37.57,38.00,199700,37.37
2014-01-29,36.84,37.95,36.74,37.47,358400,36.85
2014-01-28,36.63,37.16,36.16,37.10,258300,36.48
2014-01-27,36.44,37.22,35.95,36.49,265600,35.74
2014-01-24,36.56,36.68,35.81,36.42,228000,35.67
2014-01-23,37.70,38.37,36.26,36.87,266000,36.11
2014-01-22,36.52,38.25,36.45,37.80,300600,37.02
2014-01-21,35.64,36.43,35.28,36.36,208900,35.61
2014-01-17,35.41,35.64,35.25,35.38,143200,34.65
2014-01-16,34.99,35.75,34.99,35.41,209700,34.68
2014-01-15,35.22,35.30,34.65,34.96,201900,34.24
2014-01-14,34.35,35.19,34.14,35.07,161900,34.35
2014-01-13,34.91,35.27,34.01,34.30,228500,33.59
2014-01-10,34.35,34.96,34.02,34.90,249300,34.18
2014-01-09,35.42,35.68,34.49,34.74,181100,34.02
2014-01-08,35.35,35.49,34.90,35.38,178700,34.65
2014-01-07,35.07,35.60,34.67,35.30,191400,34.57
2014-01-06,34.86,35.61,34.37,34.84,276200,34.12
2014-01-03,34.59,34.97,34.08,34.82,396100,34.10
2014-01-02,36.19,36.19,34.40,34.65,398300,33.93
2013-12-31,35.02,36.74,34.96,36.16,413500,35.41
2013-12-30,35.38,35.62,34.76,35.13,195900,34.41
2013-12-27,35.50,35.50,34.80,35.23,208100,34.50
2013-12-26,36.89,36.89,35.18,35.27,225300,34.54
2013-12-24,35.69,36.78,35.13,36.60,133800,35.84
2013-12-23,33.98,36.31,33.96,35.80,335800,35.06
2013-12-20,33.50,35.00,33.18,33.89,798000,33.19
2013-12-19,33.32,33.93,33.12,33.41,230300,32.72
2013-12-18,32.54,33.49,31.77,33.48,268400,32.79
2013-12-17,32.33,32.62,31.38,32.44,315500,31.77
2013-12-16,32.14,32.74,31.86,32.33,194200,31.66
2013-12-13,32.55,32.74,31.74,32.05,335600,31.39
2013-12-12,32.03,32.83,31.90,32.43,242200,31.76
2013-12-11,32.14,32.45,31.33,32.03,238700,31.37
2013-12-10,32.81,32.95,32.09,32.27,226400,31.60
2013-12-09,33.34,33.49,32.61,32.98,185100,32.30
2013-12-06,33.00,33.56,32.69,33.23,231900,32.54
2013-12-05,32.43,32.99,31.80,32.71,266500,32.04
2013-12-04,32.36,33.03,31.95,32.37,182800,31.70
2013-12-03,32.80,33.35,32.22,32.43,205200,31.76
2013-12-02,32.40,33.35,32.12,32.90,169800,32.22
