Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,2.05,2.54,2.02,2.47,211300,2.47
2014-12-01,2.28,2.28,2.06,2.08,150300,2.08
2014-11-28,2.27,2.49,2.25,2.30,55400,2.30
2014-11-26,2.50,2.50,2.23,2.31,110800,2.31
2014-11-25,2.51,2.57,2.29,2.50,135900,2.50
2014-11-24,2.55,2.63,2.46,2.52,161800,2.52
2014-11-21,2.61,2.68,2.58,2.58,111300,2.58
2014-11-20,2.72,2.72,2.65,2.69,165700,2.69
2014-11-19,2.60,2.80,2.60,2.72,139400,2.72
2014-11-18,2.61,2.77,2.61,2.75,222200,2.75
2014-11-17,3.86,3.86,3.86,3.86,000,3.86
2014-11-14,4.18,4.48,3.75,3.86,95500,3.86
2014-11-13,5.31,5.31,3.01,4.35,162800,4.35
2014-11-12,5.81,5.90,5.30,5.42,21300,5.42
2014-11-11,5.75,5.87,5.51,5.87,12500,5.87
2014-11-10,5.60,5.90,5.60,5.88,17500,5.88
2014-11-07,5.20,5.95,5.20,5.90,16500,5.90
2014-11-06,5.35,5.35,4.98,5.15,24200,5.15
2014-11-05,5.75,5.99,5.25,5.25,12500,5.25
2014-11-04,5.00,5.50,5.00,5.11,13200,5.11
2014-11-03,7.00,7.00,5.25,5.25,23000,5.25
2014-10-31,5.99,5.99,5.93,5.99,22900,5.99
2014-10-30,6.31,7.70,5.70,5.99,20600,5.99
2014-10-29,5.70,5.70,5.32,5.69,1000,5.69
2014-10-28,0.10,0.10,0.09,0.10,8600,6.00
2014-10-27,0.12,0.12,0.09,0.09,34400,5.40
2014-10-24,0.11,0.11,0.10,0.11,17000,6.60
2014-10-23,0.10,0.11,0.10,0.11,27100,6.60
2014-10-22,0.10,0.11,0.10,0.11,14700,6.60
2014-10-21,0.10,0.10,0.10,0.10,26400,6.00
2014-10-20,0.09,0.10,0.09,0.10,10700,6.00
2014-10-17,0.09,0.10,0.09,0.10,17700,6.00
2014-10-16,0.09,0.10,0.09,0.09,26800,5.40
2014-10-15,0.09,0.09,0.09,0.09,15900,5.40
2014-10-14,0.09,0.09,0.09,0.09,19900,5.40
2014-10-13,0.09,0.10,0.09,0.09,43400,5.40
2014-10-10,0.09,0.09,0.09,0.09,16400,5.40
2014-10-09,0.09,0.10,0.09,0.09,41000,5.40
2014-10-08,0.09,0.09,0.09,0.09,29300,5.40
2014-10-07,0.09,0.09,0.09,0.09,15900,5.40
2014-10-06,0.09,0.10,0.09,0.09,10300,5.40
2014-10-03,0.09,0.10,0.09,0.09,8700,5.40
2014-10-02,0.09,0.10,0.09,0.09,8900,5.40
2014-10-01,0.09,0.09,0.09,0.09,9800,5.40
2014-09-30,0.09,0.10,0.09,0.09,12500,5.40
2014-09-29,0.09,0.10,0.09,0.09,9500,5.40
2014-09-26,0.10,0.10,0.09,0.09,11500,5.40
2014-09-25,0.09,0.10,0.09,0.10,15400,6.00
2014-09-24,0.09,0.10,0.09,0.09,13000,5.40
2014-09-23,0.09,0.10,0.09,0.10,8400,6.00
2014-09-22,0.10,0.10,0.09,0.10,36600,6.00
2014-09-19,0.10,0.10,0.09,0.10,32800,6.00
2014-09-18,0.10,0.10,0.09,0.10,33600,6.00
2014-09-17,0.10,0.10,0.10,0.10,15600,6.00
2014-09-16,0.10,0.10,0.10,0.10,7200,6.00
2014-09-15,0.10,0.10,0.10,0.10,21300,6.00
2014-09-12,0.11,0.11,0.10,0.10,18900,6.00
2014-09-11,0.10,0.10,0.10,0.10,10000,6.00
2014-09-10,0.10,0.10,0.10,0.10,23100,6.00
2014-09-09,0.10,0.11,0.10,0.10,8700,6.00
