Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,48.54,49.35,48.41,48.80,10700,48.80
2014-12-01,47.96,48.54,47.75,47.78,5900,47.78
2014-11-28,47.93,48.59,47.76,47.77,3400,47.77
2014-11-26,48.16,48.21,47.75,48.21,3400,48.21
2014-11-25,48.20,48.20,47.75,47.87,2600,47.87
2014-11-24,47.94,48.52,47.77,48.52,4200,48.21
2014-11-21,48.19,48.50,47.50,47.97,4900,47.66
2014-11-20,47.57,49.17,46.50,47.30,3200,47.00
2014-11-19,49.08,49.55,47.63,47.90,4400,47.59
2014-11-18,50.36,50.36,49.03,49.71,5400,49.39
2014-11-17,49.49,50.85,49.41,49.50,4200,49.18
2014-11-14,50.28,51.00,49.67,49.71,5000,49.39
2014-11-13,51.89,51.89,49.92,50.01,7000,49.69
2014-11-12,50.85,51.70,50.84,51.70,15700,51.37
2014-11-11,51.32,51.32,49.16,50.99,8500,50.66
2014-11-10,51.18,51.69,49.57,51.66,7200,51.33
2014-11-07,50.97,52.00,48.17,51.27,12800,50.94
2014-11-06,50.02,51.21,49.68,51.00,4600,50.67
2014-11-05,49.86,50.30,48.99,50.10,5400,49.78
2014-11-04,48.94,50.00,48.94,49.35,4600,49.03
2014-11-03,50.07,50.40,48.82,49.31,7700,48.99
2014-10-31,50.64,50.64,48.68,50.17,22800,49.85
2014-10-30,49.33,50.31,48.18,49.99,14200,49.67
2014-10-29,49.55,50.18,47.45,49.60,9300,49.28
2014-10-28,47.84,49.75,46.49,49.75,11400,49.43
2014-10-27,47.84,49.01,47.13,47.52,21200,47.22
2014-10-24,48.76,49.53,47.04,48.04,22600,47.73
2014-10-23,48.50,49.74,46.05,48.97,6700,48.66
2014-10-22,49.10,49.19,46.39,47.89,26400,47.58
2014-10-21,48.78,49.71,47.08,49.19,26500,48.88
2014-10-20,47.30,48.79,45.70,48.79,13400,48.48
2014-10-17,50.00,50.00,47.62,47.62,10200,47.32
