Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,0.31,0.31,0.25,0.27,1276300,0.27
2014-12-01,0.31,0.32,0.28,0.29,680900,0.29
2014-11-28,0.36,0.36,0.31,0.32,261600,0.32
2014-11-26,0.37,0.38,0.34,0.36,746900,0.36
2014-11-25,0.35,0.38,0.28,0.38,4401000,0.38
2014-11-24,0.37,0.39,0.35,0.38,1005800,0.38
2014-11-21,0.36,0.38,0.33,0.36,1273000,0.36
2014-11-20,0.32,0.38,0.31,0.35,2721300,0.35
2014-11-19,0.27,0.32,0.27,0.31,1722100,0.31
2014-11-18,0.25,0.30,0.23,0.29,1403000,0.29
2014-11-17,0.26,0.26,0.22,0.24,2267500,0.24
2014-11-14,0.27,0.27,0.25,0.26,1629300,0.26
2014-11-13,0.29,0.30,0.25,0.27,2057100,0.27
2014-11-12,0.32,0.32,0.28,0.28,1620800,0.28
2014-11-11,0.32,0.32,0.29,0.30,1358300,0.30
2014-11-10,0.32,0.34,0.30,0.33,1305900,0.33
2014-11-07,0.37,0.40,0.31,0.33,1737600,0.33
2014-11-06,0.39,0.39,0.37,0.37,393300,0.37
2014-11-05,0.37,0.39,0.36,0.38,332400,0.38
2014-11-04,0.37,0.39,0.34,0.38,407900,0.38
2014-11-03,0.34,0.37,0.34,0.35,744400,0.35
2014-10-31,0.34,0.37,0.34,0.34,1057400,0.34
2014-10-30,0.38,0.39,0.34,0.36,1892100,0.36
2014-10-29,0.40,0.41,0.37,0.38,1328700,0.38
2014-10-28,0.40,0.42,0.37,0.39,3497600,0.39
2014-10-27,0.42,0.43,0.40,0.42,347900,0.42
2014-10-24,0.46,0.46,0.39,0.40,1653900,0.40
2014-10-23,0.44,0.46,0.43,0.45,314300,0.45
2014-10-22,0.44,0.48,0.43,0.44,695000,0.44
2014-10-21,0.44,0.47,0.43,0.44,350900,0.44
2014-10-20,0.42,0.47,0.40,0.44,482400,0.44
2014-10-17,0.48,0.48,0.42,0.42,812800,0.42
2014-10-16,0.45,0.50,0.43,0.44,808500,0.44
2014-10-15,0.47,0.48,0.42,0.43,1069400,0.43
2014-10-14,0.47,0.53,0.45,0.48,750400,0.48
2014-10-13,0.50,0.56,0.46,0.46,509700,0.46
2014-10-10,0.43,0.50,0.40,0.50,1333600,0.50
2014-10-09,0.50,0.53,0.37,0.41,2049700,0.41
2014-10-08,0.53,0.56,0.48,0.53,1183700,0.53
2014-10-07,0.58,0.59,0.52,0.53,832300,0.53
2014-10-06,0.60,0.62,0.55,0.57,302100,0.57
2014-10-03,0.61,0.61,0.58,0.58,835300,0.58
2014-10-02,0.62,0.64,0.58,0.62,1177000,0.62
2014-10-01,0.54,0.60,0.53,0.59,949200,0.59
2014-09-30,0.55,0.56,0.50,0.53,978500,0.53
