Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,19.03,19.03,19.03,19.03,000,19.03
2014-12-01,18.92,19.10,18.90,19.03,3300,19.03
2014-11-28,18.95,18.95,18.95,18.95,200,18.95
2014-11-26,18.90,18.90,18.90,18.90,000,18.90
2014-11-25,18.90,18.90,18.90,18.90,000,18.90
2014-11-24,18.90,18.90,18.90,18.90,000,18.90
2014-11-21,18.90,18.90,18.90,18.90,200,18.90
2014-11-20,18.96,18.96,18.90,18.90,800,18.90
2014-11-19,19.00,19.00,19.00,19.00,000,19.00
2014-11-18,19.00,19.00,19.00,19.00,000,19.00
2014-11-17,18.98,19.00,18.98,19.00,2300,19.00
2014-11-14,19.00,19.00,19.00,19.00,000,19.00
2014-11-13,19.00,19.00,19.00,19.00,000,19.00
2014-11-12,19.00,19.00,19.00,19.00,000,19.00
2014-11-11,19.00,19.00,19.00,19.00,000,19.00
2014-11-10,19.00,19.00,19.00,19.00,000,19.00
2014-11-07,19.00,19.00,19.00,19.00,000,19.00
2014-11-06,19.00,19.00,19.00,19.00,000,19.00
2014-11-05,19.00,19.00,19.00,19.00,400,19.00
2014-11-04,19.00,19.00,19.00,19.00,900,19.00
2014-11-03,18.97,18.97,18.97,18.97,100,18.87
2014-10-31,19.00,19.00,18.99,18.99,600,18.89
2014-10-30,18.99,18.99,18.99,18.99,100,18.89
2014-10-29,18.40,18.94,18.35,18.40,4600,18.30
2014-10-28,18.53,18.53,18.53,18.53,000,18.43
2014-10-27,18.53,18.53,18.53,18.53,000,18.43
2014-10-24,18.51,18.53,18.51,18.53,400,18.43
2014-10-23,18.50,18.50,18.50,18.50,000,18.40
2014-10-22,18.50,18.50,18.50,18.50,000,18.40
2014-10-21,18.50,18.50,18.50,18.50,000,18.40
2014-10-20,18.50,18.50,18.50,18.50,000,18.40
2014-10-17,18.50,18.50,18.50,18.50,000,18.40
2014-10-16,18.50,18.50,18.50,18.50,000,18.40
2014-10-15,18.50,18.50,18.50,18.50,000,18.40
2014-10-14,18.50,18.50,18.50,18.50,000,18.40
2014-10-13,18.50,18.50,18.50,18.50,000,18.40
2014-10-10,18.50,18.50,18.50,18.50,1100,18.40
2014-10-09,18.50,18.50,18.50,18.50,25000,18.40
2014-10-08,18.50,18.50,18.50,18.50,000,18.40
2014-10-07,18.50,18.50,18.50,18.50,000,18.40
2014-10-06,18.50,18.50,18.50,18.50,000,18.40
2014-10-03,18.50,18.50,18.50,18.50,000,18.40
2014-10-02,18.50,18.50,18.50,18.50,000,18.40
2014-10-01,18.50,18.50,18.50,18.50,000,18.40
2014-09-30,18.50,18.50,18.50,18.50,000,18.40
2014-09-29,18.50,18.50,18.50,18.50,000,18.40
2014-09-26,18.50,18.50,18.50,18.50,300,18.40
2014-09-25,17.78,17.78,17.78,17.78,000,17.69
2014-09-24,17.78,17.78,17.78,17.78,000,17.69
2014-09-23,18.83,18.83,17.78,17.78,1500,17.69
2014-09-22,18.39,18.45,17.60,17.89,8000,17.80
2014-09-19,18.40,18.40,18.40,18.40,500,18.30
2014-09-18,17.65,17.65,17.65,17.65,000,17.56
2014-09-17,17.65,17.65,17.65,17.65,000,17.56
2014-09-16,17.65,17.65,17.64,17.65,4000,17.56
2014-09-15,17.70,17.70,17.70,17.70,200,17.61
2014-09-12,17.70,17.70,17.70,17.70,300,17.61
2014-09-11,17.76,17.76,17.76,17.76,500,17.67
2014-09-10,17.78,17.78,17.76,17.76,300,17.67
2014-09-09,17.76,17.78,17.76,17.78,700,17.69
2014-09-08,17.45,17.45,17.45,17.45,200,17.36
2014-09-05,18.00,18.00,18.00,18.00,000,17.91
2014-09-04,18.00,18.00,18.00,18.00,000,17.91
2014-09-03,18.03,18.03,18.00,18.00,1200,17.91
2014-09-02,18.17,18.17,18.17,18.17,000,18.07
2014-08-29,18.15,18.17,18.14,18.17,900,18.07
2014-08-28,17.81,17.81,17.81,17.81,000,17.72
2014-08-27,17.81,17.81,17.81,17.81,400,17.72
2014-08-26,17.76,18.09,17.67,17.80,1900,17.71
2014-08-25,17.86,18.69,17.47,17.47,1900,17.38
2014-08-22,17.75,18.10,17.60,17.97,5100,17.88
2014-08-21,17.72,17.72,17.72,17.72,000,17.63
2014-08-20,17.75,17.75,17.56,17.72,1500,17.63
2014-08-19,17.65,18.38,17.65,17.71,500,17.62
2014-08-18,17.61,18.53,17.56,17.60,5800,17.51
2014-08-15,17.69,17.89,17.69,17.89,500,17.80
2014-08-14,17.96,18.30,17.32,17.32,400,17.23
2014-08-13,17.62,18.00,17.54,17.54,1100,17.45
2014-08-12,17.51,18.76,17.50,17.61,8700,17.52
2014-08-11,17.12,17.66,17.12,17.62,3100,17.53
2014-08-08,17.00,17.00,17.00,17.00,000,16.91
2014-08-07,17.00,17.00,17.00,17.00,000,16.91
