Date,Open,High,Low,Close,Volume,Adj Close
2014-12-02,5.31,5.34,5.30,5.31,172900,5.31
2014-12-01,5.34,5.35,5.31,5.35,179000,5.35
2014-11-28,5.36,5.39,5.33,5.36,105700,5.36
2014-11-26,5.35,5.36,5.34,5.35,126200,5.35
2014-11-25,5.30,5.36,5.30,5.36,113000,5.36
2014-11-24,5.31,5.32,5.29,5.31,91900,5.31
2014-11-21,5.28,5.32,5.28,5.30,123200,5.30
2014-11-20,5.28,5.30,5.26,5.26,204200,5.26
2014-11-19,5.31,5.32,5.28,5.30,109600,5.30
2014-11-18,5.34,5.37,5.32,5.32,179500,5.29
2014-11-17,5.37,5.37,5.35,5.35,88700,5.31
2014-11-14,5.38,5.39,5.34,5.39,125300,5.35
2014-11-13,5.39,5.40,5.37,5.38,147000,5.34
2014-11-12,5.39,5.40,5.38,5.38,66500,5.34
2014-11-11,5.38,5.41,5.38,5.41,69600,5.37
2014-11-10,5.43,5.43,5.37,5.40,135400,5.36
2014-11-07,5.39,5.43,5.39,5.43,76600,5.39
2014-11-06,5.43,5.45,5.41,5.41,68200,5.37
2014-11-05,5.46,5.46,5.43,5.44,28200,5.40
2014-11-04,5.48,5.48,5.43,5.44,49100,5.40
2014-11-03,5.48,5.49,5.46,5.49,69200,5.45
2014-10-31,5.48,5.48,5.46,5.48,47900,5.44
2014-10-30,5.45,5.47,5.44,5.45,90800,5.41
2014-10-29,5.47,5.48,5.44,5.46,74500,5.42
2014-10-28,5.47,5.49,5.44,5.49,210500,5.45
2014-10-27,5.51,5.51,5.47,5.47,92600,5.43
2014-10-24,5.51,5.53,5.49,5.51,63200,5.47
2014-10-23,5.52,5.53,5.49,5.52,129900,5.48
2014-10-22,5.49,5.50,5.47,5.49,114800,5.45
2014-10-21,5.47,5.52,5.47,5.51,65000,5.44
2014-10-20,5.44,5.47,5.43,5.46,175000,5.39
2014-10-17,5.37,5.44,5.36,5.44,146700,5.37
2014-10-16,5.29,5.36,5.22,5.34,159500,5.27
2014-10-15,5.42,5.42,5.27,5.33,280600,5.26
2014-10-14,5.39,5.41,5.36,5.38,177300,5.31
2014-10-13,5.44,5.47,5.37,5.38,74700,5.31
2014-10-10,5.50,5.50,5.45,5.45,52600,5.38
2014-10-09,5.51,5.52,5.47,5.49,326400,5.42
2014-10-08,5.51,5.51,5.48,5.50,108100,5.43
2014-10-07,5.51,5.51,5.47,5.51,106300,5.44
2014-10-06,5.51,5.54,5.51,5.53,119300,5.46
2014-10-03,5.47,5.51,5.47,5.51,116800,5.44
2014-10-02,5.46,5.50,5.44,5.48,97900,5.41
2014-10-01,5.50,5.53,5.47,5.47,138600,5.40
2014-09-30,5.46,5.53,5.46,5.53,236300,5.46
2014-09-29,5.46,5.48,5.46,5.47,187800,5.40
2014-09-26,5.46,5.50,5.42,5.49,186200,5.42
2014-09-25,5.46,5.47,5.45,5.46,52600,5.39
2014-09-24,5.48,5.50,5.47,5.47,171900,5.40
2014-09-23,5.46,5.49,5.46,5.48,156100,5.41
2014-09-22,5.50,5.50,5.43,5.45,197800,5.38
2014-09-19,5.49,5.51,5.47,5.49,164700,5.42
2014-09-18,5.53,5.53,5.49,5.49,170400,5.42
2014-09-17,5.52,5.54,5.50,5.51,113200,5.44
2014-09-16,5.55,5.58,5.51,5.56,246900,5.45
2014-09-15,5.60,5.62,5.57,5.57,61400,5.46
2014-09-12,5.62,5.62,5.58,5.59,120900,5.48
2014-09-11,5.63,5.64,5.60,5.62,72100,5.51
2014-09-10,5.59,5.63,5.59,5.62,84300,5.51
2014-09-09,5.64,5.65,5.59,5.59,176900,5.48
2014-09-08,5.68,5.68,5.59,5.63,223800,5.52
2014-09-05,5.66,5.68,5.63,5.65,194400,5.54
2014-09-04,5.68,5.69,5.65,5.65,108100,5.54
2014-09-03,5.63,5.71,5.62,5.67,213200,5.56
2014-09-02,5.63,5.65,5.61,5.64,160200,5.53
2014-08-29,5.63,5.66,5.60,5.61,137100,5.50
2014-08-28,5.61,5.62,5.58,5.62,172800,5.51
2014-08-27,5.61,5.64,5.61,5.61,156500,5.50
2014-08-26,5.61,5.64,5.59,5.62,236400,5.51
2014-08-25,5.57,5.62,5.57,5.60,170000,5.49
2014-08-22,5.59,5.62,5.57,5.57,202000,5.46
2014-08-21,5.62,5.64,5.59,5.59,159100,5.48
2014-08-20,5.62,5.65,5.61,5.63,128900,5.52
2014-08-19,5.64,5.66,5.62,5.64,236500,5.50
2014-08-18,5.62,5.62,5.61,5.62,131300,5.48
2014-08-15,5.61,5.62,5.57,5.62,170200,5.48
2014-08-14,5.54,5.60,5.54,5.58,189800,5.44
2014-08-13,5.55,5.56,5.54,5.55,197900,5.41
2014-08-12,5.55,5.56,5.53,5.55,134000,5.41
2014-08-11,5.54,5.57,5.52,5.56,239800,5.42
2014-08-08,5.50,5.56,5.49,5.54,120000,5.40
2014-08-07,5.49,5.52,5.49,5.51,83600,5.37
2014-08-06,5.49,5.52,5.48,5.50,153400,5.36
2014-08-05,5.52,5.52,5.49,5.49,196700,5.35
2014-08-04,5.48,5.56,5.47,5.55,161800,5.41
2014-08-01,5.53,5.56,5.51,5.51,215700,5.37
2014-07-31,5.63,5.63,5.54,5.55,213700,5.41
2014-07-30,5.66,5.67,5.63,5.63,146600,5.49
2014-07-29,5.67,5.68,5.66,5.67,62200,5.53
2014-07-28,5.69,5.69,5.67,5.68,119000,5.54
2014-07-25,5.70,5.71,5.67,5.68,146900,5.54
2014-07-24,5.70,5.70,5.68,5.69,103600,5.55
