Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,0.45,0.48,0.44,0.45,279100,0.45
2014-11-17,0.50,0.51,0.47,0.48,322700,0.48
2014-11-14,0.49,0.50,0.41,0.47,996300,0.47
2014-11-13,0.48,0.51,0.45,0.50,641500,0.50
2014-11-12,0.49,0.51,0.46,0.48,235900,0.48
2014-11-11,0.48,0.51,0.47,0.48,171900,0.48
2014-11-10,0.51,0.53,0.46,0.47,367800,0.47
2014-11-07,0.49,0.54,0.47,0.50,407100,0.50
2014-11-06,0.57,0.57,0.47,0.49,859800,0.49
2014-11-05,0.56,0.58,0.50,0.52,505900,0.52
2014-11-04,0.60,0.60,0.53,0.54,497500,0.54
2014-11-03,0.62,0.64,0.58,0.60,654000,0.60
2014-10-31,0.61,0.65,0.54,0.62,1122700,0.62
2014-10-30,0.64,0.65,0.53,0.60,1778500,0.60
2014-10-29,0.39,0.67,0.38,0.56,6980700,0.56
2014-10-28,0.51,0.52,0.27,0.31,4963300,0.31
2014-10-27,0.57,0.58,0.50,0.50,824100,0.50
2014-10-24,0.67,0.68,0.52,0.56,1874900,0.56
2014-10-23,0.72,0.75,0.62,0.66,2205000,0.66
2014-10-22,0.96,1.01,0.65,0.71,1365800,0.71
2014-10-21,0.95,1.13,0.90,0.93,1493100,0.93
2014-10-20,0.91,0.92,0.88,0.89,107200,0.89
2014-10-17,0.89,0.95,0.89,0.91,42500,0.91
2014-10-16,0.91,0.95,0.88,0.91,93300,0.91
2014-10-15,0.96,0.97,0.87,0.91,101600,0.91
2014-10-14,0.90,1.04,0.88,0.94,123900,0.94
2014-10-13,0.85,0.90,0.85,0.89,64600,0.89
2014-10-10,0.91,0.91,0.86,0.87,156500,0.87
2014-10-09,0.98,0.98,0.85,0.91,237500,0.91
2014-10-08,0.98,0.98,0.95,0.97,116200,0.97
2014-10-07,0.98,1.00,0.96,0.97,181000,0.97
2014-10-06,1.02,1.03,0.99,0.99,114700,0.99
2014-10-03,1.00,1.05,0.99,1.00,100400,1.00
2014-10-02,1.05,1.06,0.97,0.99,421200,0.99
2014-10-01,1.10,1.11,1.05,1.05,147800,1.05
2014-09-30,1.10,1.12,1.10,1.10,51700,1.10
2014-09-29,1.13,1.14,1.11,1.11,101400,1.11
2014-09-26,1.13,1.15,1.13,1.13,130700,1.13
2014-09-25,1.14,1.15,1.13,1.14,66400,1.14
2014-09-24,1.15,1.17,1.14,1.16,64500,1.16
2014-09-23,1.21,1.21,1.15,1.17,109000,1.17
2014-09-22,1.24,1.25,1.19,1.22,71200,1.22
2014-09-19,1.19,1.23,1.15,1.23,175100,1.23
2014-09-18,1.18,1.19,1.17,1.18,23300,1.18
2014-09-17,1.18,1.19,1.16,1.17,47100,1.17
2014-09-16,1.18,1.19,1.16,1.19,70500,1.19
2014-09-15,1.20,1.22,1.17,1.17,71200,1.17
2014-09-12,1.19,1.20,1.18,1.20,45800,1.20
2014-09-11,1.21,1.24,1.18,1.18,104300,1.18
2014-09-10,1.20,1.23,1.19,1.21,140300,1.21
2014-09-09,1.25,1.25,1.19,1.20,167900,1.20
2014-09-08,1.24,1.28,1.24,1.25,45500,1.25
2014-09-05,1.26,1.27,1.22,1.23,94300,1.23
2014-09-04,1.22,1.27,1.22,1.24,47400,1.24
2014-09-03,1.23,1.26,1.22,1.22,88400,1.22
2014-09-02,1.24,1.26,1.22,1.22,72100,1.22
2014-08-29,1.22,1.26,1.21,1.21,201200,1.21
2014-08-28,1.22,1.25,1.20,1.20,160000,1.20
2014-08-27,1.26,1.26,1.22,1.22,253100,1.22
2014-08-26,1.27,1.29,1.23,1.29,155100,1.29
2014-08-25,1.22,1.29,1.22,1.29,270700,1.29
2014-08-22,1.30,1.30,1.25,1.30,194900,1.30
2014-08-21,1.30,1.33,1.28,1.31,163400,1.31
2014-08-20,1.34,1.34,1.29,1.33,275500,1.33
2014-08-19,1.37,1.39,1.32,1.36,231300,1.36
2014-08-18,1.39,1.42,1.35,1.39,222100,1.39
2014-08-15,1.41,1.41,1.31,1.37,178900,1.37
2014-08-14,1.35,1.45,1.35,1.41,118700,1.41
2014-08-13,1.41,1.54,1.31,1.35,383500,1.35
2014-08-12,1.39,1.45,1.38,1.45,95400,1.45
