Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,78.91,80.28,78.56,79.07,33500,79.07
2014-11-17,79.35,79.62,78.67,79.00,20800,79.00
2014-11-14,80.20,80.27,79.18,79.43,21400,79.43
2014-11-13,80.92,80.95,79.34,79.85,17400,79.85
2014-11-12,79.81,80.93,79.68,80.79,24900,80.79
2014-11-11,80.16,80.77,78.86,79.87,45000,79.87
2014-11-10,78.98,80.25,78.98,80.16,36400,80.16
2014-11-07,79.86,80.00,78.54,79.57,34500,79.57
2014-11-06,79.18,80.00,78.67,79.94,23000,79.94
2014-11-05,79.13,79.35,78.37,79.18,30700,79.18
2014-11-04,78.42,79.41,78.26,78.83,31900,78.83
2014-11-03,80.00,80.00,78.36,78.91,33400,78.91
2014-10-31,80.00,80.00,78.65,79.82,44200,79.82
2014-10-30,76.88,79.63,76.88,79.37,38900,79.37
2014-10-29,78.98,79.98,76.74,77.72,48900,77.72
2014-10-28,76.25,79.18,76.25,78.98,34000,78.98
2014-10-27,75.38,76.26,74.86,75.86,28600,75.86
2014-10-24,75.07,75.90,75.00,75.51,49400,75.51
2014-10-23,76.38,76.38,74.64,74.92,31400,74.92
2014-10-22,74.98,75.06,73.32,74.19,29100,74.19
2014-10-21,74.15,74.67,72.86,74.55,20500,74.55
2014-10-20,72.00,73.61,70.70,73.55,29000,73.55
2014-10-17,75.34,75.56,71.89,72.16,71100,72.16
2014-10-16,74.11,75.60,74.01,74.23,38100,74.23
2014-10-15,72.71,75.20,71.58,75.03,39400,75.03
2014-10-14,73.67,75.15,72.37,73.58,41500,73.58
2014-10-13,71.82,73.57,70.78,72.79,36800,72.79
2014-10-10,71.62,73.05,71.25,71.50,38900,71.50
2014-10-09,71.35,73.20,71.35,72.02,35000,72.02
2014-10-08,70.61,73.74,70.61,73.14,37900,73.14
2014-10-07,71.00,71.57,70.72,70.93,25500,70.93
2014-10-06,72.21,72.67,71.28,71.29,33200,71.29
2014-10-03,72.07,73.14,71.82,71.94,28200,71.94
2014-10-02,69.98,72.20,69.98,71.43,37400,71.43
2014-10-01,70.75,71.59,69.84,70.22,41300,70.22
2014-09-30,72.01,72.63,70.75,70.88,61500,70.88
2014-09-29,71.38,72.97,70.67,72.27,41400,72.27
2014-09-26,71.33,72.26,71.20,71.98,25800,71.98
2014-09-25,71.85,71.85,70.43,71.23,37500,71.23
2014-09-24,71.19,72.28,70.93,71.92,39800,71.92
2014-09-23,72.11,72.58,71.01,71.33,59100,71.33
2014-09-22,72.52,72.99,72.06,72.49,42500,72.49
2014-09-19,75.24,75.34,72.55,72.77,103700,72.77
2014-09-18,74.99,75.93,74.70,75.36,26300,75.36
2014-09-17,74.72,75.19,74.51,74.92,18800,74.92
2014-09-16,74.84,75.19,74.34,74.83,24500,74.83
2014-09-15,74.78,75.27,74.33,74.78,28800,74.78
2014-09-12,75.79,76.35,74.33,74.99,38900,74.99
2014-09-11,74.27,75.72,74.27,75.69,26300,75.69
2014-09-10,74.71,75.26,73.74,74.91,29400,74.91
2014-09-09,75.33,75.33,74.04,74.12,44000,74.12
2014-09-08,74.65,75.37,74.00,75.23,33200,75.23
2014-09-05,74.36,75.44,74.16,74.93,18200,74.93
2014-09-04,75.92,75.92,74.47,74.69,27900,74.69
2014-09-03,73.95,75.64,73.43,75.61,92600,75.61
2014-09-02,73.03,73.94,72.54,73.67,50800,73.42
2014-08-29,72.39,73.24,71.56,73.06,29100,72.81
2014-08-28,72.47,73.14,72.40,72.50,17700,72.25
2014-08-27,73.24,73.44,72.40,73.07,23000,72.82
2014-08-26,73.21,74.30,72.91,73.08,47800,72.83
2014-08-25,74.59,74.59,73.11,73.38,20600,73.13
2014-08-22,73.14,74.38,73.06,74.00,32700,73.75
2014-08-21,73.35,73.77,72.22,73.49,24300,73.24
2014-08-20,73.40,74.01,72.55,73.26,28700,73.01
2014-08-19,74.33,74.52,73.66,73.93,16500,73.68
2014-08-18,73.39,74.66,73.22,74.04,36300,73.79
2014-08-15,73.47,73.56,71.76,72.59,56300,72.34
2014-08-14,70.88,73.11,70.88,72.87,12500,72.62
2014-08-13,72.06,73.14,71.78,72.93,21100,72.68
2014-08-12,72.24,73.16,71.40,72.04,39400,71.80
2014-08-11,73.01,73.57,72.50,72.65,27900,72.40
2014-08-08,71.88,73.03,71.39,72.70,31500,72.45
2014-08-07,71.81,72.33,71.24,71.93,31100,71.69
2014-08-06,71.89,72.80,71.58,71.86,24800,71.62
2014-08-05,71.10,71.99,70.65,71.77,21300,71.53
2014-08-04,71.14,71.85,69.86,71.54,39700,71.30
2014-08-01,71.26,71.99,70.02,70.63,35500,70.39
2014-07-31,72.58,72.92,70.92,71.08,41200,70.84
2014-07-30,73.99,74.19,73.00,73.55,36000,73.30
2014-07-29,74.06,74.40,72.65,73.63,31200,73.38
2014-07-28,74.61,74.61,73.50,74.25,24200,74.00
2014-07-25,75.32,75.97,74.25,74.82,49300,74.57
2014-07-24,76.28,77.64,75.31,75.55,65400,75.29
2014-07-23,73.31,77.07,71.29,76.84,50500,76.58
2014-07-22,72.10,73.45,71.27,73.21,48700,72.96
2014-07-21,73.11,73.11,71.86,72.25,18700,72.00
2014-07-18,72.11,73.52,71.39,73.35,43600,73.10
2014-07-17,73.45,74.10,72.26,72.32,52400,72.07
2014-07-16,74.46,74.46,73.60,74.00,50900,73.75
2014-07-15,73.99,74.40,73.81,74.02,81900,73.77
2014-07-14,74.72,74.83,73.96,74.01,27700,73.76
2014-07-11,74.00,74.13,73.60,74.00,53500,73.75
2014-07-10,73.82,74.34,73.46,74.00,69800,73.75
2014-07-09,74.43,74.43,73.88,74.04,38400,73.79
2014-07-08,74.21,74.54,73.92,74.28,61000,74.03
2014-07-07,74.50,74.70,73.72,74.26,46200,74.01
2014-07-03,74.57,75.03,74.42,74.80,23000,74.55
2014-07-02,75.25,75.47,74.31,74.42,21800,74.17
2014-07-01,74.28,76.31,74.28,75.45,47100,75.19
2014-06-30,73.36,74.34,72.83,74.11,77600,73.86
2014-06-27,73.00,73.68,73.00,73.40,111400,73.15
2014-06-26,73.36,73.36,72.61,73.15,45300,72.90
2014-06-25,72.63,73.32,72.63,73.11,33400,72.86
2014-06-24,73.07,74.16,72.96,73.10,50100,72.85
2014-06-23,73.00,73.70,72.50,73.52,69300,73.27
2014-06-20,73.59,73.60,73.00,73.08,84000,72.83
2014-06-19,73.60,73.66,72.90,73.10,34600,72.85
2014-06-18,73.37,73.64,72.82,73.52,34400,73.27
2014-06-17,72.79,74.10,72.79,73.10,62800,72.85
2014-06-16,73.00,73.11,72.60,73.00,64000,72.75
2014-06-13,73.40,73.40,72.54,72.95,70800,72.70
2014-06-12,73.00,73.40,72.80,73.00,51800,72.75
2014-06-11,72.56,73.16,72.38,73.01,71900,72.76
2014-06-10,73.14,73.64,72.73,73.15,28600,72.90
2014-06-09,72.66,73.71,72.18,73.62,43200,73.37
2014-06-06,73.60,73.98,72.41,72.96,51900,72.71
2014-06-05,71.10,73.18,70.27,73.05,42800,72.80
2014-06-04,70.88,71.53,70.49,70.74,43900,70.50
2014-06-03,71.00,71.89,70.33,71.17,52200,70.68
2014-06-02,71.00,71.40,70.68,71.00,55000,70.51
2014-05-30,70.72,71.26,70.30,70.73,62600,70.24
2014-05-29,70.36,70.54,70.02,70.39,32600,69.90
2014-05-28,70.69,70.69,69.19,70.18,36500,69.70
2014-05-27,69.22,70.74,69.22,70.52,28300,70.03
2014-05-23,68.99,69.54,68.50,69.24,28900,68.76
2014-05-22,68.57,69.30,67.62,68.76,42900,68.29
2014-05-21,68.34,68.96,67.19,68.59,59300,68.12
2014-05-20,68.13,68.24,66.92,67.89,72200,67.42
2014-05-19,67.60,68.63,67.60,68.10,31500,67.63
2014-05-16,66.54,68.50,66.12,67.99,48600,67.52
2014-05-15,66.74,67.03,64.81,66.72,43000,66.26
2014-05-14,69.71,69.71,66.93,67.28,58900,66.82
2014-05-13,71.65,71.65,69.69,69.83,58400,69.35
2014-05-12,70.30,72.32,70.11,71.52,67400,71.03
2014-05-09,68.66,70.49,68.36,70.47,56000,69.98
2014-05-08,69.59,70.88,68.67,69.06,35700,68.58
2014-05-07,69.69,70.03,68.36,69.55,34600,69.07
2014-05-06,69.93,70.80,69.29,69.34,69500,68.86
2014-05-05,70.33,71.00,69.63,70.47,42400,69.98
2014-05-02,69.05,71.50,69.03,70.67,52600,70.18
2014-05-01,70.09,70.22,67.90,69.13,63600,68.65
2014-04-30,69.05,70.52,68.01,70.42,44900,69.93
