Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,2.22,2.27,2.21,2.25,2885300,2.25
2014-11-17,2.17,2.21,2.16,2.18,2434000,2.18
2014-11-14,2.17,2.22,2.15,2.22,3566100,2.22
2014-11-13,2.10,2.19,2.08,2.13,5786500,2.13
2014-11-12,2.06,2.09,2.04,2.08,9986900,2.08
2014-11-11,2.19,2.21,2.13,2.20,4331000,2.20
2014-11-10,2.29,2.31,2.23,2.23,3917800,2.23
2014-11-07,2.35,2.40,2.28,2.34,5342100,2.34
2014-11-06,2.58,2.58,2.43,2.43,2417300,2.43
2014-11-05,2.51,2.57,2.50,2.56,1987300,2.56
2014-11-04,2.57,2.58,2.45,2.46,1560500,2.46
2014-11-03,2.43,2.53,2.43,2.50,2363000,2.50
2014-10-31,2.44,2.46,2.39,2.43,4424100,2.43
2014-10-30,2.43,2.49,2.37,2.46,5704400,2.46
2014-10-29,2.53,2.63,2.52,2.55,5929000,2.55
2014-10-28,2.73,2.77,2.72,2.76,2291400,2.76
2014-10-27,2.68,2.75,2.61,2.73,4752700,2.73
2014-10-24,2.85,2.93,2.84,2.91,3580000,2.91
2014-10-23,2.79,2.84,2.77,2.80,3035100,2.80
2014-10-22,2.80,2.88,2.74,2.76,4060600,2.76
2014-10-21,2.71,2.79,2.68,2.79,4720700,2.79
2014-10-20,2.55,2.61,2.51,2.59,3422400,2.59
2014-10-17,2.55,2.56,2.43,2.47,4037400,2.47
2014-10-16,2.27,2.39,2.23,2.39,6627300,2.39
2014-10-15,2.36,2.40,2.08,2.17,17647400,2.17
2014-10-14,2.59,2.60,2.52,2.56,5041900,2.56
2014-10-13,2.74,2.74,2.64,2.66,3170400,2.66
2014-10-10,2.71,2.73,2.64,2.68,3726900,2.68
2014-10-09,2.78,2.79,2.60,2.63,5026600,2.63
2014-10-08,2.60,2.71,2.56,2.71,4763600,2.71
2014-10-07,2.71,2.71,2.55,2.55,8508900,2.55
2014-10-06,2.84,2.85,2.77,2.78,3824400,2.78
2014-10-03,2.86,2.89,2.83,2.86,3413600,2.86
2014-10-02,2.96,2.98,2.77,2.85,8072200,2.85
2014-10-01,3.01,3.02,2.90,2.92,6124900,2.92
2014-09-30,2.98,3.02,2.96,3.01,4093300,3.01
2014-09-29,2.94,3.00,2.91,2.95,4343000,2.95
2014-09-26,3.03,3.06,3.00,3.03,3228200,3.03
2014-09-25,3.05,3.07,3.00,3.02,5595500,3.02
2014-09-24,3.04,3.35,3.03,3.21,6670200,3.21
2014-09-23,3.03,3.03,2.98,3.00,4742700,3.00
2014-09-22,3.12,3.13,3.03,3.03,3756800,3.03
2014-09-19,3.16,3.23,3.12,3.13,3133700,3.13
2014-09-18,3.14,3.21,3.12,3.14,3914400,3.14
2014-09-17,3.18,3.25,3.17,3.19,2125500,3.19
2014-09-16,3.22,3.23,3.17,3.20,3059000,3.20
2014-09-15,3.28,3.29,3.24,3.26,2625000,3.26
2014-09-12,3.32,3.33,3.28,3.30,2722300,3.30
2014-09-11,3.30,3.33,3.28,3.31,2053900,3.31
2014-09-10,3.32,3.34,3.28,3.31,1730100,3.31
2014-09-09,3.39,3.39,3.27,3.29,4702200,3.29
2014-09-08,3.50,3.50,3.43,3.46,2011400,3.46
2014-09-05,3.56,3.56,3.48,3.53,1968200,3.53
2014-09-04,3.48,3.57,3.46,3.52,4184900,3.52
2014-09-03,3.42,3.45,3.39,3.41,3006900,3.41
2014-09-02,3.44,3.46,3.33,3.38,3236400,3.38
2014-08-29,3.49,3.50,3.38,3.43,3338500,3.43
2014-08-28,3.47,3.58,3.41,3.50,5106500,3.50
2014-08-27,3.64,3.64,3.48,3.52,4138700,3.52
2014-08-26,3.54,3.69,3.54,3.58,6483900,3.58
2014-08-25,3.46,3.53,3.44,3.52,3811100,3.52
2014-08-22,3.49,3.49,3.42,3.43,2818400,3.43
2014-08-21,3.42,3.45,3.39,3.41,2928900,3.41
2014-08-20,3.32,3.35,3.25,3.31,2109000,3.31
