Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,82.00,82.49,80.70,80.83,127100,80.83
2014-11-17,82.21,82.99,81.45,82.04,132900,82.04
2014-11-14,81.10,82.99,81.10,82.62,173100,82.62
2014-11-13,83.30,83.99,81.00,81.28,143000,81.28
2014-11-12,85.10,85.50,83.00,83.28,175200,83.28
2014-11-11,84.46,85.44,83.47,85.27,89200,85.27
2014-11-10,85.50,86.24,83.99,84.45,88000,84.45
2014-11-07,82.92,85.49,82.88,85.20,104100,85.20
2014-11-06,82.99,84.42,82.25,83.80,71700,83.80
2014-11-05,81.69,82.99,81.25,82.89,191600,82.89
2014-11-04,83.00,84.62,80.01,81.75,139400,81.75
2014-11-03,84.38,84.99,83.01,83.16,90000,83.16
2014-10-31,84.25,84.85,83.50,84.60,72400,84.60
2014-10-30,84.45,85.00,83.64,83.81,52300,83.81
2014-10-29,84.71,86.19,83.83,84.16,52100,84.16
2014-10-28,82.54,84.66,82.01,84.65,82700,84.65
2014-10-27,84.75,84.78,82.47,82.59,111100,82.59
2014-10-24,87.47,87.47,85.21,85.21,70300,85.21
2014-10-23,85.99,87.05,85.38,86.81,73300,86.81
2014-10-22,88.25,88.43,85.11,85.28,125700,85.28
2014-10-21,88.19,88.87,86.84,87.95,116200,87.95
2014-10-20,85.80,87.51,85.21,86.49,124100,86.49
2014-10-17,85.95,86.48,84.45,85.68,135900,85.68
2014-10-16,79.77,85.16,79.06,84.28,241900,84.28
2014-10-15,76.50,81.99,76.30,79.85,276300,79.85
2014-10-14,78.79,79.00,76.23,77.33,302900,77.33
2014-10-13,81.72,81.72,78.51,78.87,331000,78.87
2014-10-10,85.39,85.52,81.00,82.03,390200,82.03
2014-10-09,90.83,91.00,88.49,88.58,179600,86.55
2014-10-08,90.86,91.04,88.50,90.83,217200,88.75
2014-10-07,92.63,92.70,90.54,90.92,116800,88.84
2014-10-06,94.00,94.00,90.70,92.70,189700,90.58
2014-10-03,94.00,94.73,93.01,94.73,72500,92.56
2014-10-02,93.50,94.00,92.05,93.75,99700,91.60
2014-10-01,94.65,94.96,92.36,93.84,115900,91.69
2014-09-30,95.25,95.40,93.80,94.23,62200,92.07
2014-09-29,93.75,95.18,93.35,95.12,53100,92.94
2014-09-26,92.21,93.93,92.21,93.81,49000,91.66
2014-09-25,93.60,93.60,92.07,92.22,78400,90.11
2014-09-24,92.81,94.00,92.05,93.55,50000,91.41
2014-09-23,92.17,93.29,91.51,92.81,63800,90.69
2014-09-22,93.15,93.59,92.20,92.32,73200,90.21
2014-09-19,94.50,94.85,92.94,93.28,127000,91.15
2014-09-18,95.16,95.46,94.07,94.49,41700,92.33
2014-09-17,95.80,95.88,94.66,95.01,57200,92.84
2014-09-16,94.00,96.08,93.76,95.90,103300,93.71
2014-09-15,93.46,94.08,92.72,94.00,60000,91.85
2014-09-12,94.95,94.95,92.58,93.19,86900,91.06
2014-09-11,93.95,95.23,93.42,94.70,52300,92.53
2014-09-10,94.29,94.65,93.32,94.08,56200,91.93
2014-09-09,93.13,94.80,93.13,94.41,80500,92.25
2014-09-08,96.00,96.17,93.37,93.59,142900,91.45
2014-09-05,94.74,96.13,94.41,96.04,78500,93.84
2014-09-04,95.35,95.98,94.50,94.79,65000,92.62
2014-09-03,96.15,96.15,95.01,95.76,241800,93.57
2014-09-02,96.95,97.21,95.27,96.23,88300,94.03
2014-08-29,96.75,97.39,96.00,96.93,105300,94.71
2014-08-28,95.20,96.50,95.10,96.43,101800,94.22
2014-08-27,94.00,95.75,93.01,95.30,202700,93.12
2014-08-26,93.97,93.98,92.70,92.70,51100,90.58
2014-08-25,93.00,93.75,92.52,93.51,99500,91.37
2014-08-22,92.50,92.98,91.81,92.84,92600,90.72
2014-08-21,91.50,92.50,90.20,92.50,111400,90.38
2014-08-20,92.07,92.33,91.54,91.79,56900,89.69
2014-08-19,93.07,93.15,92.00,92.09,82700,89.98
2014-08-18,92.90,93.23,92.13,92.52,110800,90.40
2014-08-15,92.21,93.06,91.51,92.96,81400,90.83
2014-08-14,93.27,93.55,92.10,92.48,85100,90.36
2014-08-13,93.01,94.24,92.75,93.20,121900,91.07
2014-08-12,91.65,93.40,91.18,93.36,124100,91.22
2014-08-11,92.54,92.54,91.10,92.33,89200,90.22
2014-08-08,89.29,91.06,88.63,91.06,79200,88.98
2014-08-07,89.31,89.49,88.50,89.37,64300,87.32
2014-08-06,88.67,89.50,87.25,89.32,77500,87.28
2014-08-05,91.29,91.29,88.06,88.74,131800,86.71
2014-08-04,87.95,90.69,87.75,90.50,133300,88.43
2014-08-01,86.00,87.75,84.72,87.50,172500,85.50
2014-07-31,87.19,87.25,83.75,85.86,347100,83.90
2014-07-30,88.93,89.73,87.10,87.64,205400,85.63
2014-07-29,91.16,92.33,88.50,88.85,302200,86.82
2014-07-28,93.00,93.37,91.16,91.33,114700,89.24
2014-07-25,92.53,93.28,92.37,92.55,83300,90.43
2014-07-24,93.00,93.05,92.31,92.61,59200,90.49
2014-07-23,93.00,93.22,92.00,93.05,76000,90.92
2014-07-22,92.90,93.95,92.01,93.31,116700,91.17
2014-07-21,92.80,92.98,91.66,92.10,91000,89.99
2014-07-18,92.00,92.97,91.25,91.62,157300,89.52
2014-07-17,94.96,94.96,91.36,91.53,164900,89.44
2014-07-16,91.67,94.39,91.29,94.27,179300,92.11
2014-07-15,92.45,92.93,90.64,91.35,220500,89.26
2014-07-14,94.75,94.80,92.07,92.29,254600,90.18
2014-07-11,95.69,96.22,94.81,94.90,222100,92.73
2014-07-10,98.55,99.11,97.90,98.70,204200,93.48
2014-07-09,98.44,100.24,98.00,98.51,255500,93.30
2014-07-08,97.59,98.57,97.34,97.81,135400,92.63
2014-07-07,98.97,99.00,97.01,97.25,219400,92.10
2014-07-03,98.49,98.99,97.49,98.17,118700,92.98
2014-07-02,98.84,98.86,97.25,98.79,139900,93.56
2014-07-01,98.86,99.42,98.42,98.48,98600,93.27
2014-06-30,99.43,99.54,98.75,98.94,135600,93.71
2014-06-27,99.79,99.82,98.35,98.90,98300,93.67
2014-06-26,98.84,99.82,97.92,99.80,88100,94.52
