Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,101.70,102.45,101.31,102.04,2761200,102.04
2014-11-17,101.25,102.08,100.45,101.70,2477000,101.70
2014-11-14,101.00,101.70,100.65,101.34,2660400,101.34
2014-11-13,103.06,103.18,100.68,101.11,3924100,101.11
2014-11-12,102.17,103.22,101.52,102.99,2805400,102.99
2014-11-11,102.31,102.80,101.60,102.53,2464400,102.53
2014-11-10,101.86,102.55,101.86,102.21,3308000,102.21
2014-11-07,101.26,101.83,100.90,101.76,2708200,101.76
2014-11-06,99.51,100.99,99.24,100.91,3427700,100.91
2014-11-05,99.45,99.64,98.45,99.41,3515600,99.41
2014-11-04,99.75,100.00,98.04,98.61,4849000,98.61
2014-11-03,101.61,101.76,99.77,100.22,4434300,100.22
2014-10-31,101.35,102.37,100.84,101.41,5367700,101.41
2014-10-30,99.63,100.58,99.06,100.16,2648300,100.16
2014-10-29,101.53,101.84,99.84,100.19,4426400,100.19
2014-10-28,99.44,101.16,99.03,101.16,5053400,101.16
2014-10-27,98.68,98.77,97.15,98.54,4346100,98.54
2014-10-24,99.51,99.68,98.37,99.44,4133800,99.44
2014-10-23,97.60,99.94,97.34,99.27,11670100,99.27
2014-10-22,95.53,95.98,94.05,94.57,6211300,94.57
2014-10-21,95.04,96.32,95.04,95.89,3990500,95.89
2014-10-20,94.53,95.30,93.27,94.03,4270800,94.03
2014-10-17,94.20,95.60,93.98,95.05,7442600,95.05
2014-10-16,90.27,94.15,90.27,93.24,7439400,93.24
2014-10-15,91.43,92.75,90.05,92.59,9377600,91.89
2014-10-14,92.51,95.01,92.39,92.80,6791300,92.10
2014-10-13,93.29,94.06,91.62,91.68,5852400,90.99
2014-10-10,93.24,94.57,91.61,93.13,6179100,92.43
2014-10-09,96.21,96.52,93.24,93.50,6414500,92.79
2014-10-08,94.58,96.86,93.64,96.65,6214200,95.92
2014-10-07,97.09,97.51,94.69,94.70,6479500,93.98
2014-10-06,97.81,98.13,96.91,98.00,3982400,97.26
2014-10-03,98.04,98.34,97.03,97.39,3921900,96.65
2014-10-02,97.65,97.98,96.15,97.41,4460800,96.67
2014-10-01,98.64,99.00,97.27,97.61,4827300,96.87
2014-09-30,100.03,100.10,98.80,99.03,3746100,98.28
2014-09-29,99.35,100.10,98.26,99.83,3156400,99.08
2014-09-26,99.44,100.64,99.24,100.38,2935900,99.62
2014-09-25,101.00,101.20,99.19,99.51,4960800,98.76
2014-09-24,100.04,101.49,99.89,101.20,5797000,100.43
2014-09-23,100.86,101.09,99.88,99.99,5710300,99.23
2014-09-22,102.10,102.26,100.82,100.90,5093200,100.14
2014-09-19,104.85,105.00,102.08,102.51,8285400,101.74
2014-09-18,104.30,104.55,103.40,104.34,3915800,103.55
2014-09-17,105.18,105.41,103.88,103.99,5122200,103.20
2014-09-16,104.21,105.83,103.77,104.86,5289700,104.07
2014-09-15,104.32,104.90,103.22,104.86,7051900,104.07
2014-09-12,104.97,105.09,104.40,105.02,6904200,104.23
2014-09-11,105.66,105.66,104.59,105.59,5460100,104.79
2014-09-10,105.61,106.12,105.38,105.93,8154700,105.13
2014-09-09,107.82,108.20,107.19,107.40,3578500,106.59
2014-09-08,108.23,108.46,107.52,107.91,3496900,107.09
2014-09-05,109.00,109.18,108.19,108.54,4305000,107.72
2014-09-04,108.30,109.49,108.16,108.82,4604000,108.00
2014-09-03,109.45,109.66,108.05,108.46,4669000,107.64
2014-09-02,109.03,109.73,108.83,108.92,4040200,108.10
2014-08-29,108.90,109.10,108.25,109.07,4437200,108.25
2014-08-28,108.02,108.82,107.80,108.65,3227800,107.83
2014-08-27,108.13,108.92,108.08,108.55,3281900,107.73
2014-08-26,108.05,108.64,107.98,108.06,2865800,107.24
2014-08-25,107.96,108.33,107.73,107.97,3014100,107.15
2014-08-22,107.58,107.82,106.54,107.31,4603700,106.50
2014-08-21,108.17,108.57,107.54,107.97,4118100,107.15
2014-08-20,107.39,108.15,107.20,107.70,5341600,106.89
2014-08-19,107.26,107.70,106.87,107.30,3639200,106.49
2014-08-18,106.69,107.10,106.28,106.98,3478600,106.17
2014-08-15,106.01,106.42,105.13,105.74,4099200,104.94
2014-08-14,105.51,106.00,104.99,105.66,4178800,104.86
2014-08-13,104.33,105.50,104.33,105.16,4664900,104.36
2014-08-12,104.59,105.16,104.13,104.33,4200900,103.54
2014-08-11,104.61,104.85,103.93,104.50,5197900,103.71
2014-08-08,102.01,103.44,101.78,103.28,4690200,102.50
2014-08-07,102.66,103.47,101.88,101.94,5752800,101.17
2014-08-06,100.76,101.85,100.61,101.49,5526900,100.72
2014-08-05,101.11,102.47,100.94,101.50,5685400,100.73
2014-08-04,100.36,102.05,100.10,101.81,5183900,101.04
2014-08-01,100.52,100.85,99.11,100.52,6011900,99.76
2014-07-31,102.24,102.69,100.74,100.75,6711400,99.99
2014-07-30,105.08,105.32,103.03,103.38,5856900,102.60
2014-07-29,105.00,106.44,104.69,104.69,7947100,103.90
2014-07-28,104.78,104.90,103.17,104.15,4474300,103.36
2014-07-25,104.14,105.35,104.10,104.85,4126200,104.06
2014-07-24,105.60,106.23,104.09,105.04,8690300,104.25
2014-07-23,109.79,109.98,108.21,108.38,4471400,107.56
2014-07-22,110.84,111.28,109.80,110.06,2879400,109.23
2014-07-21,110.00,110.55,109.45,110.23,2075900,109.40
2014-07-18,109.43,110.17,109.05,110.17,2424900,109.34
2014-07-17,110.40,110.67,108.93,109.07,3164700,108.25
2014-07-16,110.18,111.46,109.92,111.40,3974100,109.86
2014-07-15,110.25,110.42,109.40,109.85,3212900,108.33
2014-07-14,110.43,111.04,110.09,110.09,2375100,108.57
2014-07-11,109.50,109.99,108.65,109.96,1992300,108.44
2014-07-10,108.14,109.57,107.80,109.36,2303600,107.85
2014-07-09,109.79,110.29,109.42,110.14,2270600,108.62
2014-07-08,110.21,110.38,109.40,109.46,2450600,107.95
2014-07-07,110.18,110.45,109.57,110.16,2697100,108.64
2014-07-03,109.90,111.16,109.69,111.08,2876200,109.55
2014-07-02,109.32,109.95,109.30,109.56,1849000,108.05
2014-07-01,109.08,109.75,109.01,109.17,2346300,107.66
2014-06-30,108.68,109.03,107.97,108.67,2249200,107.17
2014-06-27,108.34,108.88,107.73,108.78,3632100,107.28
2014-06-26,108.55,108.80,107.85,108.52,1522900,107.02
2014-06-25,107.48,108.88,107.35,108.44,2176200,106.94
2014-06-24,108.56,109.34,107.00,107.81,2864200,106.32
2014-06-23,109.25,109.85,108.29,108.78,2839500,107.28
2014-06-20,108.05,109.53,107.64,109.38,7762900,107.87
2014-06-19,106.99,107.42,106.69,107.25,2592400,105.77
2014-06-18,106.63,107.60,106.05,107.48,2218700,106.00
2014-06-17,106.51,107.00,106.00,106.67,2138400,105.20
2014-06-16,106.50,106.88,105.73,106.81,2137200,105.34
2014-06-13,106.55,107.23,106.07,106.77,2009100,105.30
2014-06-12,108.47,108.50,106.44,106.65,3408600,105.18
2014-06-11,108.93,108.98,108.33,108.69,2738800,107.19
2014-06-10,108.50,109.50,108.40,109.31,4752700,107.80
2014-06-09,107.74,109.30,107.66,108.75,3900400,107.25
2014-06-06,107.08,108.36,106.98,108.18,4299600,106.69
2014-06-05,104.80,107.12,104.77,106.96,5389200,105.48
2014-06-04,104.42,105.10,104.07,104.31,2879900,102.87
2014-06-03,103.42,104.57,103.05,104.49,3643600,103.05
2014-06-02,102.42,103.94,102.01,103.76,3747000,102.33
2014-05-30,102.90,102.98,101.55,102.23,5939300,100.82
2014-05-29,103.28,103.67,102.56,103.60,3071200,102.17
2014-05-28,103.53,103.86,102.85,102.91,3353300,101.49
2014-05-27,104.20,104.48,103.46,103.68,3443400,102.25
2014-05-23,103.15,104.15,103.15,104.03,2888600,102.59
2014-05-22,102.90,103.88,102.51,103.08,3112300,101.66
2014-05-21,101.48,103.00,101.48,102.88,5460200,101.46
2014-05-20,104.79,104.81,100.72,101.56,9277600,100.16
2014-05-19,105.42,105.53,104.72,105.39,3924300,103.94
2014-05-16,105.05,106.05,104.17,106.03,4403300,104.57
2014-05-15,106.49,106.74,104.04,104.99,5151000,103.54
2014-05-14,106.85,107.04,106.30,106.53,3082300,105.06
2014-05-13,106.50,108.21,105.82,107.15,3951500,105.67
2014-05-12,105.71,106.50,105.65,106.20,3664200,104.73
2014-05-09,104.96,105.30,104.30,105.06,2761800,103.61
2014-05-08,104.55,105.02,104.15,104.94,3118400,103.49
2014-05-07,104.10,104.66,103.43,104.62,3399800,103.18
2014-05-06,104.21,104.47,103.60,103.87,2836300,102.44
2014-05-05,104.66,104.80,103.81,104.52,3166400,103.08
2014-05-02,104.93,105.58,104.73,105.01,2677000,103.56
2014-05-01,105.20,105.79,104.63,105.07,2970800,103.62
2014-04-30,105.23,106.24,104.99,105.40,5199300,103.95
