Date,Open,High,Low,Close,Volume,Adj Close,Prediction,Prediction Correct
2014-11-18,40.43,40.89,40.31,40.73,245300,40.73,0.529406071412,True
2014-11-17,40.85,40.85,40.13,40.27,209400,40.27,0.241510453599,True
2014-11-14,41.12,41.41,40.85,40.86,194900,40.86,0.267140111672,True
2014-11-13,41.14,41.62,40.87,41.09,191600,41.09,0.450509175108,True
2014-11-12,40.69,41.22,40.69,41.01,269600,41.01,0.789203123367,True
2014-11-11,41.15,41.36,40.32,40.82,326500,40.82,0.229492653076,True
2014-11-10,40.7,41.08,40.51,41.05,217500,41.05,0.767517091633,True
2014-11-07,40.97,41.08,40.49,40.73,289300,40.73,0.339568291789,True
2014-11-06,41.1,41.43,40.97,41.07,261300,41.07,0.398999222046,True
2014-11-05,41.38,41.48,40.84,40.99,276900,40.99,0.301998728487,True
2014-11-04,40.55,41.33,40.55,40.98,595400,40.98,0.901642008579,True
2014-11-03,40.53,41.8,40.18,40.99,521200,40.99,0.567673448841,True
2014-10-31,40.92,41.25,40.25,40.38,804300,40.38,0.293572548364,True
2014-10-30,40.52,42.7,39.06,40.2,1542800,40.2,0.708817262234,False
2014-10-29,38.28,38.64,37.91,38.0,422200,38.0,0.998054111049,False
2014-10-28,37.49,38.35,37.15,38.33,334000,38.33,0.906315088228,True
2014-10-27,37.04,37.63,36.44,37.22,208300,37.22,0.841877549556,True
2014-10-24,37.17,37.36,36.75,37.17,208300,37.17,0.439568942589,False
2014-10-23,36.85,37.56,36.59,37.06,194900,37.06,0.718393783174,True
2014-10-22,36.84,37.53,36.55,36.58,214200,36.58,0.547162468428,False
2014-10-21,36.27,36.81,36.2,36.75,184700,36.75,0.822657350753,True
2014-10-20,35.8,36.18,35.56,36.12,258600,36.12,0.833679762458,True
2014-10-17,36.58,36.6,35.92,36.03,192800,36.03,0.11603523494,True
2014-10-16,35.21,36.25,35.12,36.07,344000,36.07,0.980720349039,True
2014-10-15,34.42,36.19,34.1,35.89,434800,35.89,0.947092180299,True
2014-10-14,34.34,35.49,34.14,34.99,296400,34.99,0.717950144745,True
2014-10-13,33.46,34.35,33.4,34.02,283300,34.02,0.955684156707,True
2014-10-10,33.16,34.08,33.04,33.5,400600,33.5,0.777704746605,True
2014-10-09,34.86,34.86,33.24,33.3,437100,33.3,0.00600853447133,True
2014-10-08,34.46,35.01,33.8,34.94,534700,34.94,0.633636748825,True
2014-10-07,35.55,35.55,34.39,34.5,328100,34.5,0.0352764560175,True
2014-10-06,35.52,36.64,35.43,35.74,423400,35.74,0.41259506394,False
2014-10-03,34.8,35.2,34.7,34.86,261700,34.86,0.921511333666,True
2014-10-02,34.08,34.52,33.8,34.4,169300,34.4,0.922244188598,True
2014-10-01,34.85,34.98,34.07,34.09,316800,34.09,0.0807621241458,True
2014-09-30,35.57,35.88,34.95,34.96,362000,34.96,0.0549986782295,True
2014-09-29,34.92,35.77,34.88,35.51,207900,35.51,0.859935441293,True
2014-09-26,35.3,35.55,35.02,35.23,131800,35.23,0.302751939757,True
2014-09-25,35.89,36.07,35.23,35.28,165700,35.28,0.109932643159,True
2014-09-24,35.59,37.3,35.58,36.05,417500,36.05,0.674976106231,True
2014-09-23,35.63,35.63,34.88,34.91,196600,34.91,0.520939967148,False
2014-09-22,36.44,36.44,35.44,35.7,178000,35.7,0.0483041217846,True
2014-09-19,37.33,37.75,36.54,36.66,426500,36.66,0.0309015973941,True
2014-09-18,37.32,37.48,37.03,37.26,172300,37.26,0.417890329903,True
2014-09-17,37.39,37.55,37.09,37.28,153600,37.28,0.443823646973,True
2014-09-16,36.83,37.61,36.83,37.3,219600,37.3,0.857308230122,True
2014-09-15,37.17,37.49,36.63,36.79,283300,36.79,0.285716030966,True
2014-09-12,36.61,37.42,36.28,37.09,282300,37.09,0.841916834719,True
2014-09-11,36.43,36.96,36.24,36.72,153600,36.72,0.689542931922,True
2014-09-10,36.25,36.83,36.07,36.68,137000,36.68,0.679359358196,True
2014-09-09,36.5,36.63,36.13,36.26,198800,36.26,0.357345932168,True
2014-09-08,37.2,37.22,36.45,36.62,171400,36.62,0.0975551121131,True
2014-09-05,36.88,37.78,36.85,37.21,283200,37.21,0.66949822236,True
2014-09-04,36.75,37.41,36.58,37.05,159400,37.05,0.648048936746,True
2014-09-03,37.24,37.56,36.56,36.68,164900,36.68,0.193397810861,True
2014-09-02,37.3,37.84,36.99,37.19,264800,37.19,0.399595734489,True
2014-08-29,36.51,37.2,36.51,37.1,175200,37.1,0.919242209799,True
2014-08-28,36.69,37.07,36.5,36.52,104700,36.52,0.436292975208,True
2014-08-27,36.77,37.2,36.64,36.77,111900,36.77,0.416402020664,False
2014-08-26,36.85,37.05,36.55,36.65,211400,36.65,0.434322381011,True
2014-08-25,36.8,37.15,36.5,36.75,138000,36.75,0.526727545362,False
2014-08-22,37.18,37.18,36.52,36.56,166800,36.56,0.233376488824,True
2014-08-21,36.77,37.45,36.33,37.22,130800,37.22,0.730644140054,True
2014-08-20,37.3,37.3,36.64,36.89,217500,36.89,0.19422953114,True
2014-08-19,38.03,38.25,37.46,37.5,201400,37.5,0.0820007246311,True
2014-08-18,37.16,38.01,36.95,38.01,235200,38.01,0.92060796453,True
2014-08-15,37.91,38.37,36.86,36.92,249200,36.92,0.126984377036,True
2014-08-14,37.64,37.89,37.3,37.57,181500,37.57,0.594257808825,False
2014-08-13,37.44,37.77,37.41,37.56,195900,37.56,0.654015324988,True
2014-08-12,37.34,37.52,36.78,37.36,285600,37.36,0.588995433071,True
2014-08-11,37.75,37.93,37.4,37.49,262600,37.49,0.228281496766,True
2014-08-08,37.28,37.75,37.28,37.55,206900,37.55,0.793411146861,True
2014-08-07,37.4,37.69,37.2,37.33,242600,37.33,0.436676861958,True
2014-08-06,36.7,37.71,36.5,37.3,261500,37.3,0.898616087593,True
2014-08-05,36.85,36.94,36.44,36.91,295500,36.91,0.444844059411,False
2014-08-04,37.16,37.63,36.79,36.95,375400,36.95,0.294886196877,True
2014-08-01,36.97,37.38,36.83,37.09,482100,37.09,0.622138350283,True
2014-07-31,36.53,38.32,36.26,36.96,483100,36.96,0.80937748147,True
2014-07-30,37.3,37.45,36.95,36.99,393900,36.99,0.10179212791,True
2014-07-29,37.18,37.62,36.91,36.91,314700,36.91,0.559964062093,False
2014-07-28,37.58,37.58,36.85,37.22,254100,37.22,0.2047283933,True
2014-07-25,37.27,37.54,36.93,37.51,228500,37.51,0.694281646051,True
2014-07-24,37.83,38.1,37.44,37.58,195600,37.58,0.160635529581,True
2014-07-23,37.53,38.2,37.4,37.84,293100,37.84,0.690076745401,True
2014-07-22,37.2,37.85,37.2,37.5,220000,37.5,0.765361418957,True
2014-07-21,37.26,37.41,36.94,37.06,251400,37.06,0.497132637043,True
2014-07-18,36.96,38.05,36.96,37.45,307500,37.45,0.698701949087,True
2014-07-17,36.98,37.28,36.89,37.01,509600,37.01,0.547074098782,True
2014-07-16,37.0,37.64,36.68,37.14,500600,37.14,0.489430678652,False
2014-07-15,37.05,37.22,36.42,36.89,400900,36.89,0.486954578293,True
2014-07-14,37.17,37.64,36.85,37.06,273800,37.06,0.391360627485,True
2014-07-11,36.57,37.06,36.36,36.97,446300,36.97,0.858966175143,True
2014-07-10,36.09,36.8,35.89,36.75,315500,36.75,0.847046150739,True
2014-07-09,37.06,37.14,36.68,36.77,239800,36.77,0.0618752047861,True
2014-07-08,36.89,37.19,36.55,36.95,495800,36.95,0.596994171019,True
2014-07-07,37.25,37.25,36.48,36.92,248500,36.92,0.250022719072,True
2014-07-03,37.06,37.75,37.06,37.42,194200,37.42,0.612574096523,True
2014-07-02,37.66,37.89,36.95,36.99,274300,36.99,0.153366056493,True
2014-07-01,37.88,38.75,37.8,37.83,527300,37.83,0.270993330244,True
2014-06-30,36.72,37.93,36.48,37.82,364600,37.82,0.972801674303,True
2014-06-27,37.01,37.3,36.26,36.7,991300,36.7,0.413857109031,True
2014-06-26,37.96,37.96,37.04,37.26,352800,37.26,0.0379569107809,True
2014-06-25,37.05,38.15,37.01,38.01,355600,38.01,0.925578117583,True
2014-06-24,37.41,37.79,37.12,37.17,265000,37.17,0.334915618447,True
2014-06-23,37.85,38.61,37.32,37.58,482600,37.58,0.192574106778,True
2014-06-20,37.21,37.26,36.57,37.06,462100,37.06,0.862703833588,False
2014-06-19,36.48,37.28,36.48,37.12,525500,37.12,0.903297115155,True
2014-06-18,37.15,37.36,36.21,36.43,582600,36.43,0.156269431194,True
2014-06-17,36.16,37.64,36.09,37.0,817000,37.0,0.940784356779,True
2014-06-16,34.54,36.8,34.54,36.14,1220100,36.14,0.995687875841,True
2014-06-13,33.45,33.72,33.05,33.17,213800,33.17,0.984926454196,False
2014-06-12,33.02,33.54,32.54,33.52,292200,33.52,0.784133530601,True
2014-06-11,33.63,33.95,33.02,33.11,269600,33.11,0.168176411168,True
2014-06-10,33.78,34.09,33.46,33.74,260000,33.74,0.339867938788,True
2014-06-09,33.07,34.0,32.81,33.97,300700,33.97,0.905620612708,True
2014-06-06,32.21,33.25,32.21,33.13,293800,33.13,0.959221602296,True
2014-06-05,31.58,32.26,31.38,31.98,303000,31.98,0.921267961156,True
2014-06-04,31.44,31.6,31.31,31.54,333200,31.54,0.679424823161,True
2014-06-03,31.98,32.06,31.38,31.48,436000,31.48,0.142611439934,True
2014-06-02,32.24,32.4,31.73,32.05,285600,32.05,0.250784034865,True
2014-05-30,31.87,32.31,31.63,32.27,364600,32.27,0.764730518983,True
2014-05-29,31.47,31.85,31.11,31.84,210800,31.84,0.835149858421,True
2014-05-28,31.24,31.83,31.13,31.44,237300,31.44,0.737412489032,True
2014-05-27,30.91,31.38,30.73,31.28,378800,31.28,0.783142374922,True
2014-05-23,30.02,30.71,29.95,30.66,365300,30.66,0.967487344201,True
2014-05-22,29.38,30.01,29.26,29.92,510000,29.92,0.939769536069,True
2014-05-21,29.54,30.0,28.59,29.3,620700,29.3,0.436026074108,True
2014-05-20,29.88,29.88,29.05,29.43,482100,29.43,0.212444708697,True
2014-05-19,29.83,30.22,29.63,29.95,216700,29.95,0.497713319368,False
2014-05-16,29.51,29.93,29.25,29.93,286200,29.93,0.778081991382,True
2014-05-15,29.51,29.76,28.83,29.58,422100,29.58,0.562532163875,True
2014-05-14,31.42,31.53,29.68,29.69,465400,29.69,0.000903918341404,True
2014-05-13,31.39,31.54,30.83,31.45,518300,31.45,0.292579812861,False
2014-05-12,30.98,31.94,30.88,31.39,288900,31.39,0.831940572616,True
2014-05-09,30.37,30.84,29.9,30.82,240300,30.82,0.932950393183,True
2014-05-08,30.43,31.22,30.13,30.52,455500,30.52,0.508514409266,True
2014-05-07,30.21,30.56,29.24,30.55,535700,30.55,0.715828320473,True
2014-05-06,30.93,30.93,29.46,30.25,536600,30.25,0.0688628591045,True
2014-05-05,31.19,31.19,30.03,30.94,757500,30.94,0.19949796474,True
