Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,125.53,127.13,125.32,126.64,143600,126.64
2014-11-17,124.74,125.59,124.23,125.42,132300,125.42
2014-11-14,124.85,125.39,124.70,125.06,161100,125.06
2014-11-13,125.32,125.88,124.60,125.06,117200,125.06
2014-11-12,122.83,125.16,122.83,125.01,98500,125.01
2014-11-11,124.40,124.43,123.26,123.57,196900,123.57
2014-11-10,123.13,124.40,122.53,124.28,202400,124.28
2014-11-07,122.00,123.53,121.27,123.13,287000,123.13
2014-11-06,121.89,122.37,121.11,122.18,282800,122.18
2014-11-05,123.38,123.53,121.03,121.83,299700,121.83
2014-11-04,123.21,124.02,121.75,122.36,401300,122.36
2014-11-03,122.70,123.92,122.16,123.36,504700,123.36
2014-10-31,124.00,124.53,122.11,122.81,630500,122.81
2014-10-30,120.85,122.75,120.41,122.57,331300,122.57
2014-10-29,121.33,121.43,119.35,120.96,285200,120.96
2014-10-28,120.17,121.37,119.78,121.37,260000,121.37
2014-10-27,119.49,120.89,118.89,119.91,239000,119.91
2014-10-24,118.90,119.64,118.09,119.48,132800,119.48
2014-10-23,118.12,119.63,118.12,118.67,176300,118.67
2014-10-22,118.56,118.77,117.29,117.31,164400,117.31
2014-10-21,116.51,118.32,115.83,118.32,311900,118.32
2014-10-20,114.75,116.67,114.20,115.72,372900,115.72
2014-10-17,114.01,115.65,113.65,115.23,175000,115.23
2014-10-16,109.39,113.39,108.86,112.80,626500,112.80
2014-10-15,111.32,111.66,109.72,110.67,1330800,110.67
2014-10-14,113.42,114.30,112.92,112.99,422300,112.99
2014-10-13,114.56,115.11,112.77,112.89,345000,112.89
2014-10-10,117.50,118.64,114.45,114.49,597500,114.49
2014-10-09,119.41,119.41,117.19,117.50,334100,117.50
2014-10-08,117.58,119.90,117.39,119.60,477600,119.60
2014-10-07,119.13,119.40,117.19,117.59,520400,117.59
2014-10-06,120.14,120.81,118.89,119.51,199800,119.51
2014-10-03,117.81,119.97,117.50,119.83,246000,119.83
2014-10-02,117.23,117.97,116.98,117.51,301900,117.51
