Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,116.50,117.78,115.79,116.15,253000,116.15
2014-11-17,114.73,116.79,114.66,116.13,174600,116.13
2014-11-14,115.48,116.37,114.80,114.88,222000,114.88
2014-11-13,117.15,117.84,115.45,115.75,172800,115.75
2014-11-12,115.59,117.70,115.59,117.15,93200,117.15
2014-11-11,116.55,117.49,115.98,116.45,155900,116.45
2014-11-10,115.86,116.57,114.71,116.54,110900,116.54
2014-11-07,115.92,116.33,114.49,115.95,291800,115.95
2014-11-06,115.03,115.91,114.98,115.86,125400,115.86
2014-11-05,116.41,116.68,114.17,114.85,127400,114.85
2014-11-04,115.75,116.53,115.01,115.57,192600,115.57
2014-11-03,117.02,117.89,115.17,115.78,200800,115.78
2014-10-31,117.02,117.25,115.13,117.11,198400,117.11
2014-10-30,113.08,115.11,112.79,114.77,138900,114.77
2014-10-29,114.98,115.97,113.04,113.72,195500,113.72
2014-10-28,112.44,115.14,112.28,114.73,184100,114.73
2014-10-27,111.01,112.16,110.30,111.94,98900,111.94
2014-10-24,111.37,112.09,110.60,111.72,92400,111.72
2014-10-23,109.34,111.90,109.02,110.88,179700,110.88
2014-10-22,111.41,111.74,108.24,108.40,145400,108.40
2014-10-21,109.18,111.37,108.60,110.92,161900,110.92
2014-10-20,107.57,109.00,107.57,108.75,151200,108.75
2014-10-17,108.05,108.47,106.70,107.51,153900,107.51
2014-10-16,105.09,107.67,104.47,106.57,260400,106.57
2014-10-15,103.75,107.84,102.85,106.96,408900,106.96
2014-10-14,103.33,107.00,103.15,105.26,250500,105.26
2014-10-13,103.97,104.85,102.65,102.75,201600,102.75
2014-10-10,104.79,105.79,103.81,104.09,180800,104.09
2014-10-09,107.63,108.00,104.91,105.23,278500,105.23
2014-10-08,107.20,108.36,106.21,108.00,367200,108.00
2014-10-07,108.54,108.54,107.25,107.50,346500,107.50
2014-10-06,110.01,110.90,108.93,109.51,118400,109.51
2014-10-03,109.15,110.25,108.45,109.87,203600,109.87
2014-10-02,107.41,108.62,106.89,107.96,367300,107.96
2014-10-01,111.27,111.49,107.22,107.67,679100,107.67
2014-09-30,111.72,111.94,110.74,111.27,315000,111.27
2014-09-29,108.66,111.51,108.64,111.50,337000,111.50
2014-09-26,109.07,110.14,108.80,109.99,185800,109.99
2014-09-25,109.56,109.94,108.53,109.16,252900,109.16
