Date,Open,High,Low,Close,Volume,Adj Close
2014-10-31,5.60,5.60,5.57,5.60,78600,5.60
2014-10-30,5.56,5.60,5.56,5.60,24600,5.60
2014-10-29,5.59,5.60,5.56,5.56,14100,5.56
2014-10-28,5.56,5.60,5.56,5.60,43100,5.60
2014-10-27,5.60,5.60,5.56,5.56,31600,5.56
2014-10-24,5.57,5.60,5.56,5.57,38900,5.57
2014-10-23,5.57,5.61,5.56,5.56,50800,5.56
2014-10-22,5.59,5.59,5.55,5.57,57200,5.57
2014-10-21,5.60,5.60,5.55,5.55,55800,5.55
2014-10-20,5.55,5.56,5.55,5.56,21100,5.56
2014-10-17,5.55,5.60,5.55,5.56,19900,5.56
2014-10-16,5.54,5.56,5.54,5.56,57200,5.56
2014-10-15,5.55,5.56,5.54,5.56,99300,5.56
2014-10-14,5.60,5.60,5.54,5.56,73800,5.56
2014-10-13,5.55,5.56,5.54,5.54,89500,5.54
2014-10-10,5.56,5.58,5.55,5.56,62600,5.56
2014-10-09,5.56,5.58,5.55,5.58,41500,5.58
2014-10-08,5.55,5.57,5.55,5.57,69200,5.57
2014-10-07,5.55,5.58,5.55,5.58,88600,5.58
2014-10-06,5.55,5.56,5.54,5.56,85900,5.56
2014-10-03,5.55,5.56,5.54,5.56,92200,5.56
2014-10-02,5.54,5.55,5.54,5.55,33300,5.55
2014-10-01,5.54,5.55,5.53,5.55,248800,5.55
2014-09-30,5.54,5.55,5.54,5.55,114100,5.55
2014-09-29,5.53,5.55,5.53,5.55,125300,5.55
2014-09-26,5.53,5.55,5.53,5.55,43900,5.55
2014-09-25,5.55,5.55,5.53,5.53,207900,5.53
2014-09-24,5.54,5.55,5.54,5.55,43800,5.55
2014-09-23,5.54,5.55,5.54,5.54,61100,5.54
2014-09-22,5.54,5.57,5.54,5.54,97700,5.54
2014-09-19,5.54,5.55,5.54,5.55,128100,5.55
2014-09-18,5.56,5.56,5.54,5.54,36900,5.54
2014-09-17,5.54,5.56,5.53,5.55,176400,5.55
2014-09-16,5.54,5.55,5.54,5.54,109000,5.54
2014-09-15,5.55,5.56,5.54,5.54,128000,5.54
2014-09-12,5.55,5.55,5.54,5.54,122200,5.54
2014-09-11,5.56,5.56,5.55,5.56,69400,5.56
2014-09-10,5.55,5.56,5.53,5.54,417600,5.54
2014-09-09,5.55,5.56,5.55,5.55,157600,5.55
2014-09-08,5.55,5.56,5.54,5.56,772000,5.56
2014-09-05,5.55,5.62,5.55,5.59,439100,5.59
2014-09-04,5.53,5.58,5.53,5.55,336400,5.55
2014-09-03,5.53,5.54,5.52,5.53,810600,5.53
2014-09-02,5.51,5.55,5.51,5.52,1348500,5.52
2014-09-01,3.02,3.02,3.02,3.02,000,3.02
2014-08-29,3.10,3.14,3.01,3.02,14100,3.02
2014-08-28,3.05,3.23,3.02,3.08,9200,3.08
2014-08-27,3.11,3.14,3.07,3.09,6400,3.09
2014-08-26,3.10,3.15,3.06,3.15,20600,3.15
2014-08-25,3.17,3.20,3.06,3.19,18700,3.19
2014-08-22,3.05,3.09,3.05,3.09,7300,3.09
2014-08-21,3.15,3.15,3.08,3.10,21400,3.10
2014-08-20,3.11,3.12,3.06,3.06,23700,3.06
2014-08-19,3.07,3.12,3.05,3.05,9300,3.05
2014-08-18,3.04,3.08,3.01,3.03,15800,3.03
2014-08-15,3.03,3.14,3.01,3.01,34800,3.01
2014-08-14,3.01,3.15,3.01,3.05,8900,3.05
2014-08-13,3.00,3.13,3.00,3.01,27300,3.01
2014-08-12,2.98,3.11,2.98,3.00,36600,3.00
2014-08-11,3.06,3.15,2.95,2.97,113300,2.97
2014-08-08,3.06,3.12,3.02,3.03,35700,3.03
2014-08-07,3.02,3.21,3.00,3.01,90900,3.01
2014-08-06,2.86,2.88,2.82,2.86,3400,2.86
2014-08-05,2.89,3.10,2.82,2.83,15100,2.83
2014-08-04,2.93,3.01,2.82,2.82,61600,2.82
2014-08-01,2.94,2.95,2.92,2.95,4700,2.95
2014-07-31,2.94,2.96,2.87,2.93,4800,2.93
2014-07-30,2.98,3.00,2.88,2.90,9700,2.90
2014-07-29,3.08,3.10,2.95,3.03,43600,3.03
2014-07-28,3.00,3.17,2.94,3.08,36100,3.08
2014-07-25,2.92,2.99,2.89,2.99,23000,2.99
2014-07-24,2.92,3.00,2.88,2.88,21700,2.88
2014-07-23,2.93,3.01,2.81,2.94,100700,2.94
2014-07-22,2.79,2.93,2.78,2.90,109300,2.90
2014-07-21,2.78,2.98,2.78,2.78,37900,2.78
2014-07-18,2.77,2.79,2.71,2.78,19900,2.78
2014-07-17,2.70,2.73,2.61,2.71,116800,2.71
2014-07-16,2.54,2.70,2.53,2.58,28200,2.58
2014-07-15,2.47,2.54,2.44,2.50,27900,2.50
2014-07-14,2.46,2.50,2.45,2.45,5700,2.45
2014-07-11,2.44,2.44,2.44,2.44,000,2.44
2014-07-10,2.44,2.47,2.44,2.44,9700,2.44
2014-07-09,2.48,2.54,2.47,2.54,12100,2.54
2014-07-08,2.46,2.46,2.46,2.46,400,2.46
2014-07-07,2.46,2.50,2.46,2.47,18700,2.47
2014-07-04,2.48,2.48,2.48,2.48,000,2.48
2014-07-03,2.48,2.48,2.48,2.48,000,2.48
2014-07-02,2.44,2.48,2.44,2.48,24500,2.48
2014-07-01,2.57,2.60,2.56,2.56,2200,2.56
2014-06-30,2.54,2.57,2.51,2.57,4400,2.57
2014-06-27,2.50,2.51,2.50,2.51,2300,2.51
2014-06-26,2.50,2.58,2.50,2.54,1400,2.54
2014-06-25,2.52,2.60,2.40,2.48,39800,2.48
