Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,21.52,22.41,21.52,22.20,2604400,22.20
2014-11-17,21.77,21.91,20.50,20.92,1974800,20.92
2014-11-14,21.04,22.09,20.74,21.97,1752700,21.97
2014-11-13,22.08,22.20,20.70,21.25,2937300,21.25
2014-11-12,23.97,24.00,22.06,22.27,1773500,22.27
2014-11-11,23.71,23.88,23.06,23.41,1088700,23.41
2014-11-10,23.24,23.92,22.89,23.74,1307200,23.74
2014-11-07,23.00,23.55,22.55,23.24,1082300,23.24
2014-11-06,22.96,23.99,22.93,23.36,1120900,23.36
2014-11-05,24.21,24.30,22.47,22.86,1369800,22.86
2014-11-04,23.73,24.52,23.59,23.76,1060500,23.76
2014-11-03,24.60,25.20,24.02,24.21,1577000,24.21
2014-10-31,23.41,24.70,23.27,24.67,2025100,24.67
2014-10-30,23.05,23.60,22.57,23.06,1040500,23.06
2014-10-29,23.57,23.57,22.72,23.40,1179400,23.40
2014-10-28,22.90,23.90,22.77,23.59,1478200,23.59
2014-10-27,22.95,23.02,22.19,22.71,1893800,22.71
2014-10-24,23.00,23.75,22.93,23.23,1133300,23.23
2014-10-23,23.07,23.63,22.52,23.35,1950500,23.35
2014-10-22,24.00,24.32,22.72,22.82,2206900,22.82
2014-10-21,24.02,24.70,23.27,24.09,2902400,24.09
2014-10-20,22.26,23.53,22.04,23.38,2153900,23.38
2014-10-17,23.70,24.47,22.24,22.57,2304600,22.57
2014-10-16,21.42,23.42,21.01,22.78,2944600,22.78
2014-10-15,20.03,22.00,19.42,21.84,3242100,21.84
2014-10-14,21.60,21.97,19.93,20.29,4161200,20.29
2014-10-13,23.00,23.49,21.23,21.32,2464200,21.32
2014-10-10,23.50,24.18,22.13,22.84,3280900,22.84
2014-10-09,26.10,26.31,23.69,23.71,2840300,23.71
2014-10-08,25.48,26.43,24.49,26.25,2635200,26.25
2014-10-07,25.64,26.38,25.08,25.55,1840800,25.55
2014-10-06,26.77,26.87,24.86,25.90,2972400,25.90
2014-10-03,27.04,27.88,26.40,26.59,1797200,26.59
