Date,Open,High,Low,Close,Volume,Adj Close
2014-01-21,11.50,11.56,11.28,11.46,1076200,11.46
2014-01-17,11.40,11.50,11.30,11.36,589700,11.36
2014-01-16,11.20,11.45,11.00,11.34,1105100,11.34
2014-01-15,10.41,11.20,10.35,11.13,1663700,11.13
2014-01-14,10.00,10.32,9.97,10.28,1063700,10.28
2014-01-13,10.60,10.67,9.82,9.92,977300,9.92
2014-01-10,10.88,10.88,10.30,10.57,885900,10.57
2014-01-09,10.85,10.95,10.60,10.88,997800,10.88
2014-01-08,10.28,10.87,10.25,10.84,971400,10.84
2014-01-07,9.85,10.31,9.85,10.28,769500,10.28
2014-01-06,10.29,10.29,9.78,9.81,536600,9.81
2014-01-03,10.16,10.24,9.92,10.20,958500,10.20
2014-01-02,9.62,10.10,9.60,10.10,1033300,10.10
2013-12-31,9.44,9.69,9.39,9.63,723400,9.63
2013-12-30,9.35,9.47,9.24,9.47,433800,9.47
2013-12-27,9.37,9.55,9.34,9.38,317700,9.38
2013-12-26,9.27,9.47,9.27,9.37,520800,9.37
2013-12-24,9.49,9.54,9.15,9.35,409900,9.35
2013-12-23,9.08,9.43,9.06,9.43,923700,9.43
2013-12-20,9.00,9.08,8.93,9.06,927100,9.06
2013-12-19,8.73,9.07,8.70,9.04,803600,9.04
2013-12-18,8.65,8.84,8.51,8.78,637400,8.78
2013-12-17,8.81,8.85,8.56,8.59,638700,8.59
2013-12-16,9.00,9.12,8.82,8.85,447000,8.85
2013-12-13,8.97,9.22,8.90,8.92,618000,8.92
2013-12-12,8.56,9.19,8.54,8.99,5441900,8.99
2013-12-11,8.86,9.04,8.56,8.59,1730800,8.59
2013-12-10,9.31,9.37,8.87,8.87,1721700,8.87
2013-12-09,9.62,9.65,9.20,9.26,1298000,9.26
2013-12-06,9.90,9.90,9.12,9.20,984500,9.20
2013-12-05,9.84,9.95,9.70,9.81,604200,9.81
2013-12-04,9.62,9.87,9.59,9.81,324400,9.81
2013-12-03,9.64,9.70,9.51,9.61,532200,9.61
2013-12-02,9.91,9.92,9.53,9.66,549800,9.66
2013-11-29,9.56,9.95,9.50,9.86,775700,9.86
2013-11-27,9.23,9.60,9.22,9.47,608800,9.47
2013-11-26,9.08,9.40,9.02,9.26,551800,9.26
2013-11-25,9.60,9.70,8.95,9.09,891600,9.09
2013-11-22,9.21,9.53,9.11,9.51,711900,9.51
2013-11-21,9.30,9.58,9.09,9.13,816100,9.13
2013-11-20,9.33,9.74,9.30,9.31,546700,9.31
2013-11-19,10.20,10.20,9.26,9.33,1255000,9.33
2013-11-18,10.50,10.83,10.11,10.29,2133800,10.29
2013-11-15,9.85,10.38,9.65,10.36,3812300,10.36
2013-11-14,9.50,9.74,8.90,9.09,2298800,9.09
2013-11-13,9.52,10.35,9.40,10.24,1357000,10.24
2013-11-12,10.10,10.10,9.25,9.55,1128400,9.55
2013-11-11,9.43,10.05,9.25,10.02,1136000,10.02
2013-11-08,8.86,9.17,8.80,9.09,672800,9.09
2013-11-07,9.24,9.31,8.67,8.86,1044000,8.86
2013-11-06,9.73,9.73,9.21,9.26,918200,9.26
2013-11-05,9.35,9.69,9.12,9.65,969600,9.65
2013-11-04,9.14,9.43,9.05,9.32,876300,9.32
2013-11-01,9.17,9.31,8.93,9.11,994300,9.11
2013-10-31,9.10,9.39,8.61,8.98,1340700,8.98
2013-10-30,9.75,9.97,9.25,9.28,1225800,9.28
2013-10-29,9.20,9.97,9.20,9.66,1619800,9.66
2013-10-28,10.11,10.36,8.08,9.06,4460300,9.06
2013-10-25,11.10,11.61,10.64,10.65,1521500,10.65
2013-10-24,12.27,12.37,10.65,11.08,2060700,11.08
2013-10-23,12.68,12.75,11.41,12.17,1428000,12.17
2013-10-22,13.10,13.38,12.41,12.85,950500,12.85
2013-10-21,12.49,13.05,12.40,12.94,919000,12.94
2013-10-18,12.57,12.77,12.30,12.36,1129900,12.36
2013-10-17,11.79,12.36,11.56,12.31,1138100,12.31
2013-10-16,11.02,11.69,11.02,11.67,1325700,11.67
2013-10-15,11.66,11.91,10.96,10.99,1608600,10.99
2013-10-14,11.76,11.76,11.20,11.67,602300,11.67
2013-10-11,11.49,11.90,11.30,11.87,874600,11.87
2013-10-10,11.01,11.59,11.01,11.27,917800,11.27
2013-10-09,11.60,11.79,10.63,10.89,1505800,10.89
2013-10-08,12.95,13.00,11.30,11.46,1775600,11.46
2013-10-07,12.17,13.00,12.14,12.62,1735600,12.62
2013-10-04,12.00,12.35,11.88,12.26,596900,12.26
2013-10-03,12.30,12.40,11.63,11.92,687900,11.92
2013-10-02,11.68,12.26,11.65,12.23,892200,12.23
2013-10-01,11.32,11.72,11.29,11.70,543500,11.70
2013-09-30,11.55,11.60,11.02,11.25,1129500,11.25
2013-09-27,12.12,12.14,11.55,11.70,579100,11.70
2013-09-26,11.99,12.29,11.87,12.18,789500,12.18
2013-09-25,12.12,12.57,11.80,11.87,1217100,11.87
2013-09-24,12.05,12.28,11.77,12.15,1250800,12.15
2013-09-23,11.75,12.07,11.15,11.93,1947000,11.93
2013-09-20,11.38,11.72,11.16,11.66,1230900,11.66
2013-09-19,11.00,11.65,11.00,11.30,1106800,11.30
2013-09-18,10.75,10.90,10.69,10.87,431500,10.87
2013-09-17,10.80,10.96,10.44,10.73,467700,10.73
2013-09-16,10.54,11.10,10.50,10.82,872400,10.82
2013-09-13,10.58,10.79,10.21,10.46,410700,10.46
2013-09-12,10.88,11.20,10.52,10.59,456300,10.59
2013-09-11,10.67,10.91,10.35,10.89,741700,10.89
2013-09-10,11.36,11.80,10.16,10.64,2063800,10.64
2013-09-09,10.71,11.35,10.40,11.29,1665500,11.29
2013-09-06,10.03,10.78,9.60,10.18,1229000,10.18
2013-09-05,9.53,9.99,8.92,9.82,2386200,9.82
2013-09-04,9.02,9.58,8.90,9.44,1057300,9.44
2013-09-03,8.90,9.36,8.90,9.06,1343300,9.06
2013-08-30,9.08,9.12,8.75,8.82,357200,8.82
2013-08-29,8.61,9.09,8.61,8.84,438600,8.84
2013-08-28,8.58,8.71,8.52,8.70,164700,8.70
2013-08-27,8.73,8.89,8.58,8.65,282800,8.65
2013-08-26,8.98,9.10,8.83,8.90,297300,8.90
2013-08-23,8.91,9.05,8.91,8.98,314700,8.98
2013-08-22,8.92,9.08,8.89,9.00,310100,9.00
2013-08-21,8.76,9.20,8.74,8.97,1081400,8.97
2013-08-20,8.74,8.98,8.52,8.82,598300,8.82
2013-08-19,8.91,9.28,8.76,8.83,1017500,8.83
2013-08-16,8.80,9.00,8.68,8.91,516700,8.91
2013-08-15,8.60,8.90,8.40,8.88,961000,8.88
2013-08-14,8.95,9.75,8.58,9.07,1658100,9.07
2013-08-13,8.57,8.88,7.64,8.83,2155600,8.83
2013-08-12,7.44,8.34,7.40,8.22,924200,8.22
2013-08-09,7.34,7.40,7.15,7.24,773800,7.24
2013-08-08,7.12,7.25,7.02,7.20,329100,7.20
2013-08-07,6.58,7.09,6.42,7.01,345900,7.01
2013-08-06,6.10,6.69,6.02,6.60,509300,6.60
2013-08-05,6.00,6.15,5.96,6.09,572800,6.09
2013-08-02,6.05,6.09,5.86,5.92,320100,5.92
2013-08-01,5.63,6.07,5.62,6.00,579300,6.00
2013-07-31,5.69,5.72,5.57,5.60,172200,5.60
2013-07-30,5.70,5.70,5.55,5.59,56600,5.59
2013-07-29,5.80,5.80,5.60,5.69,10200,5.69
2013-07-26,5.83,5.85,5.77,5.80,95400,5.80
2013-07-25,5.87,5.92,5.82,5.84,248400,5.84
2013-07-24,5.80,5.91,5.75,5.83,165900,5.83
2013-07-23,5.79,5.88,5.76,5.83,180000,5.83
2013-07-22,5.45,5.78,5.45,5.75,158000,5.75
2013-07-19,5.57,5.57,5.41,5.49,77400,5.49
2013-07-18,5.41,5.58,5.33,5.57,168400,5.57
2013-07-17,5.19,5.50,5.03,5.48,119300,5.48
2013-07-16,5.28,5.45,5.20,5.39,96500,5.39
2013-07-15,5.48,5.48,5.20,5.29,196300,5.29
2013-07-12,5.48,5.50,5.40,5.47,40000,5.47
2013-07-11,5.54,5.54,5.45,5.48,56000,5.48
2013-07-10,5.42,5.58,5.41,5.48,137100,5.48
2013-07-09,5.49,5.58,5.44,5.48,57300,5.48
2013-07-08,5.57,5.57,5.48,5.50,53200,5.50
2013-07-05,5.29,5.57,5.29,5.57,116800,5.57
2013-07-03,5.67,5.67,5.20,5.25,219700,5.25
2013-07-02,5.66,5.72,5.63,5.71,121300,5.71
2013-07-01,5.56,5.78,5.50,5.68,159900,5.68
2013-06-28,5.42,5.57,5.32,5.49,129500,5.49
2013-06-27,5.36,5.47,5.35,5.47,117400,5.47
2013-06-26,5.37,5.42,5.31,5.39,114900,5.39
2013-06-25,5.10,5.50,5.07,5.34,136000,5.34
2013-06-24,5.47,5.48,5.18,5.21,184300,5.21
2013-06-21,5.40,5.68,5.31,5.58,147300,5.58
2013-06-20,5.62,5.62,5.00,5.40,283000,5.40
2013-06-19,5.42,5.63,5.40,5.46,225900,5.46
2013-06-18,5.25,5.48,5.25,5.43,169200,5.43
2013-06-17,5.08,5.32,5.05,5.29,157600,5.29
2013-06-14,5.07,5.17,5.00,5.09,146600,5.09
2013-06-13,5.80,5.80,5.07,5.10,614700,5.10
2013-06-12,5.58,5.83,5.35,5.78,178400,5.78
2013-06-11,5.70,5.89,5.56,5.60,209100,5.60
2013-06-10,5.40,5.73,5.32,5.70,461000,5.70
2013-06-07,5.12,5.35,5.12,5.32,141200,5.32
2013-06-06,5.10,5.19,4.99,5.10,133200,5.10
2013-06-05,4.77,5.08,4.74,4.98,109900,4.98
2013-06-04,4.94,4.97,4.76,4.79,127100,4.79
2013-06-03,4.67,5.00,4.67,4.97,122400,4.97
2013-05-31,4.93,4.95,4.66,4.66,150500,4.66
2013-05-30,4.90,5.03,4.82,4.92,73700,4.92
2013-05-29,4.74,4.94,4.66,4.90,109500,4.90
2013-05-28,4.54,4.91,4.52,4.80,107100,4.80
2013-05-24,4.55,4.60,4.40,4.60,41600,4.60
2013-05-23,4.88,4.88,4.40,4.62,130600,4.62
2013-05-22,4.48,5.05,4.46,4.89,539900,4.89
2013-05-21,4.30,4.51,4.25,4.48,469700,4.48
2013-05-20,4.22,4.34,4.16,4.30,187300,4.30
2013-05-17,4.31,4.31,3.79,4.21,301900,4.21
2013-05-16,4.40,4.45,4.36,4.38,111200,4.38
2013-05-15,4.30,4.42,4.25,4.36,227500,4.36
2013-05-14,3.99,4.20,3.99,4.20,203200,4.20
2013-05-13,4.00,4.05,3.92,4.00,87800,4.00
2013-05-10,3.94,4.08,3.94,4.03,59100,4.03
2013-05-09,3.89,3.98,3.89,3.94,82800,3.94
2013-05-08,3.78,3.96,3.78,3.94,72900,3.94
2013-05-07,3.73,3.80,3.73,3.78,40000,3.78
2013-05-06,3.74,3.80,3.74,3.76,126000,3.76
2013-05-03,3.73,3.80,3.70,3.74,67500,3.74
2013-05-02,3.73,3.77,3.66,3.73,53800,3.73
2013-05-01,3.62,3.78,3.60,3.75,67700,3.75
2013-04-30,3.67,3.70,3.61,3.65,98700,3.65
2013-04-29,3.65,3.69,3.65,3.68,48100,3.68
2013-04-26,3.69,3.72,3.65,3.65,77900,3.65
2013-04-25,3.65,3.72,3.61,3.71,82600,3.71
2013-04-24,3.49,3.62,3.49,3.59,85800,3.59
2013-04-23,3.50,3.61,3.46,3.49,116800,3.49
2013-04-22,3.53,3.55,3.43,3.50,101600,3.50
2013-04-19,3.52,3.61,3.48,3.57,63100,3.57
2013-04-18,3.56,3.57,3.40,3.48,275500,3.48
2013-04-17,3.62,3.67,3.51,3.56,136500,3.56
2013-04-16,3.77,3.77,3.62,3.62,128200,3.62
2013-04-15,3.95,3.95,3.70,3.75,192600,3.75
2013-04-12,4.07,4.15,3.95,4.01,124100,4.01
2013-04-11,4.00,4.15,4.00,4.05,92400,4.05
2013-04-10,4.03,4.15,4.01,4.02,84100,4.02
2013-04-09,4.04,4.19,4.02,4.05,99700,4.05
2013-04-08,4.21,4.23,4.01,4.07,86600,4.07
2013-04-05,4.30,4.33,4.18,4.19,119800,4.19
2013-04-04,4.45,4.45,4.27,4.30,211900,4.30
2013-04-03,4.38,4.53,4.30,4.43,433200,4.43
2013-04-02,4.28,4.46,4.24,4.42,218600,4.42
2013-04-01,4.15,4.30,4.10,4.23,241700,4.23
2013-03-28,3.90,4.25,3.90,4.16,180800,4.16
2013-03-27,4.08,4.08,3.91,3.95,86600,3.95
2013-03-26,4.01,4.10,3.98,4.05,126700,4.05
2013-03-25,3.99,4.05,3.93,3.99,56300,3.99
2013-03-22,3.90,4.02,3.84,3.97,39600,3.97
2013-03-21,3.88,4.01,3.85,3.97,68200,3.97
2013-03-20,3.93,3.93,3.80,3.85,127100,3.85
2013-03-19,3.99,4.01,3.84,3.90,98900,3.90
2013-03-18,4.10,4.14,3.94,3.98,94800,3.98
2013-03-15,4.12,4.13,4.07,4.12,69300,4.12
2013-03-14,4.05,4.13,4.04,4.10,98800,4.10
2013-03-13,3.94,4.02,3.94,3.99,61000,3.99
2013-03-12,3.97,3.98,3.91,3.95,547700,3.95
2013-03-11,4.02,4.02,3.92,3.97,437500,3.97
2013-03-08,3.98,4.08,3.98,4.00,154200,4.00
2013-03-07,3.93,3.98,3.89,3.93,206300,3.93
2013-03-06,3.90,3.94,3.84,3.92,74600,3.92
2013-03-05,3.83,3.91,3.81,3.87,55400,3.87
2013-03-04,3.83,3.83,3.80,3.83,40200,3.83
2013-03-01,3.77,3.85,3.73,3.85,69200,3.85
2013-02-28,3.80,3.84,3.75,3.81,47700,3.81
2013-02-27,3.80,3.87,3.80,3.81,49000,3.81
2013-02-26,3.72,3.82,3.68,3.78,72000,3.78
2013-02-25,3.65,3.73,3.65,3.69,22500,3.69
2013-02-22,3.66,3.68,3.61,3.61,5900,3.61
2013-02-21,3.70,3.70,3.62,3.62,6800,3.62
2013-02-20,3.67,3.72,3.65,3.69,29000,3.69
2013-02-19,3.64,3.73,3.61,3.68,60300,3.68
2013-02-15,3.65,3.68,3.58,3.65,29200,3.65
2013-02-14,3.72,3.72,3.59,3.68,26900,3.68
2013-02-13,3.67,3.71,3.67,3.71,42400,3.71
2013-02-12,3.72,3.72,3.64,3.65,26500,3.65
2013-02-11,3.73,3.75,3.73,3.73,10600,3.73
2013-02-08,3.73,3.76,3.70,3.73,40400,3.73
2013-02-07,3.70,3.75,3.70,3.73,8400,3.73
2013-02-06,3.69,3.70,3.68,3.70,12200,3.70
2013-02-05,3.66,3.77,3.66,3.72,71600,3.72
2013-02-04,3.59,3.72,3.58,3.66,139800,3.66
2013-02-01,3.53,3.60,3.49,3.58,46400,3.58
2013-01-31,3.52,3.56,3.51,3.56,20800,3.56
2013-01-30,3.50,3.57,3.48,3.51,61600,3.51
2013-01-29,3.52,3.55,3.48,3.51,118200,3.51
2013-01-28,3.61,3.62,3.51,3.54,45200,3.54
2013-01-25,3.63,3.64,3.62,3.62,42500,3.62
2013-01-24,3.60,3.65,3.60,3.63,33200,3.63
2013-01-23,3.61,3.62,3.59,3.61,29200,3.61
2013-01-22,3.58,3.61,3.56,3.61,16700,3.61
