Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,35.51,36.55,35.34,35.91,1012200,35.91
2014-11-17,37.05,37.08,35.07,35.62,1771900,35.62
2014-11-14,37.64,38.18,36.50,37.31,1590700,37.31
2014-11-13,37.84,39.69,37.43,37.80,1517100,37.80
2014-11-12,36.90,38.46,36.41,37.76,1562800,37.76
2014-11-11,38.34,38.96,36.90,37.07,1686600,37.07
2014-11-10,41.31,42.49,38.60,38.72,3279400,38.72
2014-11-07,39.51,48.25,39.51,42.81,11800000,42.81
2014-11-06,33.26,34.31,32.14,32.67,1769600,32.67
2014-11-05,35.34,36.50,32.65,33.26,2290100,33.26
2014-11-04,33.55,36.18,32.13,35.83,1816600,35.83
2014-11-03,32.91,35.07,32.90,33.25,2065100,33.25
2014-10-31,37.13,38.50,34.79,34.92,2222400,32.88
2014-10-30,36.45,38.61,36.08,36.74,2083000,34.60
2014-10-29,37.00,38.37,35.77,36.99,1668100,34.83
2014-10-28,38.51,38.96,37.14,37.42,1262800,35.24
2014-10-27,38.43,39.48,37.62,39.00,1668000,36.72
2014-10-24,35.95,40.78,35.95,38.97,3184100,36.69
2014-10-23,35.00,36.75,34.33,35.95,1679200,33.85
2014-10-22,35.82,36.00,34.27,34.42,1185700,32.41
2014-10-21,33.78,35.62,32.94,34.79,1300100,32.76
2014-10-20,28.41,37.13,28.41,34.96,4359000,32.92
2014-10-17,30.16,30.77,27.73,28.41,959200,26.75
2014-10-16,28.97,30.02,28.57,30.00,1072200,27.94
2014-10-15,29.00,29.69,27.52,29.56,1685100,27.53
2014-10-14,25.75,28.81,25.72,28.49,1520800,26.53
2014-10-13,24.85,25.77,24.62,25.72,1072600,23.95
2014-10-10,26.48,26.99,24.63,24.78,1419800,23.08
2014-10-09,28.38,28.49,26.14,26.36,1389100,24.55
2014-10-08,30.48,31.08,25.05,28.85,4434200,26.87
2014-10-07,28.97,31.00,28.63,30.30,1584300,28.22
2014-10-06,28.42,29.73,28.35,29.12,1056200,27.12
2014-10-03,27.10,28.83,26.98,28.22,1634000,26.28
