Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,1.68,1.68,1.68,1.68,000,1.68
2014-11-17,1.68,1.68,1.68,1.68,000,1.68
2014-11-14,1.68,1.68,1.68,1.68,000,1.68
2014-11-13,1.68,1.68,1.68,1.68,000,1.68
2014-11-12,1.68,1.68,1.68,1.68,000,1.68
2014-11-11,1.68,1.68,1.68,1.68,000,1.68
2014-11-10,1.68,1.68,1.68,1.68,000,1.68
2014-11-07,1.68,1.68,1.68,1.68,000,1.68
2014-11-06,1.68,1.68,1.68,1.68,000,1.68
2014-11-05,1.68,1.68,1.68,1.68,000,1.68
2014-11-04,1.68,1.68,1.68,1.68,000,1.68
2014-11-03,1.68,1.68,1.68,1.68,000,1.68
2014-10-31,1.68,1.68,1.68,1.68,000,1.68
2014-10-30,1.68,1.68,1.68,1.68,000,1.68
2014-10-29,1.68,1.68,1.68,1.68,000,1.68
2014-10-28,1.68,1.68,1.68,1.68,000,1.68
2014-10-27,1.68,1.68,1.68,1.68,000,1.68
2014-10-24,1.68,1.68,1.68,1.68,000,1.68
2014-10-23,1.68,1.68,1.68,1.68,000,1.68
2014-10-22,1.68,1.68,1.68,1.68,000,1.68
2014-10-21,1.68,1.68,1.68,1.68,000,1.68
2014-10-20,1.68,1.68,1.68,1.68,000,1.68
2014-10-17,1.68,1.68,1.68,1.68,000,1.68
2014-10-16,1.68,1.68,1.68,1.68,000,1.68
2014-10-15,1.68,1.68,1.68,1.68,000,1.68
2014-10-14,1.68,1.68,1.68,1.68,000,1.68
2014-10-13,1.68,1.68,1.68,1.68,000,1.68
2014-10-10,1.68,1.68,1.68,1.68,000,1.68
2014-10-09,1.68,1.68,1.68,1.68,000,1.68
2014-10-08,1.68,1.68,1.68,1.68,000,1.68
2014-10-07,1.68,1.68,1.68,1.68,000,1.68
2014-10-06,1.68,1.68,1.68,1.68,000,1.68
2014-10-03,1.68,1.68,1.68,1.68,000,1.68
2014-10-02,1.68,1.68,1.68,1.68,000,1.68
2014-10-01,1.68,1.68,1.68,1.68,000,1.68
2014-09-30,1.68,1.68,1.68,1.68,000,1.68
2014-09-29,1.68,1.68,1.68,1.68,000,1.68
2014-09-26,1.68,1.68,1.68,1.68,000,1.68
2014-09-25,1.68,1.68,1.68,1.68,000,1.68
2014-09-24,1.68,1.68,1.68,1.68,000,1.68
2014-09-23,1.68,1.68,1.68,1.68,000,1.68
2014-09-22,1.68,1.68,1.68,1.68,000,1.68
2014-09-19,1.68,1.68,1.68,1.68,000,1.68
2014-09-18,1.68,1.68,1.68,1.68,000,1.68
2014-09-17,1.68,1.68,1.68,1.68,000,1.68
2014-09-16,1.68,1.68,1.68,1.68,000,1.68
2014-09-15,1.68,1.68,1.68,1.68,000,1.68
2014-09-12,1.68,1.68,1.68,1.68,000,1.68
2014-09-11,1.68,1.68,1.68,1.68,000,1.68
2014-09-10,1.68,1.68,1.68,1.68,000,1.68
2014-09-09,1.68,1.68,1.68,1.68,000,1.68
2014-09-08,1.68,1.68,1.68,1.68,000,1.68
2014-09-05,1.68,1.68,1.68,1.68,000,1.68
2014-09-04,1.68,1.68,1.68,1.68,000,1.68
2014-09-03,1.68,1.68,1.68,1.68,000,1.68
2014-09-02,1.68,1.68,1.68,1.68,000,1.68
2014-08-29,1.68,1.68,1.68,1.68,000,1.68
2014-08-28,1.68,1.68,1.68,1.68,000,1.68
2014-08-27,1.68,1.68,1.68,1.68,000,1.68
2014-08-26,1.68,1.68,1.68,1.68,000,1.68
2014-08-25,1.68,1.68,1.68,1.68,000,1.68
2014-08-22,1.68,1.68,1.68,1.68,000,1.68
2014-08-21,1.68,1.68,1.68,1.68,000,1.68
2014-08-20,1.68,1.68,1.68,1.68,000,1.68
2014-08-19,1.68,1.68,1.68,1.68,000,1.68
2014-08-18,1.68,1.68,1.68,1.68,000,1.68
2014-08-15,1.68,1.68,1.68,1.68,000,1.68
2014-08-14,1.68,1.68,1.68,1.68,000,1.68
2014-08-13,1.68,1.68,1.68,1.68,000,1.68
2014-08-12,1.68,1.68,1.68,1.68,000,1.68
2014-08-11,1.68,1.68,1.68,1.68,000,1.68
2014-08-08,1.68,1.68,1.68,1.68,000,1.68
2014-08-07,1.68,1.68,1.68,1.68,000,1.68
2014-08-06,1.68,1.68,1.68,1.68,000,1.68
2014-08-05,1.68,1.68,1.68,1.68,000,1.68
2014-08-04,1.68,1.68,1.68,1.68,000,1.68
2014-08-01,1.68,1.68,1.68,1.68,000,1.68
2014-07-31,1.68,1.68,1.68,1.68,000,1.68
2014-07-30,1.68,1.68,1.68,1.68,000,1.68
2014-07-29,1.68,1.68,1.68,1.68,000,1.68
2014-07-28,1.68,1.68,1.68,1.68,000,1.68
2014-07-25,1.68,1.68,1.68,1.68,000,1.68
2014-07-24,1.68,1.68,1.68,1.68,000,1.68
2014-07-23,1.68,1.68,1.68,1.68,000,1.68
2014-07-22,1.68,1.68,1.68,1.68,000,1.68
2014-07-21,1.68,1.68,1.68,1.68,000,1.68
2014-07-18,1.68,1.68,1.68,1.68,000,1.68
2014-07-17,1.68,1.68,1.68,1.68,000,1.68
2014-07-16,1.68,1.68,1.68,1.68,000,1.68
2014-07-15,1.68,1.68,1.68,1.68,000,1.68
2014-07-14,1.68,1.68,1.68,1.68,000,1.68
2014-07-11,1.68,1.68,1.68,1.68,000,1.68
2014-07-10,1.68,1.68,1.68,1.68,000,1.68
2014-07-09,1.68,1.68,1.68,1.68,000,1.68
2014-07-08,1.68,1.68,1.68,1.68,000,1.68
2014-07-07,1.68,1.68,1.68,1.68,000,1.68
2014-07-03,1.68,1.68,1.68,1.68,000,1.68
2014-07-02,1.68,1.68,1.68,1.68,000,1.68
2014-07-01,1.68,1.68,1.68,1.68,000,1.68
2014-06-30,1.68,1.68,1.68,1.68,000,1.68
2014-06-27,1.68,1.68,1.68,1.68,000,1.68
2014-06-26,1.68,1.68,1.68,1.68,000,1.68
2014-06-25,1.68,1.68,1.68,1.68,000,1.68
2014-06-24,1.68,1.68,1.68,1.68,000,1.68
2014-06-23,1.68,1.68,1.68,1.68,000,1.68
2014-06-20,1.68,1.68,1.68,1.68,000,1.68
2014-06-19,1.68,1.68,1.68,1.68,000,1.68
2014-06-18,1.68,1.68,1.68,1.68,000,1.68
2014-06-17,1.68,1.68,1.68,1.68,000,1.68
2014-06-16,1.68,1.68,1.68,1.68,000,1.68
2014-06-13,1.68,1.68,1.68,1.68,000,1.68
2014-06-12,1.68,1.68,1.68,1.68,000,1.68
2014-06-11,1.68,1.68,1.68,1.68,000,1.68
2014-06-10,1.68,1.68,1.68,1.68,000,1.68
2014-06-09,1.68,1.68,1.68,1.68,000,1.68
2014-06-06,1.68,1.68,1.68,1.68,000,1.68
2014-06-05,1.68,1.68,1.68,1.68,000,1.68
2014-06-04,1.68,1.68,1.68,1.68,000,1.68
2014-06-03,1.68,1.68,1.68,1.68,000,1.68
2014-06-02,1.68,1.68,1.68,1.68,000,1.68
2014-05-30,1.68,1.68,1.68,1.68,000,1.68
2014-05-29,1.68,1.68,1.68,1.68,000,1.68
2014-05-28,1.68,1.68,1.68,1.68,000,1.68
2014-05-27,1.68,1.68,1.68,1.68,000,1.68
2014-05-23,1.68,1.68,1.68,1.68,000,1.68
2014-05-22,1.68,1.68,1.68,1.68,000,1.68
2014-05-21,1.68,1.68,1.68,1.68,000,1.68
2014-05-20,1.68,1.68,1.68,1.68,000,1.68
2014-05-19,1.68,1.68,1.68,1.68,000,1.68
2014-05-16,1.68,1.68,1.68,1.68,000,1.68
2014-05-15,1.68,1.68,1.68,1.68,000,1.68
2014-05-14,1.68,1.68,1.68,1.68,000,1.68
2014-05-13,1.68,1.68,1.68,1.68,000,1.68
2014-05-12,1.68,1.68,1.68,1.68,000,1.68
2014-05-09,1.68,1.68,1.68,1.68,000,1.68
2014-05-08,1.68,1.68,1.68,1.68,000,1.68
2014-05-07,1.68,1.68,1.68,1.68,000,1.68
2014-05-06,1.68,1.68,1.68,1.68,000,1.68
2014-05-05,1.68,1.68,1.68,1.68,000,1.68
2014-05-02,1.68,1.68,1.68,1.68,000,1.68
2014-05-01,1.68,1.68,1.68,1.68,000,1.68
2014-04-30,1.68,1.68,1.68,1.68,000,1.68
2014-04-29,1.68,1.68,1.68,1.68,000,1.68
2014-04-28,1.68,1.68,1.68,1.68,000,1.68
2014-04-25,1.68,1.68,1.68,1.68,000,1.68
2014-04-24,1.68,1.68,1.68,1.68,000,1.68
2014-04-23,1.68,1.68,1.68,1.68,000,1.68
2014-04-22,1.68,1.68,1.68,1.68,000,1.68
2014-04-21,1.68,1.68,1.68,1.68,000,1.68
2014-04-17,1.68,1.68,1.68,1.68,000,1.68
2014-04-16,1.68,1.68,1.68,1.68,000,1.68
2014-04-15,1.75,1.75,1.65,1.68,14100,1.68
2014-04-14,1.68,1.84,1.60,1.60,22300,1.60
2014-04-11,1.72,1.72,1.60,1.61,20000,1.61
2014-04-10,1.69,1.83,1.61,1.61,123300,1.61
