Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,1.33,1.40,1.32,1.33,86800,1.33
2014-11-17,1.36,1.42,1.32,1.32,88100,1.32
2014-11-14,1.40,1.43,1.35,1.36,86900,1.36
2014-11-13,1.37,1.52,1.37,1.40,177500,1.40
2014-11-12,1.33,1.42,1.33,1.40,191600,1.40
2014-11-11,1.36,1.39,1.33,1.35,171300,1.35
2014-11-10,1.27,1.40,1.27,1.37,267500,1.37
2014-11-07,1.40,1.43,1.34,1.36,455100,1.36
2014-11-06,1.43,1.45,1.36,1.37,276600,1.37
2014-11-05,1.35,1.48,1.35,1.45,219700,1.45
2014-11-04,1.63,1.69,1.35,1.37,883700,1.37
2014-11-03,1.73,1.83,1.63,1.66,361400,1.66
2014-10-31,1.80,1.88,1.74,1.76,283600,1.76
2014-10-30,1.90,1.90,1.76,1.78,211100,1.78
2014-10-29,1.91,1.95,1.87,1.90,175700,1.90
2014-10-28,1.81,1.90,1.81,1.90,195200,1.90
2014-10-27,1.73,1.83,1.71,1.82,145800,1.82
2014-10-24,1.82,1.86,1.75,1.81,107100,1.81
2014-10-23,1.81,1.87,1.80,1.80,79200,1.80
2014-10-22,1.86,1.91,1.78,1.81,282500,1.81
2014-10-21,1.88,1.90,1.82,1.84,154800,1.84
2014-10-20,1.79,1.90,1.78,1.88,226400,1.88
2014-10-17,1.78,1.83,1.77,1.78,98500,1.78
2014-10-16,1.77,1.85,1.77,1.79,141500,1.79
2014-10-15,1.75,1.79,1.71,1.78,349200,1.78
2014-10-14,1.79,1.84,1.77,1.79,147200,1.79
2014-10-13,1.75,1.80,1.66,1.79,431500,1.79
2014-10-10,1.92,1.93,1.78,1.80,437300,1.80
2014-10-09,1.87,1.91,1.81,1.90,436000,1.90
2014-10-08,1.83,1.86,1.79,1.86,537900,1.86
2014-10-07,1.78,1.82,1.75,1.80,472800,1.80
2014-10-06,1.77,1.81,1.74,1.76,423600,1.76
2014-10-03,1.80,1.81,1.75,1.78,272500,1.78
2014-10-02,1.77,1.81,1.72,1.79,244400,1.79
2014-10-01,1.78,1.82,1.73,1.73,394300,1.73
2014-09-30,1.76,1.80,1.74,1.80,1196800,1.80
2014-09-29,1.72,1.80,1.71,1.78,395800,1.78
2014-09-26,1.73,1.78,1.73,1.76,1002400,1.76
2014-09-25,1.75,1.76,1.67,1.76,1361200,1.76
2014-09-24,1.72,1.77,1.70,1.75,202800,1.75
2014-09-23,1.69,1.76,1.62,1.71,356400,1.71
2014-09-22,1.71,1.75,1.65,1.69,200000,1.69
2014-09-19,1.78,1.80,1.73,1.73,310400,1.73
2014-09-18,1.78,1.80,1.75,1.78,426600,1.78
2014-09-17,1.75,1.79,1.73,1.77,281600,1.77
2014-09-16,1.79,1.79,1.66,1.76,508600,1.76
2014-09-15,1.73,1.80,1.70,1.77,1004000,1.77
2014-09-12,1.67,1.74,1.66,1.72,382100,1.72
2014-09-11,1.68,1.75,1.68,1.70,750100,1.70
2014-09-10,1.59,1.67,1.57,1.67,726900,1.67
2014-09-09,1.53,1.61,1.52,1.61,716800,1.61
2014-09-08,1.48,1.58,1.48,1.56,577000,1.56
2014-09-05,1.40,1.52,1.39,1.49,456800,1.49
2014-09-04,1.41,1.51,1.41,1.43,238600,1.43
2014-09-03,1.62,1.63,1.39,1.44,616000,1.44
2014-09-02,1.60,1.60,1.50,1.56,265700,1.56
2014-08-29,1.47,1.57,1.46,1.57,343500,1.57
2014-08-28,1.41,1.47,1.41,1.47,109400,1.47
2014-08-27,1.49,1.52,1.40,1.44,150300,1.44
2014-08-26,1.51,1.51,1.43,1.49,191000,1.49
2014-08-25,1.49,1.50,1.42,1.49,278500,1.49
2014-08-22,1.38,1.47,1.37,1.47,677300,1.47
2014-08-21,1.25,1.42,1.24,1.41,928000,1.41
2014-08-20,1.31,1.31,1.24,1.28,1202800,1.28
