Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,5.16,5.30,5.11,5.16,316200,5.16
2014-11-17,5.20,5.35,5.05,5.13,425500,5.13
2014-11-14,5.32,5.44,5.09,5.22,293900,5.22
2014-11-13,5.00,5.20,4.93,5.06,342500,5.06
2014-11-12,5.28,5.28,4.87,5.01,690000,5.01
2014-11-11,5.70,5.85,5.21,5.22,604200,5.22
2014-11-10,5.81,5.87,5.66,5.76,297400,5.76
2014-11-07,5.79,5.97,5.74,5.83,294200,5.83
2014-11-06,5.89,5.94,5.75,5.79,262600,5.79
2014-11-05,5.83,5.90,5.68,5.85,369400,5.85
2014-11-04,5.75,5.84,5.56,5.77,203300,5.77
2014-11-03,5.89,6.01,5.75,5.78,324500,5.78
2014-10-31,6.00,6.07,5.82,5.87,388100,5.87
2014-10-30,5.92,6.09,5.81,5.91,372000,5.91
2014-10-29,5.98,6.11,5.76,5.98,446900,5.98
2014-10-28,5.70,6.12,5.60,5.96,889000,5.96
2014-10-27,5.63,5.86,5.56,5.63,406600,5.63
2014-10-24,5.48,5.74,5.38,5.60,591800,5.60
2014-10-23,5.20,5.57,5.20,5.46,433000,5.46
2014-10-22,5.43,5.61,5.13,5.18,799800,5.18
2014-10-21,5.45,5.89,5.39,5.43,1161400,5.43
2014-10-20,4.71,5.56,4.61,5.41,1212700,5.41
2014-10-17,4.98,4.98,4.60,4.68,596000,4.68
2014-10-16,4.32,4.86,4.32,4.82,709400,4.82
2014-10-15,4.22,4.58,4.14,4.43,801800,4.43
2014-10-14,4.20,4.44,4.13,4.25,576600,4.25
2014-10-13,4.12,4.40,4.03,4.21,686500,4.21
2014-10-10,4.36,4.56,4.09,4.09,909200,4.09
2014-10-09,4.59,4.73,4.40,4.43,573800,4.43
2014-10-08,4.75,4.89,4.35,4.59,1284200,4.59
2014-10-07,5.02,5.10,4.78,4.84,833000,4.84
2014-10-06,5.18,5.34,4.91,5.04,654800,5.04
2014-10-03,5.17,5.60,5.11,5.23,948100,5.23
2014-10-02,5.58,5.66,4.85,5.16,1501900,5.16
2014-10-01,5.82,5.99,5.45,5.59,1358300,5.59
2014-09-30,6.20,6.34,5.98,6.00,1029100,6.00
2014-09-29,6.08,6.39,5.86,6.19,1336400,6.19
2014-09-26,5.51,6.80,5.45,6.11,4609200,6.11
2014-09-25,5.47,5.50,5.12,5.45,1547600,5.45
2014-09-24,4.94,5.44,4.90,5.36,2398300,5.36
2014-09-23,5.00,5.30,4.88,4.95,2358300,4.95
2014-09-22,5.32,5.39,4.89,5.03,3146500,5.03
2014-09-19,5.60,5.91,4.85,5.39,6157400,5.39
2014-09-18,6.83,6.92,4.18,5.37,23880000,5.37
2014-09-17,8.36,8.88,7.50,7.62,3989500,7.62
2014-09-16,14.81,14.96,6.00,8.30,14848700,8.30
2014-09-15,15.36,15.70,14.60,14.92,363200,14.92
2014-09-12,15.26,15.73,15.13,15.40,291700,15.40
2014-09-11,14.98,15.38,14.93,15.29,186900,15.29
2014-09-10,14.11,15.44,14.11,15.11,860600,15.11
2014-09-09,14.47,14.51,14.15,14.16,192800,14.16
2014-09-08,14.22,14.50,13.99,14.45,260500,14.45
2014-09-05,14.22,14.39,14.10,14.25,205800,14.25
2014-09-04,14.50,14.54,13.69,14.30,361100,14.30
2014-09-03,14.76,14.77,14.35,14.50,277000,14.50
2014-09-02,14.80,15.00,14.50,14.74,230100,14.74
2014-08-29,14.76,14.98,14.52,14.75,183100,14.75
2014-08-28,14.91,15.22,14.74,14.79,138100,14.79
2014-08-27,14.94,15.30,14.84,14.98,420200,14.98
2014-08-26,14.71,15.00,14.63,14.97,217400,14.97
2014-08-25,15.02,15.02,14.44,14.68,233200,14.68
2014-08-22,14.97,15.07,14.47,14.90,190400,14.90
2014-08-21,14.77,14.99,14.37,14.93,258700,14.93
2014-08-20,15.08,15.36,13.60,14.68,534700,14.68
2014-08-19,15.70,15.70,15.04,15.24,533900,15.24
2014-08-18,15.55,16.13,15.21,15.68,573000,15.68
2014-08-15,15.18,15.50,14.87,15.29,682300,15.29
2014-08-14,15.33,15.49,14.81,15.13,303500,15.13
2014-08-13,15.20,15.32,15.02,15.29,217900,15.29
2014-08-12,14.76,15.60,14.74,15.09,498000,15.09
2014-08-11,14.14,15.25,14.14,14.73,588800,14.73
2014-08-08,14.00,14.25,13.77,14.10,242000,14.10
2014-08-07,14.14,14.31,13.77,14.08,235700,14.08
2014-08-06,14.63,14.63,13.88,14.32,192800,14.32
2014-08-05,13.70,13.88,13.50,13.87,175400,13.87
2014-08-04,13.57,13.95,13.42,13.82,295500,13.82
2014-08-01,14.12,14.23,13.30,13.42,401300,13.42
2014-07-31,13.90,14.29,13.57,13.98,358300,13.98
2014-07-30,14.25,14.28,14.01,14.02,164800,14.02
2014-07-29,13.97,14.47,13.75,14.14,389500,14.14
2014-07-28,14.19,14.24,13.81,13.87,481800,13.87
2014-07-25,14.47,14.74,14.09,14.25,323200,14.25
2014-07-24,14.84,14.90,14.30,14.59,391600,14.59
2014-07-23,15.09,15.09,14.65,14.76,305500,14.76
2014-07-22,14.94,15.26,14.87,15.09,333400,15.09
2014-07-21,15.21,15.34,14.80,14.97,439600,14.97
2014-07-18,15.79,15.85,15.12,15.27,780900,15.27
2014-07-17,15.23,15.88,15.12,15.66,508700,15.66
2014-07-16,15.38,15.49,15.15,15.39,354700,15.39
2014-07-15,15.56,15.56,15.25,15.26,180800,15.26
2014-07-14,15.88,15.98,15.26,15.61,194700,15.61
2014-07-11,15.36,15.65,15.31,15.46,217900,15.46
2014-07-10,14.94,15.67,14.94,15.41,384900,15.41
2014-07-09,15.51,16.12,15.30,15.67,358600,15.67
2014-07-08,15.95,16.18,15.31,15.40,420900,15.40
2014-07-07,16.81,16.95,15.73,15.90,592400,15.90
2014-07-03,17.06,17.19,16.60,17.03,242300,17.03
2014-07-02,17.51,17.55,16.91,17.03,329300,17.03
2014-07-01,17.68,18.24,17.10,17.57,582400,17.57
2014-06-30,17.67,18.23,17.16,17.61,735000,17.61
2014-06-27,17.60,18.10,17.18,17.98,721000,17.98
2014-06-26,17.84,17.93,17.43,17.91,552600,17.91
2014-06-25,18.57,18.57,16.91,17.85,586900,17.85
2014-06-24,16.75,18.05,16.75,17.12,1068200,17.12
2014-06-23,16.98,16.98,16.20,16.75,1480400,16.75
2014-06-20,16.15,17.30,16.01,16.23,1807900,16.23
2014-06-19,17.05,17.10,16.21,16.68,299900,16.68
2014-06-18,15.95,16.95,15.90,16.90,439400,16.90
2014-06-17,16.00,16.21,15.75,15.97,268100,15.97
2014-06-16,16.37,16.37,15.19,16.07,516000,16.07
2014-06-13,16.58,16.62,15.98,16.16,470700,16.16
2014-06-12,16.91,16.96,16.40,16.48,407500,16.48
2014-06-11,17.12,17.51,16.82,16.90,438100,16.90
2014-06-10,17.22,17.57,16.63,17.30,593700,17.30
2014-06-09,16.61,17.38,16.61,16.94,788000,16.94
2014-06-06,16.24,17.19,16.24,16.65,638600,16.65
2014-06-05,15.35,16.68,15.15,16.31,638000,16.31
2014-06-04,15.11,15.67,15.05,15.27,156400,15.27
2014-06-03,14.86,15.63,14.80,15.26,340600,15.26
2014-06-02,15.58,15.80,15.00,15.01,365400,15.01
2014-05-30,16.20,16.22,15.70,15.79,252800,15.79
2014-05-29,15.70,16.33,15.61,16.20,540600,16.20
2014-05-28,15.19,15.91,14.77,15.70,391300,15.70
2014-05-27,15.92,15.93,15.00,15.28,504100,15.28
2014-05-23,14.56,15.96,14.28,15.51,615500,15.51
2014-05-22,14.25,14.79,14.24,14.52,311500,14.52
2014-05-21,14.27,14.47,14.00,14.21,264900,14.21
2014-05-20,14.76,14.83,14.20,14.26,416900,14.26
2014-05-19,13.98,14.85,13.82,14.75,750600,14.75
2014-05-16,14.23,14.24,13.64,13.80,573700,13.80
2014-05-15,13.64,13.99,13.40,13.96,294400,13.96
2014-05-14,14.01,14.35,13.65,13.75,233200,13.75
