Date,Open,High,Low,Close,Volume,Adj Close
2014-11-18,23.21,23.25,23.10,23.25,1100,23.25
2014-11-17,23.75,23.75,23.75,23.75,000,23.75
2014-11-14,23.75,23.75,23.75,23.75,000,23.75
2014-11-13,23.75,23.75,23.75,23.75,300,23.75
2014-11-12,23.21,23.21,23.15,23.15,600,23.15
2014-11-11,23.40,23.40,23.40,23.40,000,23.40
2014-11-10,23.40,23.40,23.40,23.40,000,23.40
2014-11-07,23.40,23.40,23.40,23.40,000,23.40
2014-11-06,23.40,23.40,23.40,23.40,000,23.40
2014-11-05,23.40,23.40,23.37,23.40,900,23.40
2014-11-04,23.40,23.40,23.40,23.40,000,23.40
2014-11-03,23.10,23.40,23.10,23.40,500,23.40
2014-10-31,23.40,23.40,23.40,23.40,200,23.40
2014-10-30,23.50,23.50,23.45,23.45,1100,23.45
2014-10-29,23.50,23.50,23.50,23.50,000,23.50
2014-10-28,23.50,23.50,23.50,23.50,400,23.50
2014-10-27,23.46,23.46,23.46,23.46,000,23.46
2014-10-24,23.46,23.46,23.46,23.46,000,23.46
2014-10-23,23.46,23.46,23.46,23.46,000,23.46
2014-10-22,23.50,23.50,23.46,23.46,900,23.46
2014-10-21,23.46,23.46,23.46,23.46,000,23.46
2014-10-20,23.46,23.46,23.46,23.46,200,23.46
2014-10-17,23.48,23.48,23.48,23.48,100,23.48
2014-10-16,23.01,23.01,23.01,23.01,000,23.01
2014-10-15,23.01,23.01,23.01,23.01,300,23.01
2014-10-14,23.04,23.04,23.04,23.04,200,23.04
2014-10-13,23.05,23.05,23.05,23.05,300,23.05
2014-10-10,23.50,23.50,23.31,23.31,1000,23.31
2014-10-09,23.50,23.50,23.50,23.50,200,23.50
2014-10-08,23.50,23.50,23.45,23.45,400,23.45
2014-10-07,23.50,23.50,23.50,23.50,000,23.50
2014-10-06,23.50,23.50,23.50,23.50,000,23.50
2014-10-03,23.50,23.50,23.50,23.50,000,23.50
2014-10-02,23.50,23.50,23.50,23.50,200,23.50
2014-10-01,23.00,23.00,23.00,23.00,400,23.00
2014-09-30,23.44,23.50,23.44,23.45,600,23.45
2014-09-29,23.50,23.50,23.50,23.50,4000,23.50
2014-09-26,23.25,23.50,23.25,23.50,1200,23.50
2014-09-25,23.23,23.23,23.23,23.23,000,23.23
2014-09-24,23.23,23.23,23.23,23.23,100,23.23
2014-09-23,23.03,23.25,23.03,23.25,500,23.25
2014-09-22,23.13,23.25,23.13,23.22,2700,23.22
2014-09-19,23.22,23.22,23.00,23.00,500,23.00
2014-09-18,23.03,23.25,23.03,23.25,300,23.25
2014-09-17,23.10,23.10,23.00,23.00,700,23.00
2014-09-16,22.98,23.10,22.98,23.10,1200,23.10
2014-09-15,23.00,23.00,22.92,22.93,1600,22.93
2014-09-12,23.00,23.00,22.91,22.97,1000,22.97
2014-09-11,22.95,22.95,22.90,22.93,5000,22.93
2014-09-10,22.64,22.66,22.61,22.66,3700,22.45
2014-09-09,22.70,22.70,22.65,22.65,2300,22.44
2014-09-08,22.96,23.00,22.68,23.00,1500,22.79
2014-09-05,22.64,22.98,22.64,22.98,400,22.77
2014-09-04,23.00,23.00,22.61,22.85,2200,22.64
2014-09-03,22.60,22.60,22.60,22.60,400,22.39
2014-09-02,22.96,22.96,22.60,22.60,300,22.39
2014-08-29,22.95,22.95,22.59,22.75,9700,22.54
2014-08-28,22.78,22.78,22.78,22.78,100,22.57
